Date,Browser Type,Visits
19-Feb-16,Google,56444
19-Feb-16,Mozilla,34683
19-Feb-16,Microsoft,12969
19-Feb-16,Apple,4285
19-Feb-16,Opera,184
19-Feb-16,Other,136
19-Feb-16,UC Web,63
19-Feb-16,Yandex,61
19-Feb-16,Amazon,10
19-Feb-16,BlackBerry,9
20-Feb-16,Google,20015
20-Feb-16,Mozilla,9933
20-Feb-16,Microsoft,2222
20-Feb-16,Apple,1971
20-Feb-16,Opera,107
20-Feb-16,Other,66
20-Feb-16,Yandex,46
20-Feb-16,UC Web,36
20-Feb-16,BlackBerry,10
20-Feb-16,Amazon,7
21-Feb-16,Google,24351
21-Feb-16,Mozilla,11801
21-Feb-16,Microsoft,5117
21-Feb-16,Apple,2143
21-Feb-16,Opera,135
21-Feb-16,Other,103
21-Feb-16,UC Web,40
21-Feb-16,Yandex,22
21-Feb-16,Amazon,8
21-Feb-16,BlackBerry,4
22-Feb-16,Google,63115
22-Feb-16,Mozilla,39706
22-Feb-16,Microsoft,16454
22-Feb-16,Apple,4435
22-Feb-16,Opera,168
22-Feb-16,Other,158
22-Feb-16,UC Web,62
22-Feb-16,Yandex,48
22-Feb-16,BlackBerry,7
22-Feb-16,Amazon,7
23-Feb-16,Google,62149
23-Feb-16,Mozilla,39882
23-Feb-16,Microsoft,16499
23-Feb-16,Apple,4451
23-Feb-16,Opera,180
23-Feb-16,Other,169
23-Feb-16,UC Web,49
23-Feb-16,Yandex,36
23-Feb-16,BlackBerry,11
23-Feb-16,Amazon,10
24-Feb-16,Google,61090
24-Feb-16,Mozilla,39640
24-Feb-16,Microsoft,15449
24-Feb-16,Apple,4421
24-Feb-16,Other,173
24-Feb-16,Opera,169
24-Feb-16,Yandex,71
24-Feb-16,UC Web,59
24-Feb-16,BlackBerry,21
24-Feb-16,Amazon,13
25-Feb-16,Google,59575
25-Feb-16,Mozilla,38458
25-Feb-16,Microsoft,15125
25-Feb-16,Apple,4374
25-Feb-16,Opera,195
25-Feb-16,Other,194
25-Feb-16,Yandex,60
25-Feb-16,UC Web,49
25-Feb-16,BlackBerry,18
25-Feb-16,Amazon,11
26-Feb-16,Google,48145
26-Feb-16,Mozilla,31095
26-Feb-16,Microsoft,10932
26-Feb-16,Apple,3579
26-Feb-16,Opera,149
26-Feb-16,Other,120
26-Feb-16,Yandex,54
26-Feb-16,UC Web,52
26-Feb-16,BlackBerry,19
26-Feb-16,Netscape,4
27-Feb-16,Google,14877
27-Feb-16,Mozilla,8777
27-Feb-16,Microsoft,1925
27-Feb-16,Apple,1780
27-Feb-16,Opera,122
27-Feb-16,Other,63
27-Feb-16,UC Web,52
27-Feb-16,Yandex,27
27-Feb-16,BlackBerry,9
27-Feb-16,Amazon,5
28-Feb-16,Google,19463
28-Feb-16,Mozilla,10886
28-Feb-16,Microsoft,4185
28-Feb-16,Apple,1904
28-Feb-16,Opera,114
28-Feb-16,Other,100
28-Feb-16,UC Web,51
28-Feb-16,Yandex,42
28-Feb-16,BlackBerry,8
28-Feb-16,Netscape,7
29-Feb-16,Google,58151
29-Feb-16,Mozilla,37158
29-Feb-16,Microsoft,14006
29-Feb-16,Apple,4009
29-Feb-16,Opera,190
29-Feb-16,Other,168
29-Feb-16,Yandex,67
29-Feb-16,UC Web,50
29-Feb-16,BlackBerry,23
29-Feb-16,Amazon,8
1-Mar-16,Google,69862
1-Mar-16,Mozilla,45157
1-Mar-16,Microsoft,19950
1-Mar-16,Apple,5937
1-Mar-16,Opera,197
1-Mar-16,Other,197
1-Mar-16,UC Web,51
1-Mar-16,Yandex,42
1-Mar-16,BlackBerry,38
1-Mar-16,Netscape,13
2-Mar-16,Google,70825
2-Mar-16,Mozilla,46611
2-Mar-16,Microsoft,20197
2-Mar-16,Apple,5640
2-Mar-16,Other,227
2-Mar-16,Opera,215
2-Mar-16,UC Web,68
2-Mar-16,Yandex,59
2-Mar-16,BlackBerry,18
2-Mar-16,Amazon,18
3-Mar-16,Google,66465
3-Mar-16,Mozilla,42221
3-Mar-16,Microsoft,17381
3-Mar-16,Apple,4854
3-Mar-16,Opera,196
3-Mar-16,Other,172
3-Mar-16,UC Web,72
3-Mar-16,Yandex,49
3-Mar-16,BlackBerry,12
3-Mar-16,Netscape,7
4-Mar-16,Google,52154
4-Mar-16,Mozilla,32947
4-Mar-16,Microsoft,12121
4-Mar-16,Apple,3902
4-Mar-16,Opera,188
4-Mar-16,Other,183
4-Mar-16,Yandex,62
4-Mar-16,UC Web,52
4-Mar-16,BlackBerry,17
4-Mar-16,Amazon,5
5-Mar-16,Google,16704
5-Mar-16,Mozilla,9620
5-Mar-16,Microsoft,2211
5-Mar-16,Apple,1841
5-Mar-16,UC Web,238
5-Mar-16,Other,185
5-Mar-16,Opera,151
5-Mar-16,Yandex,22
5-Mar-16,Amazon,15
5-Mar-16,BlackBerry,13
6-Mar-16,Google,21548
6-Mar-16,Mozilla,12032
6-Mar-16,Microsoft,4624
6-Mar-16,Apple,2088
6-Mar-16,Other,200
6-Mar-16,Opera,195
6-Mar-16,UC Web,131
6-Mar-16,Yandex,15
6-Mar-16,BlackBerry,12
6-Mar-16,Amazon,7
7-Mar-16,Google,62399
