Date,Device,Visits
19-Feb-16,Desktop,105110
19-Feb-16,Mobile,3176
19-Feb-16,Tablet,574
20-Feb-16,Desktop,32062
20-Feb-16,Mobile,1856
20-Feb-16,Tablet,503
21-Feb-16,Desktop,41366
21-Feb-16,Mobile,1913
21-Feb-16,Tablet,458
22-Feb-16,Desktop,120632
22-Feb-16,Mobile,3003
22-Feb-16,Tablet,532
23-Feb-16,Desktop,119702
23-Feb-16,Mobile,3221
23-Feb-16,Tablet,539
24-Feb-16,Desktop,117349
24-Feb-16,Mobile,3205
24-Feb-16,Tablet,573
25-Feb-16,Desktop,114168
25-Feb-16,Mobile,3321
25-Feb-16,Tablet,584
26-Feb-16,Desktop,91036
26-Feb-16,Mobile,2596
26-Feb-16,Tablet,537
27-Feb-16,Desktop,25402
27-Feb-16,Mobile,1757
27-Feb-16,Tablet,488
28-Feb-16,Desktop,34572
28-Feb-16,Mobile,1722
28-Feb-16,Tablet,482
29-Feb-16,Desktop,110613
29-Feb-16,Mobile,2723
29-Feb-16,Tablet,511
1-Mar-16,Desktop,135778
1-Mar-16,Mobile,4987
1-Mar-16,Tablet,703
2-Mar-16,Desktop,138886
2-Mar-16,Mobile,4253
2-Mar-16,Tablet,753
3-Mar-16,Desktop,127180
3-Mar-16,Mobile,3634
3-Mar-16,Tablet,629
4-Mar-16,Desktop,98133
4-Mar-16,Mobile,2973
4-Mar-16,Tablet,537
5-Mar-16,Desktop,27894
5-Mar-16,Mobile,2546
5-Mar-16,Tablet,574
6-Mar-16,Desktop,38068
6-Mar-16,Mobile,2244
6-Mar-16,Tablet,545
7-Mar-16,Desktop,118285
7-Mar-16,Mobile,3415
7-Mar-16,Tablet,526
8-Mar-16,Desktop,124739
8-Mar-16,Mobile,3540
8-Mar-16,Tablet,579
9-Mar-16,Desktop,125587
9-Mar-16,Mobile,3660
9-Mar-16,Tablet,597
10-Mar-16,Desktop,123413
10-Mar-16,Mobile,3520
10-Mar-16,Tablet,635
11-Mar-16,Desktop,95990
11-Mar-16,Mobile,2873
11-Mar-16,Tablet,507
12-Mar-16,Desktop,27489
12-Mar-16,Mobile,1786
12-Mar-16,Tablet,495
13-Mar-16,Desktop,34434
13-Mar-16,Mobile,1860
13-Mar-16,Tablet,455
14-Mar-16,Desktop,119729
14-Mar-16,Mobile,3190
14-Mar-16,Tablet,510
15-Mar-16,Desktop,123608
15-Mar-16,Mobile,3325
15-Mar-16,Tablet,647
16-Mar-16,Desktop,124109
16-Mar-16,Mobile,3596
16-Mar-16,Tablet,577
17-Mar-16,Desktop,118975
17-Mar-16,Mobile,3508
17-Mar-16,Tablet,570
18-Mar-16,Desktop,95396
18-Mar-16,Mobile,2888
18-Mar-16,Tablet,470
19-Mar-16,Desktop,27738
