Date,Operating System Types,Visits
19-Feb-16,Microsoft Windows,71559
19-Feb-16,GNU/Linux,21822
19-Feb-16,Apple Macintosh,11582
19-Feb-16,Google Android,2170
19-Feb-16,Apple iOS,1522
19-Feb-16,UNIX,72
19-Feb-16,Chrome OS,59
19-Feb-16,Microsoft Windows Phone/Mobile,35
19-Feb-16,Other,16
19-Feb-16,Blackberry,13
20-Feb-16,Microsoft Windows,17907
20-Feb-16,GNU/Linux,10265
20-Feb-16,Apple Macintosh,3807
20-Feb-16,Google Android,1337
20-Feb-16,Apple iOS,978
20-Feb-16,Chrome OS,55
20-Feb-16,Microsoft Windows Phone/Mobile,29
20-Feb-16,UNIX,16
20-Feb-16,Other,13
20-Feb-16,Blackberry,10
21-Feb-16,Microsoft Windows,26258
21-Feb-16,GNU/Linux,10553
21-Feb-16,Apple Macintosh,4483
21-Feb-16,Google Android,1372
21-Feb-16,Apple iOS,935
21-Feb-16,Chrome OS,46
21-Feb-16,Microsoft Windows Phone/Mobile,40
21-Feb-16,Nokia,14
21-Feb-16,UNIX,14
21-Feb-16,Other,14
22-Feb-16,Microsoft Windows,85711
22-Feb-16,GNU/Linux,22010
22-Feb-16,Apple Macintosh,12777
22-Feb-16,Google Android,1963
22-Feb-16,Apple iOS,1503
22-Feb-16,UNIX,57
22-Feb-16,Chrome OS,52
22-Feb-16,Microsoft Windows Phone/Mobile,52
22-Feb-16,Other,26
22-Feb-16,Nokia,9
23-Feb-16,Microsoft Windows,87460
23-Feb-16,GNU/Linux,19668
23-Feb-16,Apple Macintosh,12440
23-Feb-16,Google Android,2175
23-Feb-16,Apple iOS,1517
23-Feb-16,UNIX,61
23-Feb-16,Chrome OS,47
23-Feb-16,Microsoft Windows Phone/Mobile,42
23-Feb-16,Other,29
23-Feb-16,Blackberry,12
24-Feb-16,Microsoft Windows,84899
24-Feb-16,GNU/Linux,19681
24-Feb-16,Apple Macintosh,12597
24-Feb-16,Google Android,2178
24-Feb-16,Apple iOS,1529
24-Feb-16,UNIX,92
24-Feb-16,Chrome OS,54
24-Feb-16,Microsoft Windows Phone/Mobile,36
24-Feb-16,Blackberry,26
24-Feb-16,Other,26
25-Feb-16,Microsoft Windows,82793
25-Feb-16,GNU/Linux,19104
25-Feb-16,Apple Macintosh,12136
25-Feb-16,Google Android,2206
25-Feb-16,Apple iOS,1636
25-Feb-16,UNIX,63
25-Feb-16,Chrome OS,50
25-Feb-16,Microsoft Windows Phone/Mobile,37
25-Feb-16,Other,23
25-Feb-16,Blackberry,19
26-Feb-16,Microsoft Windows,64947
26-Feb-16,GNU/Linux,16113
26-Feb-16,Apple Macintosh,9848
26-Feb-16,Google Android,1825
26-Feb-16,Apple iOS,1247
26-Feb-16,UNIX,61
26-Feb-16,Chrome OS,47
26-Feb-16,Microsoft Windows Phone/Mobile,28
26-Feb-16,Other,24
26-Feb-16,Blackberry,19
27-Feb-16,Microsoft Windows,15931
27-Feb-16,GNU/Linux,5938
27-Feb-16,Apple Macintosh,3470
27-Feb-16,Google Android,1356
27-Feb-16,Apple iOS,832
27-Feb-16,Chrome OS,42
27-Feb-16,Microsoft Windows Phone/Mobile,33
27-Feb-16,Other,20
27-Feb-16,Blackberry,10
27-Feb-16,Nokia,6
28-Feb-16,Microsoft Windows,23953
28-Feb-16,GNU/Linux,6427
28-Feb-16,Apple Macintosh,4132
28-Feb-16,Google Android,1367
28-Feb-16,Apple iOS,788
28-Feb-16,Chrome OS,41
28-Feb-16,Microsoft Windows Phone/Mobile,18
28-Feb-16,Nokia,14
28-Feb-16,UNIX,11
28-Feb-16,Blackberry,11
29-Feb-16,Microsoft Windows,79671
29-Feb-16,GNU/Linux,19173
29-Feb-16,Apple Macintosh,11653
29-Feb-16,Google Android,1867
29-Feb-16,Apple iOS,1288
29-Feb-16,UNIX,57
29-Feb-16,Microsoft Windows Phone/Mobile,40
29-Feb-16,Chrome OS,38
29-Feb-16,Other,25
