Date,Operating Systems,Visits
19-Feb-16,Windows 7,53491
19-Feb-16,Windows 10,8952
19-Feb-16,Windows 8.1,7323
19-Feb-16,Windows 8,779
19-Feb-16,Windows XP,726
19-Feb-16,Windows Vista,207
19-Feb-16,Windows Server 2003 and XP x64 Edition,77
19-Feb-16,Windows NT,2
19-Feb-16,Windows 2000/NT 5,1
19-Feb-16,Windows 3.x,1
20-Feb-16,Windows 7,10487
20-Feb-16,Windows 10,4508
20-Feb-16,Windows 8.1,2155
20-Feb-16,Windows 8,313
20-Feb-16,Windows XP,304
20-Feb-16,Windows Vista,104
20-Feb-16,Windows Server 2003 and XP x64 Edition,32
20-Feb-16,Windows 2000/NT 5,2
20-Feb-16,Windows 3.x,1
20-Feb-16,Windows NT,1
21-Feb-16,Windows 7,17273
21-Feb-16,Windows 10,5195
21-Feb-16,Windows 8.1,2957
21-Feb-16,Windows 8,359
21-Feb-16,Windows XP,322
21-Feb-16,Windows Vista,115
21-Feb-16,Windows Server 2003 and XP x64 Edition,35
21-Feb-16,Windows 3.x,1
21-Feb-16,Windows NT,1
22-Feb-16,Windows 7,64839
22-Feb-16,Windows 10,9923
22-Feb-16,Windows 8.1,8793
22-Feb-16,Windows 8,923
22-Feb-16,Windows XP,853
22-Feb-16,Windows Vista,270
22-Feb-16,Windows Server 2003 and XP x64 Edition,104
22-Feb-16,Windows NT,3
22-Feb-16,Windows 3.x,2
22-Feb-16,Windows 98,1
23-Feb-16,Windows 7,66435
23-Feb-16,Windows 10,10242
23-Feb-16,Windows 8.1,8732
23-Feb-16,Windows 8,867
23-Feb-16,Windows XP,812
23-Feb-16,Windows Vista,277
23-Feb-16,Windows Server 2003 and XP x64 Edition,91
23-Feb-16,Windows NT,2
23-Feb-16,Windows 2000/NT 5,1
23-Feb-16,Windows 3.x,1
24-Feb-16,Windows 7,64043
24-Feb-16,Windows 10,10223
24-Feb-16,Windows 8.1,8527
24-Feb-16,Windows 8,890
24-Feb-16,Windows XP,821
24-Feb-16,Windows Vista,279
24-Feb-16,Windows Server 2003 and XP x64 Edition,115
24-Feb-16,Windows 3.x,1
25-Feb-16,Windows 7,62409
25-Feb-16,Windows 10,10095
25-Feb-16,Windows 8.1,8290
25-Feb-16,Windows 8,837
25-Feb-16,Windows XP,818
25-Feb-16,Windows Vista,248
25-Feb-16,Windows Server 2003 and XP x64 Edition,90
25-Feb-16,Windows 3.x,4
25-Feb-16,Windows 2000/NT 5,1
25-Feb-16,Windows NT,1
26-Feb-16,Windows 7,48203
26-Feb-16,Windows 10,8411
26-Feb-16,Windows 8.1,6589
26-Feb-16,Windows XP,753
26-Feb-16,Windows 8,721
26-Feb-16,Windows Vista,189
26-Feb-16,Windows Server 2003 and XP x64 Edition,78
26-Feb-16,Windows 98,2
26-Feb-16,Windows 3.x,1
27-Feb-16,Windows 7,9132
27-Feb-16,Windows 10,4255
27-Feb-16,Windows 8.1,1936
27-Feb-16,Windows 8,266
27-Feb-16,Windows XP,258
27-Feb-16,Windows Vista,69
27-Feb-16,Windows Server 2003 and XP x64 Edition,14
27-Feb-16,Windows NT,1
28-Feb-16,Windows 7,15389
28-Feb-16,Windows 10,5004
28-Feb-16,Windows 8.1,2857
28-Feb-16,Windows 8,301
28-Feb-16,Windows XP,265
28-Feb-16,Windows Vista,105
28-Feb-16,Windows Server 2003 and XP x64 Edition,28
28-Feb-16,Windows 2000/NT 5,1
28-Feb-16,Windows 3.x,1
28-Feb-16,Windows 98,1
29-Feb-16,Windows 7,59815
29-Feb-16,Windows 10,9891
29-Feb-16,Windows 8.1,8139
29-Feb-16,Windows 8,766
29-Feb-16,Windows XP,732
29-Feb-16,Windows Vista,236
29-Feb-16,Windows Server 2003 and XP x64 Edition,86
29-Feb-16,Windows 3.x,3
29-Feb-16,Windows 2000/NT 5,1
29-Feb-16,Windows 98,1
1-Mar-16,Windows 7,74195
1-Mar-16,Windows 10,11652
1-Mar-16,Windows 8.1,9852
1-Mar-16,Windows XP,897
1-Mar-16,Windows 8,852
1-Mar-16,Windows Vista,296
1-Mar-16,Windows Server 2003 and XP x64 Edition,125
1-Mar-16,Windows 3.x,2
1-Mar-16,Windows NT,2
2-Mar-16,Windows 7,76282
2-Mar-16,Windows 10,12339
2-Mar-16,Windows 8.1,10319
2-Mar-16,Windows 8,1086
2-Mar-16,Windows XP,963
2-Mar-16,Windows Vista,287
2-Mar-16,Windows Server 2003 and XP x64 Edition,125
2-Mar-16,Windows NT,6
2-Mar-16,Windows 3.x,3
2-Mar-16,Windows 2000/NT 5,1
3-Mar-16,Windows 7,70054
3-Mar-16,Windows 10,11337
3-Mar-16,Windows 8.1,9420
3-Mar-16,Windows 8,902
3-Mar-16,Windows XP,894
3-Mar-16,Windows Vista,297
3-Mar-16,Windows Server 2003 and XP x64 Edition,108
4-Mar-16,Windows 7,51767
4-Mar-16,Windows 10,9243
4-Mar-16,Windows 8.1,7037
4-Mar-16,Windows XP,696
4-Mar-16,Windows 8,694
4-Mar-16,Windows Vista,216
4-Mar-16,Windows Server 2003 and XP x64 Edition,71
4-Mar-16,Windows 2000/NT 5,3
4-Mar-16,Windows 3.x,3
5-Mar-16,Windows 7,10175
5-Mar-16,Windows 10,4824
5-Mar-16,Windows 8.1,2330
5-Mar-16,Windows 8,351
5-Mar-16,Windows XP,327
5-Mar-16,Windows Vista,95
5-Mar-16,Windows Server 2003 and XP x64 Edition,30
5-Mar-16,Windows 98,2
6-Mar-16,Windows 7,16989
6-Mar-16,Windows 10,5488
6-Mar-16,Windows 8.1,3108
6-Mar-16,Windows XP,432
6-Mar-16,Windows 8,398
6-Mar-16,Windows Vista,135
6-Mar-16,Windows Server 2003 and XP x64 Edition,36
6-Mar-16,Windows 2000/NT 5,1
6-Mar-16,Windows 98,1
7-Mar-16,Windows 7,64673
7-Mar-16,Windows 10,10770
7-Mar-16,Windows 8.1,8576
7-Mar-16,Windows XP,927
7-Mar-16,Windows 8,829
7-Mar-16,Windows Vista,292
7-Mar-16,Windows Server 2003 and XP x64 Edition,83
7-Mar-16,Windows 3.x,2
7-Mar-16,Windows 98,2
7-Mar-16,Windows 2000/NT 5,1
8-Mar-16,Windows 7,68802
8-Mar-16,Windows 10,11321
8-Mar-16,Windows 8.1,9084
8-Mar-16,Windows XP,873
8-Mar-16,Windows 8,848
8-Mar-16,Windows Vista,242
8-Mar-16,Windows Server 2003 and XP x64 Edition,94
8-Mar-16,Windows 2000/NT 5,1
8-Mar-16,Windows 3.x,1
9-Mar-16,Windows 7,68401
9-Mar-16,Windows 10,11520
9-Mar-16,Windows 8.1,9037
9-Mar-16,Windows 8,904
9-Mar-16,Windows XP,816
9-Mar-16,Windows Vista,288
9-Mar-16,Windows Server 2003 and XP x64 Edition,95
9-Mar-16,Windows 2000/NT 5,3
9-Mar-16,Windows NT,2
9-Mar-16,Windows 3.x,1
10-Mar-16,Windows 7,67597
10-Mar-16,Windows 10,10966
10-Mar-16,Windows 8.1,8954
10-Mar-16,Windows 8,928
10-Mar-16,Windows XP,897
10-Mar-16,Windows Vista,295
10-Mar-16,Windows Server 2003 and XP x64 Edition,101
10-Mar-16,Windows 2000/NT 5,2
10-Mar-16,Windows 3.x,2
11-Mar-16,Windows 7,49999
11-Mar-16,Windows 10,9249
11-Mar-16,Windows 8.1,7017
11-Mar-16,Windows 8,733
11-Mar-16,Windows XP,717
11-Mar-16,Windows Vista,219
11-Mar-16,Windows Server 2003 and XP x64 Edition,98
11-Mar-16,Windows 3.x,7
11-Mar-16,Windows 98,1
11-Mar-16,Windows NT,1
12-Mar-16,Windows 7,9834
12-Mar-16,Windows 10,4791
12-Mar-16,Windows 8.1,2093
12-Mar-16,Windows 8,299
12-Mar-16,Windows XP,286
12-Mar-16,Windows Vista,100
12-Mar-16,Windows Server 2003 and XP x64 Edition,46
12-Mar-16,Windows 2000/NT 5,1
12-Mar-16,Windows 98,1
13-Mar-16,Windows 7,15057
13-Mar-16,Windows 10,5188
13-Mar-16,Windows 8.1,2762
13-Mar-16,Windows 8,295
13-Mar-16,Windows XP,271
13-Mar-16,Windows Vista,135
13-Mar-16,Windows Server 2003 and XP x64 Edition,33
13-Mar-16,Windows NT,1
14-Mar-16,Windows 7,64749
14-Mar-16,Windows 10,11326
14-Mar-16,Windows 8.1,8633
14-Mar-16,Windows 8,875
14-Mar-16,Windows XP,853
14-Mar-16,Windows Vista,260
14-Mar-16,Windows Server 2003 and XP x64 Edition,115
14-Mar-16,Windows 3.x,7
14-Mar-16,Windows NT,3
14-Mar-16,Windows 2000/NT 5,1
15-Mar-16,Windows 7,66905
15-Mar-16,Windows 10,11631
15-Mar-16,Windows 8.1,8826
15-Mar-16,Windows 8,922
15-Mar-16,Windows XP,879
15-Mar-16,Windows Vista,289
15-Mar-16,Windows Server 2003 and XP x64 Edition,117
15-Mar-16,Windows 3.x,5
15-Mar-16,Windows NT,2
16-Mar-16,Windows 7,66838
16-Mar-16,Windows 10,11689
16-Mar-16,Windows 8.1,9032
16-Mar-16,Windows 8,878
16-Mar-16,Windows XP,854
16-Mar-16,Windows Vista,271
16-Mar-16,Windows Server 2003 and XP x64 Edition,91
16-Mar-16,Windows 3.x,5
16-Mar-16,Windows 2000/NT 5,4
16-Mar-16,Windows NT,2
17-Mar-16,Windows 7,64617
17-Mar-16,Windows 10,10858
17-Mar-16,Windows 8.1,8623
17-Mar-16,Windows 8,816
17-Mar-16,Windows XP,808
17-Mar-16,Windows Vista,273
17-Mar-16,Windows Server 2003 and XP x64 Edition,118
17-Mar-16,Windows 3.x,3
18-Mar-16,Windows 7,49919
18-Mar-16,Windows 10,9289
18-Mar-16,Windows 8.1,6815
18-Mar-16,Windows XP,689
18-Mar-16,Windows 8,652
18-Mar-16,Windows Vista,227
18-Mar-16,Windows Server 2003 and XP x64 Edition,84
18-Mar-16,Windows 2000/NT 5,4
18-Mar-16,Windows 3.x,3
18-Mar-16,Windows 98,2
19-Mar-16,Windows 7,9763
19-Mar-16,Windows 10,4781
19-Mar-16,Windows 8.1,2175
19-Mar-16,Windows XP,323
19-Mar-16,Windows 8,295
19-Mar-16,Windows Vista,117
19-Mar-16,Windows Server 2003 and XP x64 Edition,28
19-Mar-16,Windows 3.x,1
19-Mar-16,Windows 98,1
20-Mar-16,Windows 7,12312
20-Mar-16,Windows 10,5309
20-Mar-16,Windows 8.1,2343
20-Mar-16,Windows 8,325
20-Mar-16,Windows XP,285
20-Mar-16,Windows Vista,114
20-Mar-16,Windows Server 2003 and XP x64 Edition,20
20-Mar-16,Windows 2000/NT 5,1
21-Mar-16,Windows 7,57015
21-Mar-16,Windows 10,10907
21-Mar-16,Windows 8.1,7916
21-Mar-16,Windows 8,802
21-Mar-16,Windows XP,761
21-Mar-16,Windows Vista,216
21-Mar-16,Windows Server 2003 and XP x64 Edition,78
21-Mar-16,Windows 2000/NT 5,1
22-Mar-16,Windows 7,65575
22-Mar-16,Windows 10,11540
22-Mar-16,Windows 8.1,8596
22-Mar-16,Windows XP,910
22-Mar-16,Windows 8,833
22-Mar-16,Windows Vista,237
22-Mar-16,Windows Server 2003 and XP x64 Edition,83
22-Mar-16,Windows NT,3
22-Mar-16,Windows 3.x,2
22-Mar-16,Windows 2000/NT 5,1
23-Mar-16,Windows 7,61959
23-Mar-16,Windows 10,11344
23-Mar-16,Windows 8.1,8326
23-Mar-16,Windows XP,804
23-Mar-16,Windows 8,786
23-Mar-16,Windows Vista,225
23-Mar-16,Windows Server 2003 and XP x64 Edition,79
23-Mar-16,Windows 2000/NT 5,2
24-Mar-16,Windows 7,54889
24-Mar-16,Windows 10,10113
24-Mar-16,Windows 8.1,6892
24-Mar-16,Windows XP,717
24-Mar-16,Windows 8,677
24-Mar-16,Windows Vista,195
24-Mar-16,Windows Server 2003 and XP x64 Edition,70
24-Mar-16,Windows 2000/NT 5,2
24-Mar-16,Windows 3.x,1
24-Mar-16,Windows NT,1
25-Mar-16,Windows 7,29960
25-Mar-16,Windows 10,6908
25-Mar-16,Windows 8.1,4056
25-Mar-16,Windows XP,428
25-Mar-16,Windows 8,409
25-Mar-16,Windows Vista,148
25-Mar-16,Windows Server 2003 and XP x64 Edition,37
25-Mar-16,Windows NT,5
25-Mar-16,Windows 3.x,1
26-Mar-16,Windows 7,8419
26-Mar-16,Windows 10,4444
26-Mar-16,Windows 8.1,1879
26-Mar-16,Windows XP,285
26-Mar-16,Windows 8,253
26-Mar-16,Windows Vista,65
26-Mar-16,Windows Server 2003 and XP x64 Edition,19
27-Mar-16,Windows 7,12690
27-Mar-16,Windows 10,4830
27-Mar-16,Windows 8.1,2355
27-Mar-16,Windows XP,270
27-Mar-16,Windows 8,269
27-Mar-16,Windows Vista,79
27-Mar-16,Windows Server 2003 and XP x64 Edition,28
27-Mar-16,Windows 2000/NT 5,1
28-Mar-16,Windows 7,48591
