Date,Browser Type,Visits
19-Feb-16,Google,75
19-Feb-16,Mozilla,27
19-Feb-16,Apple,22
19-Feb-16,Microsoft,9
20-Feb-16,Google,16
20-Feb-16,Apple,10
20-Feb-16,Mozilla,8
20-Feb-16,Microsoft,1
21-Feb-16,Google,19
21-Feb-16,Mozilla,9
21-Feb-16,Apple,8
21-Feb-16,Microsoft,5
22-Feb-16,Mozilla,101
22-Feb-16,Google,93
22-Feb-16,Apple,11
22-Feb-16,Microsoft,10
23-Feb-16,Google,76
23-Feb-16,Mozilla,66
23-Feb-16,Microsoft,8
23-Feb-16,Apple,6
24-Feb-16,Google,57
24-Feb-16,Mozilla,46
24-Feb-16,Microsoft,25
24-Feb-16,Apple,5
25-Feb-16,Google,77
25-Feb-16,Mozilla,33
25-Feb-16,Microsoft,17
25-Feb-16,Apple,10
26-Feb-16,Google,55
26-Feb-16,Mozilla,21
26-Feb-16,Apple,10
26-Feb-16,Microsoft,8
26-Feb-16,Opera,1
27-Feb-16,Google,8
27-Feb-16,Mozilla,8
27-Feb-16,Apple,2
27-Feb-16,Microsoft,2
27-Feb-16,Opera,1
28-Feb-16,Google,18
28-Feb-16,Mozilla,4
28-Feb-16,Microsoft,3
28-Feb-16,Apple,2
29-Feb-16,Mozilla,104
29-Feb-16,Google,57
29-Feb-16,Apple,5
29-Feb-16,Microsoft,4
1-Mar-16,Mozilla,94
1-Mar-16,Google,63
1-Mar-16,Microsoft,14
1-Mar-16,Apple,7
2-Mar-16,Google,76
2-Mar-16,Mozilla,60
2-Mar-16,Microsoft,26
2-Mar-16,Apple,3
3-Mar-16,Google,70
3-Mar-16,Mozilla,39
3-Mar-16,Microsoft,10
3-Mar-16,Apple,6
4-Mar-16,Google,58
4-Mar-16,Mozilla,26
4-Mar-16,Microsoft,4
4-Mar-16,Apple,2
5-Mar-16,Google,10
5-Mar-16,Mozilla,5
5-Mar-16,Apple,4
6-Mar-16,Mozilla,51
6-Mar-16,Google,18
6-Mar-16,Apple,6
6-Mar-16,Microsoft,3
7-Mar-16,Google,64
7-Mar-16,Mozilla,57
7-Mar-16,Microsoft,18
7-Mar-16,Apple,10
7-Mar-16,Opera,2
7-Mar-16,UC Web,1
8-Mar-16,Google,70
8-Mar-16,Mozilla,31
8-Mar-16,Microsoft,15
8-Mar-16,Apple,8
9-Mar-16,Mozilla,56
9-Mar-16,Google,55
9-Mar-16,Apple,20
9-Mar-16,Microsoft,17
10-Mar-16,Mozilla,99
10-Mar-16,Google,68
10-Mar-16,Apple,16
10-Mar-16,Microsoft,10
11-Mar-16,Google,65
11-Mar-16,Mozilla,31
11-Mar-16,Microsoft,13
11-Mar-16,Apple,9
11-Mar-16,Opera,2
12-Mar-16,Google,16
12-Mar-16,Mozilla,5
12-Mar-16,Microsoft,2
12-Mar-16,UC Web,1
12-Mar-16,Apple,1
12-Mar-16,Opera,1
13-Mar-16,Google,12
13-Mar-16,Mozilla,12
13-Mar-16,Apple,6
13-Mar-16,Microsoft,1
14-Mar-16,Google,71
14-Mar-16,Microsoft,27
14-Mar-16,Mozilla,22
14-Mar-16,Apple,14
14-Mar-16,Opera,1
14-Mar-16,Other,1
15-Mar-16,Google,61
15-Mar-16,Mozilla,26
15-Mar-16,Apple,18
15-Mar-16,Microsoft,13
16-Mar-16,Google,66
16-Mar-16,Mozilla,24
16-Mar-16,Apple,13
16-Mar-16,Microsoft,7
17-Mar-16,Google,70
17-Mar-16,Mozilla,31
17-Mar-16,Microsoft,17
17-Mar-16,Apple,7
17-Mar-16,Other,1
18-Mar-16,Google,45
18-Mar-16,Mozilla,20
18-Mar-16,Microsoft,12
18-Mar-16,Apple,5
19-Mar-16,Google,17
19-Mar-16,Mozilla,3
19-Mar-16,Apple,3
19-Mar-16,Microsoft,1
20-Mar-16,Google,12
20-Mar-16,Mozilla,4
20-Mar-16,Apple,4
21-Mar-16,Google,63
21-Mar-16,Mozilla,15
21-Mar-16,Microsoft,8
21-Mar-16,Other,4
21-Mar-16,Apple,3
22-Mar-16,Google,81
