Date,Device,Visits
19-Feb-16,Desktop,112
19-Feb-16,Mobile,14
19-Feb-16,Tablet,7
20-Feb-16,Desktop,26
20-Feb-16,Mobile,8
20-Feb-16,Tablet,1
21-Feb-16,Desktop,35
21-Feb-16,Mobile,4
21-Feb-16,Tablet,2
22-Feb-16,Desktop,203
22-Feb-16,Mobile,10
22-Feb-16,Tablet,2
23-Feb-16,Desktop,147
23-Feb-16,Mobile,6
23-Feb-16,Tablet,3
24-Feb-16,Desktop,130
24-Feb-16,Mobile,3
24-Feb-16,Tablet,0
25-Feb-16,Desktop,130
25-Feb-16,Mobile,6
25-Feb-16,Tablet,1
26-Feb-16,Desktop,89
26-Feb-16,Mobile,6
26-Feb-16,Tablet,0
27-Feb-16,Desktop,20
27-Feb-16,Mobile,0
27-Feb-16,Tablet,1
28-Feb-16,Desktop,24
28-Feb-16,Mobile,3
28-Feb-16,Tablet,0
29-Feb-16,Desktop,165
29-Feb-16,Mobile,3
29-Feb-16,Tablet,2
1-Mar-16,Desktop,174
1-Mar-16,Mobile,4
1-Mar-16,Tablet,0
2-Mar-16,Desktop,163
2-Mar-16,Mobile,0
2-Mar-16,Tablet,2
3-Mar-16,Desktop,116
3-Mar-16,Mobile,7
3-Mar-16,Tablet,2
4-Mar-16,Desktop,87
4-Mar-16,Mobile,3
4-Mar-16,Tablet,0
5-Mar-16,Desktop,14
5-Mar-16,Mobile,1
5-Mar-16,Tablet,4
6-Mar-16,Desktop,70
6-Mar-16,Mobile,4
6-Mar-16,Tablet,4
7-Mar-16,Desktop,145
7-Mar-16,Mobile,6
7-Mar-16,Tablet,1
8-Mar-16,Desktop,120
8-Mar-16,Mobile,4
8-Mar-16,Tablet,0
9-Mar-16,Desktop,142
9-Mar-16,Mobile,5
9-Mar-16,Tablet,1
10-Mar-16,Desktop,184
10-Mar-16,Mobile,4
10-Mar-16,Tablet,5
11-Mar-16,Desktop,116
11-Mar-16,Mobile,4
11-Mar-16,Tablet,0
12-Mar-16,Desktop,22
12-Mar-16,Mobile,3
12-Mar-16,Tablet,1
13-Mar-16,Desktop,27
13-Mar-16,Mobile,3
13-Mar-16,Tablet,1
14-Mar-16,Desktop,127
14-Mar-16,Mobile,6
14-Mar-16,Tablet,3
15-Mar-16,Desktop,112
15-Mar-16,Mobile,6
15-Mar-16,Tablet,0
16-Mar-16,Desktop,104
16-Mar-16,Mobile,5
16-Mar-16,Tablet,1
17-Mar-16,Desktop,119
17-Mar-16,Mobile,6
17-Mar-16,Tablet,1
18-Mar-16,Desktop,75
18-Mar-16,Mobile,4
18-Mar-16,Tablet,3
19-Mar-16,Desktop,21
19-Mar-16,Mobile,3
19-Mar-16,Tablet,0
20-Mar-16,Desktop,17
20-Mar-16,Mobile,2
20-Mar-16,Tablet,1
21-Mar-16,Desktop,89
21-Mar-16,Mobile,4
21-Mar-16,Tablet,0
22-Mar-16,Desktop,128
22-Mar-16,Mobile,7
22-Mar-16,Tablet,1
23-Mar-16,Desktop,120
23-Mar-16,Mobile,6
23-Mar-16,Tablet,1
24-Mar-16,Desktop,185
24-Mar-16,Mobile,5
24-Mar-16,Tablet,0
25-Mar-16,Desktop,42
25-Mar-16,Mobile,1
25-Mar-16,Tablet,0
26-Mar-16,Desktop,14
26-Mar-16,Mobile,2
26-Mar-16,Tablet,0
27-Mar-16,Desktop,25
27-Mar-16,Mobile,2
27-Mar-16,Tablet,1
28-Mar-16,Desktop,96
28-Mar-16,Mobile,3
28-Mar-16,Tablet,1
29-Mar-16,Desktop,97
29-Mar-16,Mobile,6
29-Mar-16,Tablet,2
30-Mar-16,Desktop,151
30-Mar-16,Mobile,2
30-Mar-16,Tablet,1
31-Mar-16,Desktop,120
31-Mar-16,Mobile,3
31-Mar-16,Tablet,1
1-Apr-16,Desktop,234
1-Apr-16,Mobile,22
1-Apr-16,Tablet,4
2-Apr-16,Desktop,60
2-Apr-16,Mobile,14
2-Apr-16,Tablet,0
3-Apr-16,Desktop,49
3-Apr-16,Mobile,15
3-Apr-16,Tablet,2
4-Apr-16,Desktop,248
4-Apr-16,Mobile,30
4-Apr-16,Tablet,4
5-Apr-16,Desktop,201
5-Apr-16,Mobile,13
5-Apr-16,Tablet,3
6-Apr-16,Desktop,164
6-Apr-16,Mobile,5
6-Apr-16,Tablet,0
7-Apr-16,Desktop,155
7-Apr-16,Mobile,9
7-Apr-16,Tablet,1
8-Apr-16,Desktop,179
8-Apr-16,Mobile,11
8-Apr-16,Tablet,1
9-Apr-16,Desktop,25
9-Apr-16,Mobile,2
9-Apr-16,Tablet,1
10-Apr-16,Desktop,59
10-Apr-16,Mobile,4
10-Apr-16,Tablet,0
11-Apr-16,Desktop,143
11-Apr-16,Mobile,2
11-Apr-16,Tablet,0
12-Apr-16,Desktop,149
12-Apr-16,Mobile,10
12-Apr-16,Tablet,1
13-Apr-16,Desktop,178
13-Apr-16,Mobile,7
13-Apr-16,Tablet,1
14-Apr-16,Desktop,176
14-Apr-16,Mobile,5
14-Apr-16,Tablet,1
15-Apr-16,Desktop,110
15-Apr-16,Mobile,8
15-Apr-16,Tablet,0
16-Apr-16,Desktop,28
16-Apr-16,Mobile,6
16-Apr-16,Tablet,1
