Date,Browser,Visits
19-Feb-16,Microsoft Internet Explorer 11,7
19-Feb-16,Internet Explorer Mobile 11.0,1
20-Feb-16,Microsoft Internet Explorer 11,1
21-Feb-16,Microsoft Internet Explorer 11,5
22-Feb-16,Microsoft Internet Explorer 11,6
23-Feb-16,Microsoft Internet Explorer 11,5
23-Feb-16,Microsoft Internet Explorer 10,2
23-Feb-16,Microsoft Internet Explorer 9,1
24-Feb-16,Microsoft Internet Explorer 11,21
24-Feb-16,Internet Explorer Mobile 11.0,1
25-Feb-16,Microsoft Internet Explorer 11,13
25-Feb-16,Microsoft Internet Explorer 10,3
25-Feb-16,Microsoft Internet Explorer 9,1
26-Feb-16,Microsoft Internet Explorer 11,4
26-Feb-16,Microsoft Internet Explorer 10,1
27-Feb-16,Microsoft Internet Explorer 11,1
28-Feb-16,Microsoft Internet Explorer 11,3
29-Feb-16,Microsoft Internet Explorer 11,4
1-Mar-16,Microsoft Internet Explorer 11,8
1-Mar-16,Microsoft Internet Explorer 9,1
2-Mar-16,Microsoft Internet Explorer 11,21
2-Mar-16,Microsoft Internet Explorer 10,1
3-Mar-16,Microsoft Internet Explorer 11,9
3-Mar-16,Microsoft Internet Explorer 8,1
4-Mar-16,Microsoft Internet Explorer 11,4
6-Mar-16,Microsoft Internet Explorer 11,3
7-Mar-16,Microsoft Internet Explorer 11,14
7-Mar-16,Microsoft Internet Explorer 8,1
8-Mar-16,Microsoft Internet Explorer 11,12
8-Mar-16,Microsoft Internet Explorer 8,1
9-Mar-16,Microsoft Internet Explorer 11,13
9-Mar-16,Microsoft Internet Explorer 10,1
9-Mar-16,Microsoft Internet Explorer 9,1
10-Mar-16,Microsoft Internet Explorer 11,9
11-Mar-16,Microsoft Internet Explorer 11,10
11-Mar-16,Internet Explorer Mobile 11.0,1
12-Mar-16,Microsoft Internet Explorer 11,1
13-Mar-16,Microsoft Internet Explorer 11,1
14-Mar-16,Microsoft Internet Explorer 11,24
14-Mar-16,Microsoft Internet Explorer 10,1
15-Mar-16,Microsoft Internet Explorer 11,11
15-Mar-16,Microsoft Internet Explorer 10,1
16-Mar-16,Microsoft Internet Explorer 11,4
17-Mar-16,Microsoft Internet Explorer 11,12
17-Mar-16,Microsoft Internet Explorer 9,1
18-Mar-16,Microsoft Internet Explorer 11,8
21-Mar-16,Microsoft Internet Explorer 11,5
21-Mar-16,Microsoft Internet Explorer 10,1
22-Mar-16,Microsoft Internet Explorer 11,6
22-Mar-16,Microsoft Internet Explorer 9,1
23-Mar-16,Microsoft Internet Explorer 11,8
23-Mar-16,Microsoft Internet Explorer 9,1
24-Mar-16,Microsoft Internet Explorer 11,6
24-Mar-16,Microsoft Internet Explorer 8,2
24-Mar-16,Microsoft Internet Explorer 10,1
25-Mar-16,Microsoft Internet Explorer 11,2
27-Mar-16,Microsoft Internet Explorer 11,2
28-Mar-16,Microsoft Internet Explorer 11,18
28-Mar-16,Microsoft Internet Explorer 10,1
28-Mar-16,Microsoft Internet Explorer 9,1
29-Mar-16,Microsoft Internet Explorer 11,3
29-Mar-16,Microsoft Internet Explorer 10,1
30-Mar-16,Microsoft Internet Explorer 11,8
30-Mar-16,Microsoft Internet Explorer 10,1
31-Mar-16,Microsoft Internet Explorer 11,9
1-Apr-16,Microsoft Internet Explorer 11,6
2-Apr-16,Microsoft Internet Explorer 11,1
3-Apr-16,Microsoft Internet Explorer 11,2
3-Apr-16,Microsoft Internet Explorer 9,1
4-Apr-16,Microsoft Internet Explorer 11,23
5-Apr-16,Microsoft Internet Explorer 11,15
5-Apr-16,Microsoft Internet Explorer 9,1
6-Apr-16,Microsoft Internet Explorer 11,16
7-Apr-16,Microsoft Internet Explorer 11,9
7-Apr-16,Microsoft Internet Explorer 9,2
8-Apr-16,Microsoft Internet Explorer 11,12
9-Apr-16,Microsoft Internet Explorer 11,1
10-Apr-16,Microsoft Internet Explorer 11,4
10-Apr-16,Internet Explorer Mobile 11.0,3
11-Apr-16,Microsoft Internet Explorer 11,3
12-Apr-16,Microsoft Internet Explorer 11,11
12-Apr-16,Microsoft Internet Explorer 9,2
13-Apr-16,Microsoft Internet Explorer 11,7
13-Apr-16,Microsoft Internet Explorer 10,1
14-Apr-16,Microsoft Internet Explorer 11,13
14-Apr-16,Microsoft Internet Explorer 10,4
15-Apr-16,Microsoft Internet Explorer 11,6
16-Apr-16,Microsoft Internet Explorer 11,3
17-Apr-16,Microsoft Internet Explorer 11,7
18-Apr-16,Microsoft Internet Explorer 11,7
18-Apr-16,Microsoft Internet Explorer 9,1
19-Apr-16,Microsoft Internet Explorer 11,6
19-Apr-16,Microsoft Internet Explorer 10,2
20-Apr-16,Microsoft Internet Explorer 11,15
20-Apr-16,Microsoft Internet Explorer 10,2
21-Apr-16,Microsoft Internet Explorer 11,13
22-Apr-16,Microsoft Internet Explorer 11,18
23-Apr-16,Microsoft Internet Explorer 11,2
25-Apr-16,Microsoft Internet Explorer 11,9
26-Apr-16,Microsoft Internet Explorer 11,6
27-Apr-16,Microsoft Internet Explorer 11,14
27-Apr-16,Microsoft Internet Explorer 8,1
28-Apr-16,Microsoft Internet Explorer 11,15
28-Apr-16,Microsoft Internet Explorer 10,1
29-Apr-16,Microsoft Internet Explorer 11,15
30-Apr-16,Microsoft Internet Explorer 11,2
1-May-16,Microsoft Internet Explorer 11,1
2-May-16,Microsoft Internet Explorer 11,4
3-May-16,Microsoft Internet Explorer 11,12
3-May-16,Microsoft Internet Explorer 10,1
3-May-16,Microsoft Internet Explorer 8,1
4-May-16,Microsoft Internet Explorer 11,5
4-May-16,Microsoft Internet Explorer 9,1
5-May-16,Microsoft Internet Explorer 11,9
6-May-16,Microsoft Internet Explorer 11,6
6-May-16,Microsoft Internet Explorer 9,2
7-May-16,Microsoft Internet Explorer 11,3
8-May-16,Microsoft Internet Explorer 11,1
9-May-16,Microsoft Internet Explorer 11,9
9-May-16,Microsoft Internet Explorer 9,1
9-May-16,Microsoft Internet Explorer 8,1
10-May-16,Microsoft Internet Explorer 11,13
10-May-16,Microsoft Internet Explorer 8,1
11-May-16,Microsoft Internet Explorer 11,16
11-May-16,Microsoft Internet Explorer 8,1
12-May-16,Microsoft Internet Explorer 11,5
13-May-16,Microsoft Internet Explorer 11,10
13-May-16,Microsoft Internet Explorer 9,1
13-May-16,Microsoft Internet Explorer 8,1
15-May-16,Microsoft Internet Explorer 11,1
15-May-16,Microsoft Internet Explorer 10,1
15-May-16,Microsoft Internet Explorer 9,1
16-May-16,Microsoft Internet Explorer 11,10
16-May-16,Microsoft Internet Explorer 10,2
17-May-16,Microsoft Internet Explorer 11,13
17-May-16,Internet Explorer Mobile 11.0,1
18-May-16,Microsoft Internet Explorer 11,11
18-May-16,Microsoft Internet Explorer 10,1
18-May-16,Microsoft Internet Explorer 9,1
