Date,OS,Visits
18-Feb-16,Windows 7,34
18-Feb-16,Windows 10,21
18-Feb-16,Windows 8.1,12
18-Feb-16,Windows XP,1
19-Feb-16,Windows 7,33
19-Feb-16,Windows 10,11
19-Feb-16,Windows 8.1,5
19-Feb-16,Windows 8,1
20-Feb-16,Windows 7,7
20-Feb-16,Windows 10,4
20-Feb-16,Windows 8.1,3
21-Feb-16,Windows 7,10
21-Feb-16,Windows 8.1,6
21-Feb-16,Windows 10,3
21-Feb-16,Windows XP,1
22-Feb-16,Windows 7,38
22-Feb-16,Windows 10,20
22-Feb-16,Windows 8.1,8
22-Feb-16,Windows XP,2
22-Feb-16,Windows 8,1
23-Feb-16,Windows 7,40
23-Feb-16,Windows 8.1,12
23-Feb-16,Windows 10,9
23-Feb-16,Windows 8,2
24-Feb-16,Windows 7,42
24-Feb-16,Windows 8.1,18
24-Feb-16,Windows 10,15
24-Feb-16,Windows 8,1
25-Feb-16,Windows 7,44
25-Feb-16,Windows 8.1,14
25-Feb-16,Windows 10,12
25-Feb-16,Windows 8,3
25-Feb-16,Windows Server 2003 and XP x64 Edition,1
26-Feb-16,Windows 7,29
26-Feb-16,Windows 10,9
26-Feb-16,Windows 8.1,5
26-Feb-16,Windows 8,1
27-Feb-16,Windows 10,6
27-Feb-16,Windows 7,4
27-Feb-16,Windows 8.1,3
28-Feb-16,Windows 7,9
28-Feb-16,Windows 10,3
28-Feb-16,Windows 8.1,2
29-Feb-16,Windows 7,32
29-Feb-16,Windows 10,10
29-Feb-16,Windows 8.1,5
29-Feb-16,Windows XP,1
1-Mar-16,Windows 7,36
1-Mar-16,Windows 10,15
1-Mar-16,Windows 8.1,10
1-Mar-16,Windows Vista,1
2-Mar-16,Windows 7,49
2-Mar-16,Windows 10,16
2-Mar-16,Windows 8.1,14
2-Mar-16,Windows 8,2
2-Mar-16,Windows Server 2003 and XP x64 Edition,1
3-Mar-16,Windows 7,41
3-Mar-16,Windows 8.1,15
3-Mar-16,Windows 10,9
3-Mar-16,Windows 8,2
4-Mar-16,Windows 7,33
4-Mar-16,Windows 10,10
4-Mar-16,Windows 8.1,7
4-Mar-16,Windows 8,1
5-Mar-16,Windows 7,3
5-Mar-16,Windows 10,1
5-Mar-16,Windows 8.1,1
5-Mar-16,Windows XP,1
6-Mar-16,Windows 7,10
6-Mar-16,Windows 8.1,5
6-Mar-16,Windows 10,4
7-Mar-16,Windows 7,45
7-Mar-16,Windows 10,15
7-Mar-16,Windows 8.1,10
7-Mar-16,Windows 8,1
8-Mar-16,Windows 7,43
8-Mar-16,Windows 10,20
8-Mar-16,Windows 8.1,12
8-Mar-16,Windows 8,3
9-Mar-16,Windows 7,49
9-Mar-16,Windows 8.1,15
9-Mar-16,Windows 10,10
9-Mar-16,Windows 8,2
10-Mar-16,Windows 7,50
10-Mar-16,Windows 10,15
10-Mar-16,Windows 8.1,9
11-Mar-16,Windows 7,36
11-Mar-16,Windows 10,13
11-Mar-16,Windows 8.1,5
11-Mar-16,Windows 8,1
12-Mar-16,Windows 10,6
12-Mar-16,Windows 7,5
13-Mar-16,Windows 7,3
13-Mar-16,Windows 10,2
13-Mar-16,Windows 8.1,1
13-Mar-16,Windows 8,1
13-Mar-16,Windows NT,1
14-Mar-16,Windows 7,49
14-Mar-16,Windows 10,23
14-Mar-16,Windows 8.1,8
14-Mar-16,Windows 8,1
15-Mar-16,Windows 7,43
15-Mar-16,Windows 10,13
15-Mar-16,Windows 8.1,10
16-Mar-16,Windows 7,35
16-Mar-16,Windows 10,17
16-Mar-16,Windows 8.1,5
16-Mar-16,Windows 8,1
17-Mar-16,Windows 7,33
17-Mar-16,Windows 10,22
