Day,Browser Type,Visits
19-Feb-16,Google,1347
19-Feb-16,Mozilla,437
19-Feb-16,Microsoft,146
19-Feb-16,Apple,118
19-Feb-16,Opera,2
19-Feb-16,UC Web,1
19-Feb-16,BlackBerry,1
20-Feb-16,Google,604
20-Feb-16,Mozilla,160
20-Feb-16,Apple,74
20-Feb-16,Microsoft,65
20-Feb-16,Opera,12
20-Feb-16,UC Web,4
20-Feb-16,Amazon,2
20-Feb-16,Yandex,1
20-Feb-16,BlackBerry,1
21-Feb-16,Google,558
21-Feb-16,Mozilla,172
21-Feb-16,Apple,70
21-Feb-16,Microsoft,54
21-Feb-16,Opera,6
21-Feb-16,UC Web,2
21-Feb-16,BlackBerry,1
21-Feb-16,Other,1
22-Feb-16,Google,1626
22-Feb-16,Mozilla,564
22-Feb-16,Microsoft,319
22-Feb-16,Apple,149
22-Feb-16,UC Web,28
22-Feb-16,Opera,11
22-Feb-16,Yandex,1
22-Feb-16,Amazon,1
22-Feb-16,Other,1
23-Feb-16,Google,1487
23-Feb-16,Mozilla,539
23-Feb-16,Microsoft,192
23-Feb-16,Apple,106
23-Feb-16,UC Web,21
23-Feb-16,Opera,20
23-Feb-16,Other,3
23-Feb-16,Amazon,1
24-Feb-16,Google,1478
24-Feb-16,Mozilla,611
24-Feb-16,Microsoft,165
24-Feb-16,Apple,133
24-Feb-16,UC Web,38
24-Feb-16,Opera,11
24-Feb-16,Yandex,3
24-Feb-16,Other,3
24-Feb-16,Amazon,2
24-Feb-16,BlackBerry,1
25-Feb-16,Google,1007
25-Feb-16,Mozilla,343
25-Feb-16,Microsoft,129
25-Feb-16,Apple,103
25-Feb-16,UC Web,29
25-Feb-16,Opera,13
25-Feb-16,Amazon,2
25-Feb-16,BlackBerry,1
25-Feb-16,Other,1
26-Feb-16,Google,772
26-Feb-16,Mozilla,259
26-Feb-16,Apple,74
26-Feb-16,Microsoft,69
26-Feb-16,UC Web,29
26-Feb-16,Opera,11
26-Feb-16,Amazon,2
27-Feb-16,Google,465
27-Feb-16,Mozilla,98
27-Feb-16,Apple,54
27-Feb-16,Microsoft,26
27-Feb-16,UC Web,18
27-Feb-16,Opera,17
27-Feb-16,Other,1
28-Feb-16,Google,422
28-Feb-16,Mozilla,116
28-Feb-16,Apple,40
28-Feb-16,UC Web,34
28-Feb-16,Microsoft,27
28-Feb-16,Opera,12
28-Feb-16,Dolphin,1
28-Feb-16,Amazon,1
28-Feb-16,Other,1
29-Feb-16,Google,781
29-Feb-16,Mozilla,209
29-Feb-16,Microsoft,75
29-Feb-16,Apple,60
29-Feb-16,UC Web,24
29-Feb-16,Opera,16
29-Feb-16,Amazon,2
29-Feb-16,Other,2
29-Feb-16,Yandex,1
1-Mar-16,Google,1041
1-Mar-16,Mozilla,290
1-Mar-16,Apple,113
1-Mar-16,Microsoft,87
1-Mar-16,UC Web,28
1-Mar-16,Opera,19
1-Mar-16,BlackBerry,3
1-Mar-16,Amazon,3
1-Mar-16,Yandex,1
1-Mar-16,Other,1
2-Mar-16,Google,1259
2-Mar-16,Mozilla,383
2-Mar-16,Apple,182
2-Mar-16,Microsoft,117
2-Mar-16,UC Web,31
2-Mar-16,Opera,9
2-Mar-16,Other,2
2-Mar-16,Yandex,1
3-Mar-16,Google,1395
3-Mar-16,Mozilla,404
3-Mar-16,Apple,211
3-Mar-16,Microsoft,119
3-Mar-16,UC Web,14
3-Mar-16,Opera,9
3-Mar-16,BlackBerry,2
3-Mar-16,Other,2
3-Mar-16,Netscape,1
4-Mar-16,Google,7301
4-Mar-16,Apple,1753
4-Mar-16,Mozilla,1587
4-Mar-16,Microsoft,182
4-Mar-16,Other,90
4-Mar-16,Opera,35
4-Mar-16,UC Web,27
4-Mar-16,BlackBerry,10
4-Mar-16,Yandex,4
4-Mar-16,Amazon,4
5-Mar-16,Google,1739
5-Mar-16,Apple,416
5-Mar-16,Mozilla,331
5-Mar-16,Other,66
5-Mar-16,Microsoft,52
5-Mar-16,Opera,24
5-Mar-16,UC Web,19
5-Mar-16,BlackBerry,4
5-Mar-16,Yandex,2
5-Mar-16,Nokia,1
6-Mar-16,Google,1155
6-Mar-16,Mozilla,238
6-Mar-16,Apple,202
6-Mar-16,Other,63
6-Mar-16,Microsoft,59
6-Mar-16,UC Web,25
6-Mar-16,Opera,13
6-Mar-16,Yandex,2
6-Mar-16,Nokia,1
6-Mar-16,Amazon,1
7-Mar-16,Google,1978
7-Mar-16,Mozilla,621
7-Mar-16,Apple,240
7-Mar-16,Microsoft,148
7-Mar-16,Other,59
7-Mar-16,UC Web,37
7-Mar-16,Opera,22
7-Mar-16,Amazon,4
7-Mar-16,BlackBerry,1
7-Mar-16,Netscape,1
8-Mar-16,Google,1883
8-Mar-16,Mozilla,588
8-Mar-16,Apple,192
8-Mar-16,Microsoft,139
8-Mar-16,Other,65
8-Mar-16,UC Web,32
8-Mar-16,Opera,16
8-Mar-16,Netscape,3
8-Mar-16,Yandex,2
8-Mar-16,Amazon,1
9-Mar-16,Google,2673
9-Mar-16,Mozilla,857
9-Mar-16,Apple,476
9-Mar-16,Microsoft,165
9-Mar-16,Other,70
9-Mar-16,UC Web,31
9-Mar-16,Opera,16
9-Mar-16,BlackBerry,3
9-Mar-16,Yandex,2
9-Mar-16,Amazon,2
10-Mar-16,Google,2523
10-Mar-16,Mozilla,1052
10-Mar-16,Apple,331
10-Mar-16,Microsoft,181
10-Mar-16,Other,65
10-Mar-16,UC Web,35
10-Mar-16,Opera,17
10-Mar-16,Amazon,2
11-Mar-16,Google,2098
11-Mar-16,Mozilla,850
11-Mar-16,Apple,387
11-Mar-16,Microsoft,113
11-Mar-16,Other,78
11-Mar-16,UC Web,32
11-Mar-16,Opera,15
11-Mar-16,BlackBerry,3
11-Mar-16,Amazon,3
11-Mar-16,Netscape,2
12-Mar-16,Google,1245
12-Mar-16,Mozilla,310
12-Mar-16,Apple,234
12-Mar-16,Other,68
12-Mar-16,Microsoft,34
12-Mar-16,UC Web,31
12-Mar-16,Opera,23
12-Mar-16,BlackBerry,3
12-Mar-16,Yandex,1
12-Mar-16,Amazon,1
13-Mar-16,Google,1107
13-Mar-16,Mozilla,283
13-Mar-16,Apple,170
13-Mar-16,Other,54
13-Mar-16,Microsoft,35
13-Mar-16,UC Web,34
13-Mar-16,Opera,14
13-Mar-16,Amazon,3
13-Mar-16,Netscape,1
14-Mar-16,Google,2040
14-Mar-16,Mozilla,745
14-Mar-16,Apple,210
14-Mar-16,Microsoft,151
14-Mar-16,Other,72
14-Mar-16,UC Web,40
14-Mar-16,Opera,25
14-Mar-16,Netscape,2
14-Mar-16,Yandex,1
14-Mar-16,BlackBerry,1
15-Mar-16,Google,2218
15-Mar-16,Mozilla,722
15-Mar-16,Apple,243
15-Mar-16,Microsoft,149
15-Mar-16,Other,69
15-Mar-16,Opera,21
15-Mar-16,UC Web,17
15-Mar-16,Yandex,2
15-Mar-16,Netscape,2
15-Mar-16,Amazon,1
16-Mar-16,Google,1837
16-Mar-16,Mozilla,637
16-Mar-16,Apple,213
16-Mar-16,Microsoft,134
16-Mar-16,Other,88
16-Mar-16,UC Web,30
16-Mar-16,Opera,16
16-Mar-16,Nokia,1
16-Mar-16,BlackBerry,1
17-Mar-16,Google,1733
17-Mar-16,Mozilla,517
17-Mar-16,Apple,167
17-Mar-16,Microsoft,124
17-Mar-16,Other,60
17-Mar-16,UC Web,21
17-Mar-16,Opera,15
17-Mar-16,Amazon,2
17-Mar-16,Yandex,1
17-Mar-16,Nokia,1
18-Mar-16,Google,1527
18-Mar-16,Mozilla,522
18-Mar-16,Apple,133
18-Mar-16,Microsoft,115
18-Mar-16,Other,66
18-Mar-16,UC Web,20
18-Mar-16,Opera,16
18-Mar-16,Amazon,3
18-Mar-16,Yandex,1
18-Mar-16,Netscape,1
19-Mar-16,Google,689
19-Mar-16,Mozilla,180
19-Mar-16,Apple,127
19-Mar-16,Microsoft,46
19-Mar-16,Other,43
19-Mar-16,UC Web,11
19-Mar-16,Opera,10
19-Mar-16,Nokia,2
19-Mar-16,BlackBerry,2
19-Mar-16,Amazon,2
20-Mar-16,Google,669
20-Mar-16,Mozilla,197
20-Mar-16,Apple,99
20-Mar-16,Microsoft,36
20-Mar-16,Other,32
20-Mar-16,Opera,7
20-Mar-16,UC Web,3
20-Mar-16,BlackBerry,1
20-Mar-16,Amazon,1
21-Mar-16,Google,1515
21-Mar-16,Mozilla,631
21-Mar-16,Apple,165
21-Mar-16,Microsoft,111
21-Mar-16,Other,26
21-Mar-16,Opera,8
21-Mar-16,Amazon,3
21-Mar-16,Yandex,1
21-Mar-16,Netscape,1
22-Mar-16,Google,1713
22-Mar-16,Mozilla,628
22-Mar-16,Apple,225
22-Mar-16,Microsoft,143
22-Mar-16,Other,24
22-Mar-16,Opera,9
22-Mar-16,BlackBerry,5
22-Mar-16,Amazon,3
22-Mar-16,UC Web,1
23-Mar-16,Google,1652
23-Mar-16,Mozilla,650
23-Mar-16,Apple,230
23-Mar-16,Microsoft,145
23-Mar-16,Other,28
23-Mar-16,Opera,12
23-Mar-16,Amazon,3
23-Mar-16,BlackBerry,1
24-Mar-16,Google,1399
24-Mar-16,Mozilla,599
24-Mar-16,Apple,191
24-Mar-16,Microsoft,150
24-Mar-16,Other,19
24-Mar-16,Opera,6
24-Mar-16,Netscape,2
24-Mar-16,Yandex,1
24-Mar-16,Amazon,1
25-Mar-16,Google,929
25-Mar-16,Mozilla,345
25-Mar-16,Apple,119
25-Mar-16,Microsoft,85
25-Mar-16,Other,16
25-Mar-16,Opera,10
25-Mar-16,Amazon,3
25-Mar-16,Yandex,1
25-Mar-16,BlackBerry,1
26-Mar-16,Google,500
26-Mar-16,Mozilla,175
26-Mar-16,Apple,81
26-Mar-16,Microsoft,28
26-Mar-16,Opera,12
26-Mar-16,Other,10
26-Mar-16,UC Web,2
26-Mar-16,Amazon,1
27-Mar-16,Google,505
27-Mar-16,Mozilla,175
27-Mar-16,Apple,101
27-Mar-16,Microsoft,41
27-Mar-16,Other,12
27-Mar-16,Opera,8
27-Mar-16,UC Web,3
27-Mar-16,Yandex,1
27-Mar-16,Amazon,1
28-Mar-16,Google,1181
28-Mar-16,Mozilla,398
28-Mar-16,Apple,138
28-Mar-16,Microsoft,107
