Date,Device,Visits
19-Feb-16,Microsoft Internet Explorer 11,100
19-Feb-16,Microsoft Internet Explorer 10,14
19-Feb-16,Microsoft Internet Explorer 9,8
19-Feb-16,Microsoft Internet Explorer 8,3
19-Feb-16,Internet Explorer Mobile 11.0,2
19-Feb-16,Microsoft MSN Explorer 9.0,1
19-Feb-16,Microsoft Internet Explorer 6.0,1
20-Feb-16,Microsoft Internet Explorer 11,35
20-Feb-16,Microsoft Internet Explorer 9,9
20-Feb-16,Microsoft Internet Explorer 8,3
20-Feb-16,Internet Explorer Mobile 11.0,1
20-Feb-16,Microsoft Internet Explorer 10,1
21-Feb-16,Microsoft Internet Explorer 11,32
21-Feb-16,Microsoft Internet Explorer 9,5
21-Feb-16,Microsoft Internet Explorer 10,4
21-Feb-16,Internet Explorer Mobile 11.0,1
22-Feb-16,Microsoft Internet Explorer 11,242
22-Feb-16,Microsoft Internet Explorer 8,23
22-Feb-16,Microsoft Internet Explorer 9,17
22-Feb-16,Microsoft Internet Explorer 10,15
22-Feb-16,Internet Explorer Mobile 11.0,1
23-Feb-16,Microsoft Internet Explorer 11,158
23-Feb-16,Microsoft Internet Explorer 9,7
23-Feb-16,Microsoft Internet Explorer 8,7
23-Feb-16,Microsoft Internet Explorer 10,4
23-Feb-16,Microsoft Internet Explorer (unknown version),1
23-Feb-16,Microsoft Internet Explorer 6.0,1
24-Feb-16,Microsoft Internet Explorer 11,126
24-Feb-16,Microsoft Internet Explorer 8,8
24-Feb-16,Microsoft Internet Explorer 9,7
24-Feb-16,Microsoft Internet Explorer 10,6
24-Feb-16,Internet Explorer Mobile 11.0,3
25-Feb-16,Microsoft Internet Explorer 11,84
25-Feb-16,Microsoft Internet Explorer 9,18
25-Feb-16,Microsoft Internet Explorer 8,6
25-Feb-16,Microsoft Internet Explorer 10,2
25-Feb-16,Internet Explorer Mobile 11.0,1
26-Feb-16,Microsoft Internet Explorer 11,41
26-Feb-16,Microsoft Internet Explorer 10,6
26-Feb-16,Microsoft Internet Explorer 9,4
26-Feb-16,Internet Explorer 11.0,1
26-Feb-16,Microsoft Internet Explorer 8,1
27-Feb-16,Microsoft Internet Explorer 11,16
27-Feb-16,Internet Explorer 11.0,1
27-Feb-16,Microsoft Internet Explorer 9,1
27-Feb-16,Microsoft Internet Explorer 8,1
28-Feb-16,Microsoft Internet Explorer 11,12
28-Feb-16,Microsoft Internet Explorer 9,7
28-Feb-16,Microsoft Internet Explorer 8,2
29-Feb-16,Microsoft Internet Explorer 11,45
29-Feb-16,Microsoft Internet Explorer 9,10
29-Feb-16,Microsoft Internet Explorer 8,3
29-Feb-16,Microsoft Internet Explorer 10,2
29-Feb-16,Microsoft MSN Explorer 9.0,2
29-Feb-16,Internet Explorer Mobile 7.0,1
1-Mar-16,Microsoft Internet Explorer 11,60
1-Mar-16,Microsoft Internet Explorer 9,4
1-Mar-16,Microsoft Internet Explorer 8,3
1-Mar-16,Internet Explorer Mobile 11.0,1
1-Mar-16,Microsoft Internet Explorer (unknown version),1
2-Mar-16,Microsoft Internet Explorer 11,87
2-Mar-16,Microsoft Internet Explorer 9,9
2-Mar-16,Internet Explorer Mobile 11.0,7
2-Mar-16,Microsoft Internet Explorer 10,3
2-Mar-16,Microsoft Internet Explorer 8,1
3-Mar-16,Microsoft Internet Explorer 11,77
3-Mar-16,Microsoft Internet Explorer 9,8
3-Mar-16,Internet Explorer Mobile 11.0,6
3-Mar-16,Microsoft Internet Explorer 10,6
3-Mar-16,Microsoft Internet Explorer 8,3
3-Mar-16,Internet Explorer Mobile 9.0,1
4-Mar-16,Microsoft Internet Explorer 11,88
4-Mar-16,Internet Explorer Mobile 11.0,22
4-Mar-16,Microsoft Internet Explorer 9,10
4-Mar-16,Microsoft Internet Explorer 10,5
4-Mar-16,Microsoft Internet Explorer 8,4
4-Mar-16,Internet Explorer 11.0,3
4-Mar-16,Internet Explorer Mobile 10.0,1
5-Mar-16,Microsoft Internet Explorer 11,21
5-Mar-16,Internet Explorer Mobile 11.0,9
5-Mar-16,Microsoft Internet Explorer 9,1
6-Mar-16,Microsoft Internet Explorer 11,33
6-Mar-16,Internet Explorer Mobile 11.0,5
6-Mar-16,Microsoft Internet Explorer 9,5
6-Mar-16,Microsoft Internet Explorer 10,3
6-Mar-16,Microsoft Internet Explorer 8,3
7-Mar-16,Microsoft Internet Explorer 11,112
7-Mar-16,Microsoft Internet Explorer 9,10
7-Mar-16,Microsoft Internet Explorer 10,5
7-Mar-16,Internet Explorer Mobile 11.0,3
7-Mar-16,Microsoft Internet Explorer 8,3
7-Mar-16,Microsoft Internet Explorer (unknown version),2
8-Mar-16,Microsoft Internet Explorer 11,117
8-Mar-16,Microsoft Internet Explorer 10,4
8-Mar-16,Microsoft Internet Explorer 9,4
8-Mar-16,Microsoft Internet Explorer 8,2
8-Mar-16,Internet Explorer Mobile 11.0,1
9-Mar-16,Microsoft Internet Explorer 11,134
9-Mar-16,Microsoft Internet Explorer 10,6
9-Mar-16,Microsoft Internet Explorer 9,4
9-Mar-16,Microsoft Internet Explorer 8,3
9-Mar-16,Internet Explorer Mobile 11.0,2
10-Mar-16,Microsoft Internet Explorer 11,134
10-Mar-16,Microsoft Internet Explorer 8,6
10-Mar-16,Internet Explorer Mobile 11.0,4
10-Mar-16,Microsoft Internet Explorer 10,4
10-Mar-16,Microsoft Internet Explorer 9,4
10-Mar-16,Internet Explorer 11.0,2
11-Mar-16,Microsoft Internet Explorer 11,79
11-Mar-16,Microsoft Internet Explorer 9,6
11-Mar-16,Microsoft Internet Explorer 10,5
11-Mar-16,Internet Explorer Mobile 11.0,4
11-Mar-16,Internet Explorer 11.0,1
11-Mar-16,Microsoft Internet Explorer 8,1
12-Mar-16,Microsoft Internet Explorer 11,20
12-Mar-16,Internet Explorer Mobile 11.0,2
13-Mar-16,Microsoft Internet Explorer 11,20
13-Mar-16,Internet Explorer Mobile 11.0,2
13-Mar-16,Microsoft Internet Explorer 9,1
14-Mar-16,Microsoft Internet Explorer 11,115
14-Mar-16,Microsoft Internet Explorer 10,12
14-Mar-16,Microsoft Internet Explorer 9,6
14-Mar-16,Microsoft Internet Explorer 8,4
14-Mar-16,Internet Explorer Mobile 11.0,1
15-Mar-16,Microsoft Internet Explorer 11,121
15-Mar-16,Microsoft Internet Explorer 9,7
15-Mar-16,Microsoft Internet Explorer 10,5
15-Mar-16,Microsoft Internet Explorer 8,2
15-Mar-16,Internet Explorer Mobile 11.0,1
15-Mar-16,Microsoft Internet Explorer 7.0,1
16-Mar-16,Microsoft Internet Explorer 11,104
16-Mar-16,Microsoft Internet Explorer 9,4
16-Mar-16,Microsoft Internet Explorer 8,4
16-Mar-16,Internet Explorer Mobile 11.0,3
16-Mar-16,Internet Explorer 11.0,1
17-Mar-16,Microsoft Internet Explorer 11,97
17-Mar-16,Microsoft Internet Explorer 9,6
17-Mar-16,Microsoft Internet Explorer 8,4
17-Mar-16,Microsoft Internet Explorer 10,2
17-Mar-16,Internet Explorer 11.0,1
17-Mar-16,Internet Explorer Mobile 11.0,1
