Date,Operating System Types,Visits
19-Feb-16,Microsoft Windows,1078
19-Feb-16,Google Android,396
19-Feb-16,GNU/Linux,259
19-Feb-16,Apple Macintosh,251
19-Feb-16,Apple iOS,64
19-Feb-16,Microsoft Windows Phone/Mobile,2
19-Feb-16,Chrome OS,1
19-Feb-16,Blackberry,1
20-Feb-16,Microsoft Windows,491
20-Feb-16,Google Android,195
20-Feb-16,Apple Macintosh,105
20-Feb-16,GNU/Linux,94
20-Feb-16,Apple iOS,34
20-Feb-16,Nokia,1
20-Feb-16,Chrome OS,1
20-Feb-16,Microsoft Windows Phone/Mobile,1
20-Feb-16,Blackberry,1
21-Feb-16,Microsoft Windows,473
21-Feb-16,Google Android,139
21-Feb-16,Apple Macintosh,107
21-Feb-16,GNU/Linux,106
21-Feb-16,Apple iOS,32
21-Feb-16,Chrome OS,4
21-Feb-16,Blackberry,2
21-Feb-16,Microsoft Windows Phone/Mobile,1
22-Feb-16,Microsoft Windows,1691
22-Feb-16,Google Android,319
22-Feb-16,GNU/Linux,304
22-Feb-16,Apple Macintosh,298
22-Feb-16,Apple iOS,83
22-Feb-16,Chrome OS,4
22-Feb-16,Microsoft Windows Phone/Mobile,1
23-Feb-16,Microsoft Windows,1432
23-Feb-16,Google Android,321
23-Feb-16,GNU/Linux,290
23-Feb-16,Apple Macintosh,273
23-Feb-16,Apple iOS,49
23-Feb-16,Other,3
23-Feb-16,Unspecified,1
24-Feb-16,Microsoft Windows,1359
24-Feb-16,GNU/Linux,393
24-Feb-16,Google Android,369
24-Feb-16,Apple Macintosh,242
24-Feb-16,Apple iOS,74
24-Feb-16,Chrome OS,3
24-Feb-16,Microsoft Windows Phone/Mobile,3
24-Feb-16,UNIX,1
24-Feb-16,Blackberry,1
25-Feb-16,Microsoft Windows,836
25-Feb-16,Google Android,323
25-Feb-16,Apple Macintosh,210
25-Feb-16,GNU/Linux,192
25-Feb-16,Apple iOS,62
25-Feb-16,Chrome OS,2
25-Feb-16,Other,2
25-Feb-16,Samsung,1
25-Feb-16,Microsoft Windows Phone/Mobile,1
25-Feb-16,Blackberry,1
26-Feb-16,Microsoft Windows,578
26-Feb-16,Google Android,303
26-Feb-16,GNU/Linux,150
26-Feb-16,Apple Macintosh,143
26-Feb-16,Apple iOS,37
26-Feb-16,Chrome OS,2
26-Feb-16,Other,2
26-Feb-16,Microsoft Windows Phone/Mobile,1
26-Feb-16,Blackberry,1
27-Feb-16,Microsoft Windows,250
27-Feb-16,Google Android,249
27-Feb-16,GNU/Linux,73
27-Feb-16,Apple Macintosh,70
27-Feb-16,Apple iOS,35
27-Feb-16,Microsoft Windows Phone/Mobile,1
27-Feb-16,Other,1
28-Feb-16,Google Android,247
28-Feb-16,Microsoft Windows,234
28-Feb-16,GNU/Linux,80
28-Feb-16,Apple Macintosh,65
28-Feb-16,Apple iOS,27
28-Feb-16,Samsung,1
29-Feb-16,Microsoft Windows,592
29-Feb-16,Google Android,274
29-Feb-16,Apple Macintosh,141
29-Feb-16,GNU/Linux,133
29-Feb-16,Apple iOS,26
29-Feb-16,Microsoft Windows Phone/Mobile,3
29-Feb-16,Chrome OS,1
1-Mar-16,Microsoft Windows,627
1-Mar-16,Google Android,376
1-Mar-16,Apple Macintosh,289
1-Mar-16,GNU/Linux,210
1-Mar-16,Apple iOS,74
1-Mar-16,Chrome OS,3
1-Mar-16,Blackberry,3
1-Mar-16,Microsoft Windows Phone/Mobile,2
1-Mar-16,Nokia,1
1-Mar-16,Other,1
2-Mar-16,Microsoft Windows,842
2-Mar-16,Google Android,449
2-Mar-16,GNU/Linux,295
2-Mar-16,Apple Macintosh,252
2-Mar-16,Apple iOS,136
2-Mar-16,Microsoft Windows Phone/Mobile,8
2-Mar-16,Chrome OS,2
3-Mar-16,Microsoft Windows,818
3-Mar-16,Google Android,680
3-Mar-16,GNU/Linux,277
3-Mar-16,Apple Macintosh,209
3-Mar-16,Apple iOS,160
3-Mar-16,Microsoft Windows Phone/Mobile,8
3-Mar-16,Blackberry,2
3-Mar-16,Other,2
3-Mar-16,Nokia,1
3-Mar-16,Unspecified,1
4-Mar-16,Google Android,3366
4-Mar-16,Microsoft Windows,3117
4-Mar-16,Apple iOS,1503
4-Mar-16,Apple Macintosh,1482
4-Mar-16,GNU/Linux,1394
4-Mar-16,Microsoft Windows Phone/Mobile,86
4-Mar-16,Chrome OS,27
4-Mar-16,Blackberry,11
4-Mar-16,Unspecified,5
4-Mar-16,UNIX,4
5-Mar-16,Google Android,1048
5-Mar-16,Microsoft Windows,612
5-Mar-16,Apple iOS,368
5-Mar-16,GNU/Linux,310
5-Mar-16,Apple Macintosh,278
5-Mar-16,Microsoft Windows Phone/Mobile,16
5-Mar-16,Chrome OS,10
5-Mar-16,Blackberry,4
5-Mar-16,UNIX,3
5-Mar-16,Symbian,2
6-Mar-16,Google Android,720
6-Mar-16,Microsoft Windows,480
6-Mar-16,Apple Macintosh,195
6-Mar-16,GNU/Linux,181
6-Mar-16,Apple iOS,168
6-Mar-16,Microsoft Windows Phone/Mobile,9
6-Mar-16,Chrome OS,2
6-Mar-16,Other,2
6-Mar-16,UNIX,1
6-Mar-16,Symbian,1
7-Mar-16,Microsoft Windows,1374
7-Mar-16,Google Android,708
7-Mar-16,Apple Macintosh,444
7-Mar-16,GNU/Linux,420
7-Mar-16,Apple iOS,154
7-Mar-16,Microsoft Windows Phone/Mobile,4
7-Mar-16,Chrome OS,2
7-Mar-16,Other,2
7-Mar-16,Nokia,1
7-Mar-16,UNIX,1
8-Mar-16,Microsoft Windows,1322
8-Mar-16,Google Android,673
8-Mar-16,Apple Macintosh,444
8-Mar-16,GNU/Linux,363
8-Mar-16,Apple iOS,111
8-Mar-16,Other,4
8-Mar-16,Nokia,1
8-Mar-16,Chrome OS,1
8-Mar-16,Microsoft Windows Phone/Mobile,1
8-Mar-16,Unspecified,1
9-Mar-16,Microsoft Windows,1663
9-Mar-16,Google Android,952
9-Mar-16,Apple Macintosh,659
9-Mar-16,GNU/Linux,648
9-Mar-16,Apple iOS,356
9-Mar-16,Chrome OS,6
9-Mar-16,UNIX,3
9-Mar-16,Blackberry,3
9-Mar-16,Microsoft Windows Phone/Mobile,2
9-Mar-16,Other,2
