Date,OS,Visits
19-Feb-16,Windows 7,695
19-Feb-16,Windows 10,189
19-Feb-16,Windows 8.1,158
19-Feb-16,Windows XP,16
19-Feb-16,Windows 8,14
19-Feb-16,Windows Vista,4
19-Feb-16,Windows Server 2003 and XP x64 Edition,2
20-Feb-16,Windows 7,229
20-Feb-16,Windows 10,161
20-Feb-16,Windows 8.1,68
20-Feb-16,Windows XP,14
20-Feb-16,Windows 8,9
20-Feb-16,Windows Vista,9
20-Feb-16,Windows Server 2003 and XP x64 Edition,1
21-Feb-16,Windows 7,235
21-Feb-16,Windows 10,142
21-Feb-16,Windows 8.1,58
21-Feb-16,Windows 8,20
21-Feb-16,Windows Vista,12
21-Feb-16,Windows XP,6
22-Feb-16,Windows 7,1153
22-Feb-16,Windows 10,251
22-Feb-16,Windows 8.1,207
22-Feb-16,Windows XP,42
22-Feb-16,Windows 8,30
22-Feb-16,Windows Vista,5
22-Feb-16,Windows Server 2003 and XP x64 Edition,3
23-Feb-16,Windows 7,967
23-Feb-16,Windows 10,245
23-Feb-16,Windows 8.1,149
23-Feb-16,Windows XP,37
23-Feb-16,Windows 8,25
23-Feb-16,Windows Server 2003 and XP x64 Edition,5
23-Feb-16,Windows Vista,4
24-Feb-16,Windows 7,907
24-Feb-16,Windows 10,217
24-Feb-16,Windows 8.1,161
24-Feb-16,Windows XP,36
24-Feb-16,Windows 8,22
24-Feb-16,Windows Server 2003 and XP x64 Edition,10
24-Feb-16,Windows Vista,6
25-Feb-16,Windows 7,554
25-Feb-16,Windows 10,142
25-Feb-16,Windows 8.1,87
25-Feb-16,Windows XP,30
25-Feb-16,Windows 8,16
25-Feb-16,Windows Vista,6
25-Feb-16,Windows Server 2003 and XP x64 Edition,1
26-Feb-16,Windows 7,376
26-Feb-16,Windows 10,96
26-Feb-16,Windows 8.1,68
26-Feb-16,Windows XP,26
26-Feb-16,Windows 8,7
26-Feb-16,Windows Vista,3
26-Feb-16,Windows Server 2003 and XP x64 Edition,2
27-Feb-16,Windows 7,111
27-Feb-16,Windows 10,82
27-Feb-16,Windows 8.1,40
27-Feb-16,Windows XP,11
27-Feb-16,Windows Vista,3
27-Feb-16,Windows 8,2
27-Feb-16,Windows Server 2003 and XP x64 Edition,1
28-Feb-16,Windows 7,121
28-Feb-16,Windows 10,63
28-Feb-16,Windows 8.1,29
28-Feb-16,Windows XP,15
28-Feb-16,Windows 8,4
28-Feb-16,Windows Vista,2
29-Feb-16,Windows 7,386
29-Feb-16,Windows 10,104
29-Feb-16,Windows 8.1,74
29-Feb-16,Windows XP,21
29-Feb-16,Windows Vista,5
29-Feb-16,Windows 8,2
1-Mar-16,Windows 7,417
1-Mar-16,Windows 10,122
1-Mar-16,Windows 8.1,65
1-Mar-16,Windows XP,15
1-Mar-16,Windows 8,5
1-Mar-16,Windows Vista,2
1-Mar-16,Windows Server 2003 and XP x64 Edition,1
2-Mar-16,Windows 7,542
2-Mar-16,Windows 10,154
2-Mar-16,Windows 8.1,105
2-Mar-16,Windows XP,25
2-Mar-16,Windows 8,10
2-Mar-16,Windows Server 2003 and XP x64 Edition,3
2-Mar-16,Windows Vista,3
3-Mar-16,Windows 7,538
3-Mar-16,Windows 10,159
3-Mar-16,Windows 8.1,91
3-Mar-16,Windows XP,23
3-Mar-16,Windows 8,6
3-Mar-16,Windows Vista,1
4-Mar-16,Windows 7,1549
4-Mar-16,Windows 10,1088
4-Mar-16,Windows 8.1,413
4-Mar-16,Windows 8,29
4-Mar-16,Windows XP,27
4-Mar-16,Windows Vista,9
4-Mar-16,Windows Server 2003 and XP x64 Edition,2
5-Mar-16,Windows 10,265
5-Mar-16,Windows 7,239
