Date,Browser Type,Visits
19-Feb-16,Google,392
19-Feb-16,Apple,181
19-Feb-16,Mozilla,149
19-Feb-16,Microsoft,104
19-Feb-16,Opera,4
19-Feb-16,BlackBerry,1
20-Feb-16,Apple,144
20-Feb-16,Google,127
20-Feb-16,Mozilla,50
20-Feb-16,Microsoft,24
20-Feb-16,Opera,4
20-Feb-16,UC Web,2
21-Feb-16,Google,232
21-Feb-16,Apple,146
21-Feb-16,Mozilla,48
21-Feb-16,Microsoft,32
21-Feb-16,Opera,4
21-Feb-16,UC Web,2
22-Feb-16,Google,1295
22-Feb-16,Apple,1077
22-Feb-16,Mozilla,221
22-Feb-16,Microsoft,144
22-Feb-16,Opera,19
22-Feb-16,BlackBerry,6
22-Feb-16,UC Web,2
22-Feb-16,Other,2
22-Feb-16,Amazon,1
23-Feb-16,Google,1192
23-Feb-16,Apple,822
23-Feb-16,Mozilla,298
23-Feb-16,Microsoft,148
23-Feb-16,Opera,17
23-Feb-16,UC Web,3
23-Feb-16,Other,2
23-Feb-16,BlackBerry,1
23-Feb-16,Amazon,1
23-Feb-16,Netscape,1
24-Feb-16,Google,1032
24-Feb-16,Apple,718
24-Feb-16,Mozilla,210
24-Feb-16,Microsoft,147
24-Feb-16,Opera,11
24-Feb-16,BlackBerry,10
24-Feb-16,UC Web,6
24-Feb-16,Yandex,2
24-Feb-16,Other,1
25-Feb-16,Google,912
25-Feb-16,Apple,500
25-Feb-16,Mozilla,304
25-Feb-16,Microsoft,101
25-Feb-16,Opera,9
25-Feb-16,UC Web,3
25-Feb-16,BlackBerry,3
25-Feb-16,Other,3
25-Feb-16,Yandex,2
25-Feb-16,Amazon,1
26-Feb-16,Google,625
26-Feb-16,Apple,273
26-Feb-16,Mozilla,209
26-Feb-16,Microsoft,106
26-Feb-16,Opera,8
26-Feb-16,BlackBerry,3
26-Feb-16,UC Web,2
27-Feb-16,Google,207
27-Feb-16,Apple,142
27-Feb-16,Mozilla,61
27-Feb-16,Microsoft,30
27-Feb-16,Netscape,1
28-Feb-16,Google,693
28-Feb-16,Apple,380
28-Feb-16,Mozilla,228
28-Feb-16,Microsoft,67
28-Feb-16,Opera,7
28-Feb-16,Other,4
28-Feb-16,BlackBerry,2
28-Feb-16,Netscape,2
28-Feb-16,Yandex,1
28-Feb-16,Amazon,1
29-Feb-16,Google,643
29-Feb-16,Mozilla,217
29-Feb-16,Apple,203
29-Feb-16,Microsoft,155
29-Feb-16,Yandex,4
29-Feb-16,Opera,4
29-Feb-16,UC Web,1
29-Feb-16,BlackBerry,1
29-Feb-16,Amazon,1
29-Feb-16,Netscape,1
1-Mar-16,Google,690
1-Mar-16,Apple,363
1-Mar-16,Microsoft,197
1-Mar-16,Mozilla,181
1-Mar-16,Opera,8
1-Mar-16,BlackBerry,5
1-Mar-16,Amazon,2
1-Mar-16,Other,2
1-Mar-16,UC Web,1
1-Mar-16,Netscape,1
2-Mar-16,Google,652
2-Mar-16,Apple,326
2-Mar-16,Microsoft,168
2-Mar-16,Mozilla,158
2-Mar-16,Opera,5
2-Mar-16,UC Web,3
2-Mar-16,Amazon,3
2-Mar-16,Yandex,1
2-Mar-16,BlackBerry,1
2-Mar-16,Netscape,1
3-Mar-16,Google,530
3-Mar-16,Apple,201
3-Mar-16,Mozilla,118
3-Mar-16,Microsoft,86
3-Mar-16,Opera,9
3-Mar-16,Yandex,1
3-Mar-16,UC Web,1
3-Mar-16,Amazon,1
4-Mar-16,Google,318
4-Mar-16,Apple,140
4-Mar-16,Mozilla,103
4-Mar-16,Microsoft,71
4-Mar-16,BlackBerry,5
4-Mar-16,Opera,3
4-Mar-16,UC Web,2
4-Mar-16,Netscape,1
4-Mar-16,Other,1
5-Mar-16,Google,189
5-Mar-16,Apple,117
5-Mar-16,Mozilla,48
5-Mar-16,Microsoft,26
5-Mar-16,Other,6
5-Mar-16,Opera,2
5-Mar-16,BlackBerry,1
6-Mar-16,Google,188
6-Mar-16,Apple,118
6-Mar-16,Mozilla,60
6-Mar-16,Microsoft,34
6-Mar-16,Opera,9
6-Mar-16,Other,5
6-Mar-16,Amazon,2
6-Mar-16,UC Web,1
7-Mar-16,Google,441
7-Mar-16,Apple,149
7-Mar-16,Mozilla,96
7-Mar-16,Microsoft,71
7-Mar-16,Opera,9
7-Mar-16,Other,9
7-Mar-16,Yandex,2
7-Mar-16,UC Web,1
8-Mar-16,Google,2690
8-Mar-16,Mozilla,943
8-Mar-16,Apple,631
8-Mar-16,Microsoft,342
8-Mar-16,Other,15
8-Mar-16,Opera,10
8-Mar-16,BlackBerry,4
8-Mar-16,UC Web,2
8-Mar-16,Yandex,1
8-Mar-16,Amazon,1
9-Mar-16,Google,1701
9-Mar-16,Apple,1002
9-Mar-16,Mozilla,413
9-Mar-16,Microsoft,293
9-Mar-16,Other,23
9-Mar-16,Opera,17
9-Mar-16,BlackBerry,15
9-Mar-16,UC Web,5
9-Mar-16,Amazon,2
9-Mar-16,Yandex,1
10-Mar-16,Google,767
10-Mar-16,Apple,443
10-Mar-16,Mozilla,171
10-Mar-16,Microsoft,155
10-Mar-16,Other,11
10-Mar-16,Opera,7
10-Mar-16,BlackBerry,5
10-Mar-16,Amazon,1
11-Mar-16,Google,493
11-Mar-16,Apple,170
11-Mar-16,Mozilla,106
11-Mar-16,Microsoft,101
11-Mar-16,Other,17
11-Mar-16,Opera,4
11-Mar-16,Yandex,2
11-Mar-16,BlackBerry,1
11-Mar-16,Netscape,1
12-Mar-16,Google,168
12-Mar-16,Apple,128
12-Mar-16,Mozilla,27
12-Mar-16,Microsoft,23
12-Mar-16,Other,8
12-Mar-16,BlackBerry,2
12-Mar-16,Yandex,1
12-Mar-16,Opera,1
13-Mar-16,Google,216
13-Mar-16,Apple,144
13-Mar-16,Mozilla,39
13-Mar-16,Microsoft,29
13-Mar-16,Other,5
13-Mar-16,BlackBerry,2
13-Mar-16,Opera,2
13-Mar-16,UC Web,1
14-Mar-16,Google,678
14-Mar-16,Mozilla,207
14-Mar-16,Apple,201
14-Mar-16,Microsoft,120
14-Mar-16,Opera,5
14-Mar-16,Other,5
14-Mar-16,UC Web,1
14-Mar-16,Hewlett-Packard,1
14-Mar-16,BlackBerry,1
14-Mar-16,Netscape,1
15-Mar-16,Google,506
15-Mar-16,Apple,178
15-Mar-16,Mozilla,119
15-Mar-16,Microsoft,72
15-Mar-16,Other,9
15-Mar-16,Opera,3
15-Mar-16,BlackBerry,1
15-Mar-16,Amazon,1
16-Mar-16,Google,853
16-Mar-16,Apple,379
16-Mar-16,Mozilla,246
16-Mar-16,Microsoft,179
16-Mar-16,Other,11
16-Mar-16,Opera,4
16-Mar-16,BlackBerry,2
16-Mar-16,Amazon,2
17-Mar-16,Google,632
17-Mar-16,Apple,291
17-Mar-16,Mozilla,191
17-Mar-16,Microsoft,116
17-Mar-16,Other,12
17-Mar-16,Opera,5
17-Mar-16,UC Web,2
17-Mar-16,Yandex,1
17-Mar-16,BlackBerry,1
18-Mar-16,Google,453
18-Mar-16,Apple,182
18-Mar-16,Mozilla,133
18-Mar-16,Microsoft,86
18-Mar-16,Opera,6
18-Mar-16,Other,3
18-Mar-16,UC Web,1
18-Mar-16,BlackBerry,1
19-Mar-16,Google,139
19-Mar-16,Apple,94
19-Mar-16,Mozilla,86
19-Mar-16,Microsoft,19
19-Mar-16,Opera,2
19-Mar-16,Other,2
19-Mar-16,UC Web,1
19-Mar-16,BlackBerry,1
20-Mar-16,Google,163
20-Mar-16,Apple,105
20-Mar-16,Mozilla,48
20-Mar-16,Microsoft,25
20-Mar-16,Opera,4
20-Mar-16,Other,4
20-Mar-16,UC Web,1
21-Mar-16,Google,484
21-Mar-16,Apple,166
21-Mar-16,Mozilla,121
21-Mar-16,Microsoft,108
21-Mar-16,Other,9
21-Mar-16,Opera,3
21-Mar-16,Yandex,2
21-Mar-16,BlackBerry,1
21-Mar-16,Amazon,1
22-Mar-16,Google,1827
22-Mar-16,Apple,615
22-Mar-16,Mozilla,382
22-Mar-16,Microsoft,112
22-Mar-16,Opera,29
22-Mar-16,Other,5
22-Mar-16,BlackBerry,4
22-Mar-16,UC Web,3
22-Mar-16,Yandex,1
23-Mar-16,Google,1336
23-Mar-16,Apple,775
23-Mar-16,Mozilla,253
23-Mar-16,Microsoft,186
23-Mar-16,Other,16
23-Mar-16,Opera,15
23-Mar-16,BlackBerry,9
23-Mar-16,UC Web,1
23-Mar-16,Nokia,1
24-Mar-16,Google,637
24-Mar-16,Apple,347
24-Mar-16,Mozilla,178
24-Mar-16,Microsoft,108
24-Mar-16,Other,13
24-Mar-16,Opera,5
24-Mar-16,UC Web,2
24-Mar-16,BlackBerry,2
25-Mar-16,Google,385
25-Mar-16,Apple,164
25-Mar-16,Mozilla,130
25-Mar-16,Microsoft,36
25-Mar-16,Other,13
25-Mar-16,Opera,5
25-Mar-16,Yandex,1
25-Mar-16,BlackBerry,1
25-Mar-16,Netscape,1
26-Mar-16,Google,380
26-Mar-16,Mozilla,216
26-Mar-16,Apple,147
26-Mar-16,Microsoft,20
26-Mar-16,Opera,7
26-Mar-16,Other,4
26-Mar-16,Amazon,3
26-Mar-16,BlackBerry,2
26-Mar-16,UC Web,1
26-Mar-16,Netscape,1
27-Mar-16,Google,255
27-Mar-16,Apple,146
27-Mar-16,Mozilla,113
27-Mar-16,Microsoft,24
27-Mar-16,Other,5
