Date,Device,Visits
19-Feb-16,Desktop,596
19-Feb-16,Mobile,203
19-Feb-16,Tablet,32
20-Feb-16,Desktop,160
20-Feb-16,Mobile,153
20-Feb-16,Tablet,37
21-Feb-16,Desktop,252
21-Feb-16,Mobile,182
21-Feb-16,Tablet,30
22-Feb-16,Desktop,1306
22-Feb-16,Mobile,1326
22-Feb-16,Tablet,136
23-Feb-16,Desktop,1318
23-Feb-16,Mobile,1047
23-Feb-16,Tablet,121
24-Feb-16,Desktop,1093
24-Feb-16,Mobile,937
24-Feb-16,Tablet,106
25-Feb-16,Desktop,1073
25-Feb-16,Mobile,672
25-Feb-16,Tablet,94
26-Feb-16,Desktop,850
26-Feb-16,Mobile,316
26-Feb-16,Tablet,55
27-Feb-16,Desktop,245
27-Feb-16,Mobile,151
27-Feb-16,Tablet,45
28-Feb-16,Desktop,723
28-Feb-16,Mobile,540
28-Feb-16,Tablet,124
29-Feb-16,Desktop,937
29-Feb-16,Mobile,241
29-Feb-16,Tablet,51
1-Mar-16,Desktop,1002
1-Mar-16,Mobile,380
1-Mar-16,Tablet,69
2-Mar-16,Desktop,936
2-Mar-16,Mobile,315
2-Mar-16,Tablet,68
3-Mar-16,Desktop,711
3-Mar-16,Mobile,205
3-Mar-16,Tablet,30
4-Mar-16,Desktop,444
4-Mar-16,Mobile,166
4-Mar-16,Tablet,33
5-Mar-16,Desktop,218
5-Mar-16,Mobile,135
5-Mar-16,Tablet,36
6-Mar-16,Desktop,264
6-Mar-16,Mobile,122
6-Mar-16,Tablet,29
7-Mar-16,Desktop,575
7-Mar-16,Mobile,160
7-Mar-16,Tablet,43
8-Mar-16,Desktop,3854
8-Mar-16,Mobile,675
8-Mar-16,Tablet,110
9-Mar-16,Desktop,2037
9-Mar-16,Mobile,1233
9-Mar-16,Tablet,204
10-Mar-16,Desktop,935
10-Mar-16,Mobile,522
10-Mar-16,Tablet,102
11-Mar-16,Desktop,663
11-Mar-16,Mobile,189
11-Mar-16,Tablet,43
12-Mar-16,Desktop,187
12-Mar-16,Mobile,142
12-Mar-16,Tablet,29
13-Mar-16,Desktop,249
13-Mar-16,Mobile,153
13-Mar-16,Tablet,36
14-Mar-16,Desktop,937
14-Mar-16,Mobile,245
14-Mar-16,Tablet,40
15-Mar-16,Desktop,628
15-Mar-16,Mobile,221
15-Mar-16,Tablet,40
16-Mar-16,Desktop,1141
16-Mar-16,Mobile,467
16-Mar-16,Tablet,68
17-Mar-16,Desktop,829
17-Mar-16,Mobile,363
17-Mar-16,Tablet,59
18-Mar-16,Desktop,596
18-Mar-16,Mobile,235
18-Mar-16,Tablet,35
19-Mar-16,Desktop,218
19-Mar-16,Mobile,112
19-Mar-16,Tablet,14
20-Mar-16,Desktop,221
20-Mar-16,Mobile,97
20-Mar-16,Tablet,32
21-Mar-16,Desktop,694
21-Mar-16,Mobile,160
21-Mar-16,Tablet,41
22-Mar-16,Desktop,1943
22-Mar-16,Mobile,942
22-Mar-16,Tablet,93
23-Mar-16,Desktop,1411
23-Mar-16,Mobile,1053
23-Mar-16,Tablet,128
24-Mar-16,Desktop,777
24-Mar-16,Mobile,435
24-Mar-16,Tablet,79
25-Mar-16,Desktop,452
25-Mar-16,Mobile,247
25-Mar-16,Tablet,38
26-Mar-16,Desktop,464
26-Mar-16,Mobile,242
26-Mar-16,Tablet,75
27-Mar-16,Desktop,346
27-Mar-16,Mobile,148
27-Mar-16,Tablet,55
28-Mar-16,Desktop,996
28-Mar-16,Mobile,300
28-Mar-16,Tablet,57
29-Mar-16,Desktop,1017
29-Mar-16,Mobile,312
29-Mar-16,Tablet,49
30-Mar-16,Desktop,940
30-Mar-16,Mobile,344
30-Mar-16,Tablet,47
31-Mar-16,Desktop,725
31-Mar-16,Mobile,259
31-Mar-16,Tablet,52
1-Apr-16,Desktop,875
1-Apr-16,Mobile,349
1-Apr-16,Tablet,81
2-Apr-16,Desktop,241
2-Apr-16,Mobile,205
2-Apr-16,Tablet,38
3-Apr-16,Desktop,274
3-Apr-16,Mobile,139
3-Apr-16,Tablet,33
4-Apr-16,Desktop,812
4-Apr-16,Mobile,163
4-Apr-16,Tablet,31
5-Apr-16,Desktop,598
5-Apr-16,Mobile,215
5-Apr-16,Tablet,40
6-Apr-16,Desktop,927
6-Apr-16,Mobile,364
6-Apr-16,Tablet,64
7-Apr-16,Desktop,599
7-Apr-16,Mobile,257
7-Apr-16,Tablet,34
8-Apr-16,Desktop,479
8-Apr-16,Mobile,146
8-Apr-16,Tablet,27
9-Apr-16,Desktop,196
9-Apr-16,Mobile,139
9-Apr-16,Tablet,23
10-Apr-16,Desktop,252
10-Apr-16,Mobile,127
10-Apr-16,Tablet,31
11-Apr-16,Desktop,719
11-Apr-16,Mobile,193
11-Apr-16,Tablet,38
12-Apr-16,Desktop,847
12-Apr-16,Mobile,420
12-Apr-16,Tablet,52
13-Apr-16,Desktop,1964
13-Apr-16,Mobile,894
13-Apr-16,Tablet,121
14-Apr-16,Desktop,1504
14-Apr-16,Mobile,596
14-Apr-16,Tablet,82
15-Apr-16,Desktop,607
15-Apr-16,Mobile,253
15-Apr-16,Tablet,50
16-Apr-16,Desktop,236
16-Apr-16,Mobile,202
16-Apr-16,Tablet,41
17-Apr-16,Desktop,277
17-Apr-16,Mobile,179
17-Apr-16,Tablet,44
18-Apr-16,Desktop,656
18-Apr-16,Mobile,171
18-Apr-16,Tablet,28
19-Apr-16,Desktop,1266
19-Apr-16,Mobile,1284
19-Apr-16,Tablet,160
20-Apr-16,Desktop,1027
20-Apr-16,Mobile,812
20-Apr-16,Tablet,107
21-Apr-16,Desktop,795
21-Apr-16,Mobile,263
21-Apr-16,Tablet,49
22-Apr-16,Desktop,666
22-Apr-16,Mobile,195
22-Apr-16,Tablet,35
23-Apr-16,Desktop,273
23-Apr-16,Mobile,249
23-Apr-16,Tablet,47
24-Apr-16,Desktop,427
24-Apr-16,Mobile,303
24-Apr-16,Tablet,59
25-Apr-16,Desktop,731
25-Apr-16,Mobile,284
25-Apr-16,Tablet,47
26-Apr-16,Desktop,660
26-Apr-16,Mobile,270
26-Apr-16,Tablet,50
27-Apr-16,Desktop,845
27-Apr-16,Mobile,406
27-Apr-16,Tablet,63
28-Apr-16,Desktop,757
28-Apr-16,Mobile,263
28-Apr-16,Tablet,47
29-Apr-16,Desktop,855
29-Apr-16,Mobile,416
29-Apr-16,Tablet,75
30-Apr-16,Desktop,300
30-Apr-16,Mobile,316
30-Apr-16,Tablet,57
1-May-16,Desktop,270
1-May-16,Mobile,161
1-May-16,Tablet,35
2-May-16,Desktop,1804
2-May-16,Mobile,712
2-May-16,Tablet,123
3-May-16,Desktop,1022
3-May-16,Mobile,463
3-May-16,Tablet,58
4-May-16,Desktop,1037
4-May-16,Mobile,394
4-May-16,Tablet,57
5-May-16,Desktop,666
5-May-16,Mobile,225
5-May-16,Tablet,38
6-May-16,Desktop,531
6-May-16,Mobile,252
6-May-16,Tablet,40
7-May-16,Desktop,212
7-May-16,Mobile,198
7-May-16,Tablet,37
8-May-16,Desktop,228
8-May-16,Mobile,165
8-May-16,Tablet,30
9-May-16,Desktop,730
9-May-16,Mobile,200
9-May-16,Tablet,39
10-May-16,Desktop,920
10-May-16,Mobile,346
10-May-16,Tablet,58
11-May-16,Desktop,1997
11-May-16,Mobile,2144
11-May-16,Tablet,232
12-May-16,Desktop,1389
12-May-16,Mobile,1673
12-May-16,Tablet,156
13-May-16,Desktop,701
13-May-16,Mobile,354
13-May-16,Tablet,40
14-May-16,Desktop,214
14-May-16,Mobile,221
14-May-16,Tablet,35
15-May-16,Desktop,275
15-May-16,Mobile,192
15-May-16,Tablet,31
16-May-16,Desktop,961
16-May-16,Mobile,481
16-May-16,Tablet,60
17-May-16,Desktop,1028
17-May-16,Mobile,361
17-May-16,Tablet,47
18-May-16,Desktop,1234
18-May-16,Mobile,394
18-May-16,Tablet,71
