Date,Device,Visits
19-Feb-16,Microsoft Internet Explorer 11,81
19-Feb-16,Microsoft Internet Explorer 10,9
19-Feb-16,Microsoft Internet Explorer 9,3
19-Feb-16,Microsoft Internet Explorer 8,2
19-Feb-16,Internet Explorer Mobile 11.0,1
20-Feb-16,Microsoft Internet Explorer 11,13
20-Feb-16,Microsoft Internet Explorer 9,4
20-Feb-16,Internet Explorer Mobile 11.0,2
21-Feb-16,Microsoft Internet Explorer 11,20
21-Feb-16,Microsoft Internet Explorer 9,5
21-Feb-16,Microsoft Internet Explorer 8,3
21-Feb-16,Microsoft Internet Explorer 10,1
22-Feb-16,Microsoft Internet Explorer 11,100
22-Feb-16,Internet Explorer Mobile 11.0,10
22-Feb-16,Microsoft Internet Explorer 10,9
22-Feb-16,Microsoft Internet Explorer 9,6
22-Feb-16,Microsoft Internet Explorer 8,5
23-Feb-16,Microsoft Internet Explorer 11,100
23-Feb-16,Microsoft Internet Explorer 10,18
23-Feb-16,Microsoft Internet Explorer 9,7
23-Feb-16,Microsoft Internet Explorer 8,5
23-Feb-16,Internet Explorer Mobile 11.0,3
24-Feb-16,Microsoft Internet Explorer 11,101
24-Feb-16,Internet Explorer Mobile 11.0,12
24-Feb-16,Microsoft Internet Explorer 9,10
24-Feb-16,Microsoft Internet Explorer 10,7
24-Feb-16,Microsoft Internet Explorer 8,1
25-Feb-16,Microsoft Internet Explorer 11,66
25-Feb-16,Microsoft Internet Explorer 9,8
25-Feb-16,Internet Explorer Mobile 11.0,7
25-Feb-16,Microsoft Internet Explorer 10,2
25-Feb-16,Microsoft Internet Explorer 8,1
25-Feb-16,Microsoft Internet Explorer 6.0,1
26-Feb-16,Microsoft Internet Explorer 11,86
26-Feb-16,Microsoft Internet Explorer 10,5
26-Feb-16,Internet Explorer Mobile 11.0,4
26-Feb-16,Microsoft Internet Explorer 8,2
26-Feb-16,Microsoft Internet Explorer 9,1
27-Feb-16,Microsoft Internet Explorer 11,17
27-Feb-16,Internet Explorer Mobile 11.0,2
27-Feb-16,Microsoft Internet Explorer 9,1
27-Feb-16,Microsoft Internet Explorer 8,1
28-Feb-16,Microsoft Internet Explorer 11,39
28-Feb-16,Internet Explorer Mobile 11.0,7
28-Feb-16,Microsoft Internet Explorer 10,4
28-Feb-16,Microsoft Internet Explorer 9,1
29-Feb-16,Microsoft Internet Explorer 11,124
29-Feb-16,Microsoft Internet Explorer 8,7
29-Feb-16,Microsoft Internet Explorer 9,6
29-Feb-16,Microsoft Internet Explorer 10,5
29-Feb-16,Internet Explorer Mobile 11.0,1
1-Mar-16,Microsoft Internet Explorer 11,155
1-Mar-16,Microsoft Internet Explorer 9,11
1-Mar-16,Microsoft Internet Explorer 10,7
1-Mar-16,Microsoft Internet Explorer 8,7
1-Mar-16,Internet Explorer Mobile 11.0,5
2-Mar-16,Microsoft Internet Explorer 11,125
2-Mar-16,Microsoft Internet Explorer 10,9
2-Mar-16,Microsoft Internet Explorer 9,7
2-Mar-16,Microsoft Internet Explorer 8,7
2-Mar-16,Internet Explorer Mobile 11.0,3
3-Mar-16,Microsoft Internet Explorer 11,61
3-Mar-16,Microsoft Internet Explorer 10,9
3-Mar-16,Microsoft Internet Explorer 9,5
3-Mar-16,Internet Explorer Mobile 11.0,2
3-Mar-16,Microsoft Internet Explorer 8,2
3-Mar-16,Internet Explorer 11.0,1
4-Mar-16,Microsoft Internet Explorer 11,51
4-Mar-16,Microsoft Internet Explorer 8,5
4-Mar-16,Microsoft Internet Explorer 9,4
4-Mar-16,Microsoft Internet Explorer 10,2
4-Mar-16,Internet Explorer Mobile 11.0,1
5-Mar-16,Microsoft Internet Explorer 11,16
5-Mar-16,Microsoft Internet Explorer 9,3
5-Mar-16,Internet Explorer Mobile 11.0,1
5-Mar-16,Microsoft Internet Explorer 10,1
6-Mar-16,Microsoft Internet Explorer 11,29
6-Mar-16,Internet Explorer Mobile 11.0,1
6-Mar-16,Microsoft Internet Explorer 10,1
6-Mar-16,Microsoft Internet Explorer 9,1
6-Mar-16,Microsoft Internet Explorer 8,1
7-Mar-16,Microsoft Internet Explorer 11,59
7-Mar-16,Microsoft Internet Explorer 9,4
7-Mar-16,Microsoft Internet Explorer 10,3
7-Mar-16,Microsoft Internet Explorer 8,1
8-Mar-16,Microsoft Internet Explorer 11,278
8-Mar-16,Microsoft Internet Explorer 10,13
8-Mar-16,Internet Explorer Mobile 11.0,7
8-Mar-16,Microsoft Internet Explorer 9,5
8-Mar-16,Microsoft Internet Explorer 8,4
9-Mar-16,Microsoft Internet Explorer 11,228
9-Mar-16,Microsoft Internet Explorer 10,16
9-Mar-16,Internet Explorer Mobile 11.0,9
9-Mar-16,Microsoft Internet Explorer 9,8
9-Mar-16,Microsoft Internet Explorer 8,7
10-Mar-16,Microsoft Internet Explorer 11,112
10-Mar-16,Microsoft Internet Explorer 10,7
10-Mar-16,Microsoft Internet Explorer 8,6
10-Mar-16,Microsoft Internet Explorer 9,3
10-Mar-16,Internet Explorer Mobile 11.0,2
11-Mar-16,Microsoft Internet Explorer 11,80
11-Mar-16,Microsoft Internet Explorer 8,4
11-Mar-16,Microsoft Internet Explorer 10,3
11-Mar-16,Microsoft Internet Explorer 9,2
11-Mar-16,Microsoft Internet Explorer 7.0,1
12-Mar-16,Microsoft Internet Explorer 11,14
12-Mar-16,Internet Explorer Mobile 11.0,1
12-Mar-16,Microsoft Internet Explorer 9,1
12-Mar-16,Microsoft Internet Explorer 8,1
13-Mar-16,Microsoft Internet Explorer 11,15
13-Mar-16,Microsoft Internet Explorer 9,2
13-Mar-16,Microsoft Internet Explorer 8,2
13-Mar-16,Internet Explorer 11.0,1
13-Mar-16,Microsoft Internet Explorer 10,1
14-Mar-16,Microsoft Internet Explorer 11,85
14-Mar-16,Microsoft Internet Explorer 10,11
14-Mar-16,Microsoft Internet Explorer 9,5
14-Mar-16,Internet Explorer Mobile 11.0,2
14-Mar-16,Microsoft Internet Explorer 8,2
14-Mar-16,Internet Explorer 11.0,1
15-Mar-16,Microsoft Internet Explorer 11,47
15-Mar-16,Internet Explorer Mobile 11.0,3
15-Mar-16,Microsoft Internet Explorer 10,3
15-Mar-16,Microsoft Internet Explorer 9,3
15-Mar-16,Microsoft Internet Explorer 8,2
16-Mar-16,Microsoft Internet Explorer 11,147
16-Mar-16,Microsoft Internet Explorer 9,8
16-Mar-16,Microsoft Internet Explorer 10,7
16-Mar-16,Internet Explorer Mobile 11.0,4
