Date,Operating System Types,Visits
19-Feb-16,Microsoft Windows,416
19-Feb-16,Apple iOS,139
19-Feb-16,Apple Macintosh,139
19-Feb-16,Google Android,94
19-Feb-16,GNU/Linux,38
19-Feb-16,Other,2
19-Feb-16,Chrome OS,1
19-Feb-16,Microsoft Windows Phone/Mobile,1
19-Feb-16,Blackberry,1
20-Feb-16,Apple iOS,129
20-Feb-16,Microsoft Windows,107
20-Feb-16,Google Android,59
20-Feb-16,Apple Macintosh,35
20-Feb-16,GNU/Linux,15
20-Feb-16,Other,3
20-Feb-16,Microsoft Windows Phone/Mobile,2
20-Feb-16,Nokia,1
21-Feb-16,Microsoft Windows,165
21-Feb-16,Apple iOS,128
21-Feb-16,Google Android,83
21-Feb-16,Apple Macintosh,77
21-Feb-16,GNU/Linux,6
21-Feb-16,Chrome OS,2
21-Feb-16,Other,2
21-Feb-16,Nokia,1
22-Feb-16,Apple iOS,950
22-Feb-16,Microsoft Windows,842
22-Feb-16,Google Android,493
22-Feb-16,Apple Macintosh,373
22-Feb-16,GNU/Linux,85
22-Feb-16,Microsoft Windows Phone/Mobile,11
22-Feb-16,Blackberry,6
22-Feb-16,Chrome OS,3
22-Feb-16,Other,3
22-Feb-16,Nokia,2
23-Feb-16,Microsoft Windows,800
23-Feb-16,Apple iOS,721
23-Feb-16,Google Android,439
23-Feb-16,Apple Macintosh,360
23-Feb-16,GNU/Linux,154
23-Feb-16,Microsoft Windows Phone/Mobile,5
23-Feb-16,Other,4
23-Feb-16,Nokia,1
23-Feb-16,Chrome OS,1
23-Feb-16,Blackberry,1
24-Feb-16,Microsoft Windows,743
24-Feb-16,Apple iOS,645
24-Feb-16,Google Android,374
24-Feb-16,Apple Macintosh,270
24-Feb-16,GNU/Linux,74
24-Feb-16,Microsoft Windows Phone/Mobile,14
24-Feb-16,Blackberry,11
24-Feb-16,Chrome OS,6
25-Feb-16,Microsoft Windows,636
25-Feb-16,Apple iOS,448
25-Feb-16,Google Android,306
25-Feb-16,Apple Macintosh,239
25-Feb-16,GNU/Linux,190
25-Feb-16,Microsoft Windows Phone/Mobile,8
25-Feb-16,Chrome OS,7
25-Feb-16,Blackberry,3
25-Feb-16,Other,3
26-Feb-16,Microsoft Windows,539
26-Feb-16,Apple iOS,236
26-Feb-16,Apple Macintosh,187
26-Feb-16,Google Android,132
26-Feb-16,GNU/Linux,119
26-Feb-16,Microsoft Windows Phone/Mobile,4
26-Feb-16,Other,4
26-Feb-16,Blackberry,3
26-Feb-16,Chrome OS,1
26-Feb-16,Symbian,1
27-Feb-16,Microsoft Windows,152
27-Feb-16,Apple iOS,131
27-Feb-16,Google Android,63
27-Feb-16,Apple Macintosh,55
27-Feb-16,GNU/Linux,33
27-Feb-16,Chrome OS,3
27-Feb-16,Microsoft Windows Phone/Mobile,2
27-Feb-16,Other,2
28-Feb-16,Microsoft Windows,385
28-Feb-16,Apple iOS,331
28-Feb-16,Google Android,319
28-Feb-16,GNU/Linux,173
28-Feb-16,Apple Macintosh,155
28-Feb-16,Chrome OS,11
28-Feb-16,Microsoft Windows Phone/Mobile,10
28-Feb-16,Blackberry,2
28-Feb-16,Other,2
29-Feb-16,Microsoft Windows,627
29-Feb-16,Apple Macintosh,191
29-Feb-16,Apple iOS,158
29-Feb-16,Google Android,132
29-Feb-16,GNU/Linux,113
29-Feb-16,Other,3
29-Feb-16,Chrome OS,2
29-Feb-16,UNIX,1
29-Feb-16,Microsoft Windows Phone/Mobile,1
29-Feb-16,Blackberry,1
1-Mar-16,Microsoft Windows,698
1-Mar-16,Apple iOS,294
1-Mar-16,Apple Macintosh,241
1-Mar-16,Google Android,142
1-Mar-16,GNU/Linux,58
1-Mar-16,Microsoft Windows Phone/Mobile,7
1-Mar-16,Blackberry,5
1-Mar-16,Other,3
1-Mar-16,Chrome OS,2
1-Mar-16,Symbian,1
2-Mar-16,Microsoft Windows,653
2-Mar-16,Apple iOS,267
2-Mar-16,Apple Macintosh,239
2-Mar-16,Google Android,109
2-Mar-16,GNU/Linux,42
2-Mar-16,Nokia,3
2-Mar-16,Microsoft Windows Phone/Mobile,3
2-Mar-16,Chrome OS,2
2-Mar-16,Blackberry,1
3-Mar-16,Microsoft Windows,463
3-Mar-16,Apple Macintosh,183
3-Mar-16,Apple iOS,139
3-Mar-16,Google Android,91
3-Mar-16,GNU/Linux,59
3-Mar-16,Other,6
3-Mar-16,Nokia,3
3-Mar-16,Microsoft Windows Phone/Mobile,3
4-Mar-16,Microsoft Windows,287
4-Mar-16,Apple iOS,115
4-Mar-16,Apple Macintosh,103
4-Mar-16,Google Android,78
4-Mar-16,GNU/Linux,51
4-Mar-16,Blackberry,5
4-Mar-16,Microsoft Windows Phone/Mobile,2
4-Mar-16,Other,2
4-Mar-16,Chrome OS,1
5-Mar-16,Microsoft Windows,152
5-Mar-16,Apple iOS,107
5-Mar-16,Google Android,61
5-Mar-16,Apple Macintosh,47
5-Mar-16,GNU/Linux,14
5-Mar-16,Chrome OS,3
5-Mar-16,Microsoft Windows Phone/Mobile,2
5-Mar-16,Other,2
5-Mar-16,Blackberry,1
6-Mar-16,Microsoft Windows,170
