Download Link,URL,Download Link Instances
https://enterprisersproject.com/sites/default/files/software_the_true_competitive_differentiator.pdf,https://enterprisersproject.com/software-true-competitive-differentiator,20
https://enterprisersproject.com/sites/default/files/design_thinking_comes_of_age.pdf,https://enterprisersproject.com/design-thinking-comes-age,13
https://enterprisersproject.com/sites/default/files/Driving%20Digital%20Transformation%3A%20New%20Skills%20for%20Leaders%2C%20New%20Role%20for%20the%20CIO.pdf,https://enterprisersproject.com/digital-transformation-report,7
https://enterprisersproject.com/sites/default/files/Business%20Transformation%20and%20the%20CIO%20Role.pdf,https://enterprisersproject.com/hbr-report,5
https://enterprisersproject.com/sites/default/files/Bring%20Out%20the%20Best%20in%20Your%20People.pdf,https://enterprisersproject.com/bringing-out-best-your-people,4
https://enterprisersproject.com/sites/default/files/leaders_as_decision_architects.pdf,https://enterprisersproject.com/leaders-decision-architects,3
https://enterprisersproject.com/sites/default/files/TEP%20Driving%20Digital%20Transformation%20Roundtable.pdf,https://enterprisersproject.com/cio-roundtable-driving-digital-transformation,3
https://enterprisersproject.com/sites/default/files/Be%20Yourself%2C%20But%20Carefully.pdf,https://enterprisersproject.com/resources/be-yourself-carefully,2
https://enterprisersproject.com/sites/default/files/The%20CIO%20at%20a%20Technology%20and%20Cultural%20Crossroads.pdf,https://enterprisersproject.com/cio-technology-and-cultural-crossroads,2
https://enterprisersproject.com/sites/default/files/The%20Enterprisers%20Project%20Internet%20of%20Things%20Roundtable_0.pdf,https://enterprisersproject.com/cio-roundtable-internet-things,2
https://enterprisersproject.com/sites/default/files/DevOps%20and%20the%20CIO.pdf,https://enterprisersproject.com/devops-and-cio,2
https://enterprisersproject.com/sites/default/files/Should%20CIOs%20make%20a%20break%20with%20the%20past.pdf,https://enterprisersproject.com/should-cios-make-break-past,1
https://enterprisersproject.com/sites/default/files/CIOs%20at%20a%20Technology%20and%20Cultural%20Crossroads.pdf,https://enterprisersproject.com/cio-report,1
https://enterprisersproject.com/sites/default/files/Magic%20Wand%20Infrastructure%20Roundtable.pdf,https://enterprisersproject.com/whats-your-magic-wand-infrastructure,1
https://enterprisersproject.com/sites/default/files/Winning%20in%20the%20Age%20of%20the%20Mobile%20Mindshift.pdf,https://enterprisersproject.com/winning-age-mobile-mindshift,1
https://enterprisersproject.com/sites/default/files/Taking%20the%20riskiness%20out%20of%20risk%20in%20IT.pdf,https://enterprisersproject.com/taking-riskiness-out-risk-it,1
https://www.data.com/export/sites/data/common/assets/pdf/DS_Gartner.pdf,None,1
https://enterprisersproject.com/sites/default/files/The%20Six%20Traits%20of%20IT-Driven%20Business%20Innovators.pdf,https://enterprisersproject.com/six-traits-it-driven-business-innovators,1
https://enterprisersproject.com/sites/default/files/Winning%20the%20IT%20Talent%20War.pdf,https://enterprisersproject.com/winning-it-talent-war,1
https://enterprisersproject.com/sites/default/files/Five%20Lessons%20for%20Taking%20Enterprise%20to%20Cloud.pdf,https://enterprisersproject.com/five-lessons-taking-your-enterprise-cloud,1
