Date,Operating Systems,Visits
19-Feb-16,Windows 7,230
19-Feb-16,Windows 8.1,102
19-Feb-16,Windows 10,64
19-Feb-16,Windows XP,15
19-Feb-16,Windows 8,5
20-Feb-16,Windows 7,50
20-Feb-16,Windows 10,29
20-Feb-16,Windows 8.1,17
20-Feb-16,Windows XP,6
20-Feb-16,Windows Vista,3
20-Feb-16,Windows 8,2
21-Feb-16,Windows 7,85
21-Feb-16,Windows 10,40
21-Feb-16,Windows 8.1,30
21-Feb-16,Windows 8,4
21-Feb-16,Windows XP,4
21-Feb-16,Windows Vista,2
22-Feb-16,Windows 7,512
22-Feb-16,Windows 10,165
22-Feb-16,Windows 8.1,129
22-Feb-16,Windows XP,19
22-Feb-16,Windows 8,12
22-Feb-16,Windows Vista,3
22-Feb-16,Windows 3.x,2
23-Feb-16,Windows 7,514
23-Feb-16,Windows 10,143
23-Feb-16,Windows 8.1,112
23-Feb-16,Windows XP,19
23-Feb-16,Windows Vista,7
23-Feb-16,Windows 8,5
24-Feb-16,Windows 7,448
24-Feb-16,Windows 10,147
24-Feb-16,Windows 8.1,109
24-Feb-16,Windows 8,15
24-Feb-16,Windows XP,15
24-Feb-16,Windows Vista,8
24-Feb-16,Windows NT,1
25-Feb-16,Windows 7,390
25-Feb-16,Windows 10,130
25-Feb-16,Windows 8.1,86
25-Feb-16,Windows XP,21
25-Feb-16,Windows 8,7
25-Feb-16,Windows Server 2003 and XP x64 Edition,1
25-Feb-16,Windows 2000/NT 5,1
26-Feb-16,Windows 7,345
26-Feb-16,Windows 10,92
26-Feb-16,Windows 8.1,81
26-Feb-16,Windows XP,10
26-Feb-16,Windows Vista,6
26-Feb-16,Windows 8,5
27-Feb-16,Windows 7,71
27-Feb-16,Windows 10,43
27-Feb-16,Windows 8.1,23
27-Feb-16,Windows XP,12
27-Feb-16,Windows 8,3
28-Feb-16,Windows 7,172
28-Feb-16,Windows 10,131
28-Feb-16,Windows 8.1,63
28-Feb-16,Windows XP,13
28-Feb-16,Windows 8,3
28-Feb-16,Windows Vista,3
29-Feb-16,Windows 7,406
29-Feb-16,Windows 10,106
29-Feb-16,Windows 8.1,90
29-Feb-16,Windows XP,14
29-Feb-16,Windows Vista,6
29-Feb-16,Windows 8,5
1-Mar-16,Windows 7,447
1-Mar-16,Windows 10,120
1-Mar-16,Windows 8.1,99
1-Mar-16,Windows 8,12
1-Mar-16,Windows XP,11
1-Mar-16,Windows Vista,8
1-Mar-16,Windows Server 2003 and XP x64 Edition,1
2-Mar-16,Windows 7,386
2-Mar-16,Windows 8.1,125
2-Mar-16,Windows 10,119
2-Mar-16,Windows XP,13
2-Mar-16,Windows 8,7
2-Mar-16,Windows Vista,3
3-Mar-16,Windows 7,301
3-Mar-16,Windows 10,96
3-Mar-16,Windows 8.1,44
3-Mar-16,Windows XP,12
3-Mar-16,Windows 8,6
3-Mar-16,Windows Vista,4
4-Mar-16,Windows 7,196
4-Mar-16,Windows 10,46
4-Mar-16,Windows 8.1,36
4-Mar-16,Windows XP,5
4-Mar-16,Windows 8,4
5-Mar-16,Windows 7,70
5-Mar-16,Windows 10,50
5-Mar-16,Windows 8.1,19
5-Mar-16,Windows XP,8
5-Mar-16,Windows 8,3
5-Mar-16,Windows Vista,2
6-Mar-16,Windows 7,81
6-Mar-16,Windows 8.1,49
6-Mar-16,Windows 10,29
6-Mar-16,Windows XP,5
6-Mar-16,Windows 8,4
6-Mar-16,Windows Vista,2
7-Mar-16,Windows 7,259
7-Mar-16,Windows 10,66
7-Mar-16,Windows 8.1,38
7-Mar-16,Windows XP,6
7-Mar-16,Windows 8,3
7-Mar-16,Windows Vista,3
8-Mar-16,Windows 7,1628
8-Mar-16,Windows 10,593
8-Mar-16,Windows 8.1,290
8-Mar-16,Windows 8,22
8-Mar-16,Windows XP,11
8-Mar-16,Windows Vista,6
8-Mar-16,Windows Server 2003 and XP x64 Edition,2
9-Mar-16,Windows 7,860
9-Mar-16,Windows 10,296
9-Mar-16,Windows 8.1,158
9-Mar-16,Windows XP,19
9-Mar-16,Windows 8,13
9-Mar-16,Windows Vista,12
10-Mar-16,Windows 7,385
10-Mar-16,Windows 10,146
10-Mar-16,Windows 8.1,85
10-Mar-16,Windows XP,11
10-Mar-16,Windows 8,7
10-Mar-16,Windows Vista,7
11-Mar-16,Windows 7,266
11-Mar-16,Windows 10,110
11-Mar-16,Windows 8.1,54
11-Mar-16,Windows XP,12
11-Mar-16,Windows Vista,4
11-Mar-16,Windows 8,2
12-Mar-16,Windows 7,51
12-Mar-16,Windows 10,40
12-Mar-16,Windows 8.1,10
12-Mar-16,Windows XP,9
12-Mar-16,Windows 8,4
13-Mar-16,Windows 10,61
13-Mar-16,Windows 7,59
13-Mar-16,Windows 8.1,17
13-Mar-16,Windows XP,15
13-Mar-16,Windows Vista,5
13-Mar-16,Windows 8,1
14-Mar-16,Windows 7,348
14-Mar-16,Windows 10,128
14-Mar-16,Windows 8.1,64
14-Mar-16,Windows 8,9
14-Mar-16,Windows XP,8
14-Mar-16,Windows Vista,3
14-Mar-16,Windows Server 2003 and XP x64 Edition,1
15-Mar-16,Windows 7,237
15-Mar-16,Windows 10,89
15-Mar-16,Windows 8.1,43
15-Mar-16,Windows XP,13
15-Mar-16,Windows 8,6
15-Mar-16,Windows Vista,4
16-Mar-16,Windows 7,487
16-Mar-16,Windows 10,138
16-Mar-16,Windows 8.1,105
16-Mar-16,Windows XP,15
16-Mar-16,Windows 8,5
16-Mar-16,Windows Vista,5
17-Mar-16,Windows 7,314
17-Mar-16,Windows 10,105
17-Mar-16,Windows 8.1,65
17-Mar-16,Windows XP,8
17-Mar-16,Windows 8,5
17-Mar-16,Windows Vista,4
18-Mar-16,Windows 7,221
18-Mar-16,Windows 10,68
18-Mar-16,Windows 8.1,67
18-Mar-16,Windows XP,17
18-Mar-16,Windows Vista,4
18-Mar-16,Windows 8,2
19-Mar-16,Windows 8.1,52
19-Mar-16,Windows 7,50
19-Mar-16,Windows 10,36
19-Mar-16,Windows XP,5
19-Mar-16,Windows Vista,3
19-Mar-16,Windows 8,1
20-Mar-16,Windows 7,67
20-Mar-16,Windows 10,39
20-Mar-16,Windows 8.1,22
20-Mar-16,Windows XP,5
20-Mar-16,Windows 8,1
20-Mar-16,Windows Vista,1
21-Mar-16,Windows 7,294
21-Mar-16,Windows 10,76
21-Mar-16,Windows 8.1,45
21-Mar-16,Windows XP,7
21-Mar-16,Windows 8,4
21-Mar-16,Windows Vista,2
22-Mar-16,Windows 7,595
22-Mar-16,Windows 10,389
22-Mar-16,Windows 8.1,181
22-Mar-16,Windows 8,26
22-Mar-16,Windows XP,25
22-Mar-16,Windows Vista,5
23-Mar-16,Windows 7,530
23-Mar-16,Windows 10,226
23-Mar-16,Windows 8.1,130
23-Mar-16,Windows XP,16
23-Mar-16,Windows 8,10
23-Mar-16,Windows Vista,5
23-Mar-16,Windows Server 2003 and XP x64 Edition,1
23-Mar-16,Windows 3.x,1
24-Mar-16,Windows 7,307
24-Mar-16,Windows 10,120
24-Mar-16,Windows 8.1,58
24-Mar-16,Windows 8,7
24-Mar-16,Windows XP,5
24-Mar-16,Windows Vista,4
25-Mar-16,Windows 7,150
25-Mar-16,Windows 10,56
25-Mar-16,Windows 8.1,37
25-Mar-16,Windows XP,2
25-Mar-16,Windows Vista,1
26-Mar-16,Windows 7,88
26-Mar-16,Windows 10,58
26-Mar-16,Windows 8.1,26
26-Mar-16,Windows 8,7
26-Mar-16,Windows XP,6
26-Mar-16,Windows Vista,4
27-Mar-16,Windows 7,74
27-Mar-16,Windows 10,57
27-Mar-16,Windows 8.1,20
27-Mar-16,Windows Vista,6
27-Mar-16,Windows XP,6
27-Mar-16,Windows 8,4
28-Mar-16,Windows 7,342
28-Mar-16,Windows 10,134
28-Mar-16,Windows 8.1,63
28-Mar-16,Windows XP,7
28-Mar-16,Windows 8,4
28-Mar-16,Windows Vista,4
29-Mar-16,Windows 7,392
29-Mar-16,Windows 10,114
29-Mar-16,Windows 8.1,69
29-Mar-16,Windows XP,13
29-Mar-16,Windows 8,3
29-Mar-16,Windows Vista,2
30-Mar-16,Windows 7,387
30-Mar-16,Windows 10,129
30-Mar-16,Windows 8.1,88
30-Mar-16,Windows 8,5
30-Mar-16,Windows XP,5
30-Mar-16,Windows Vista,4
30-Mar-16,Windows Server 2003 and XP x64 Edition,1
31-Mar-16,Windows 7,305
31-Mar-16,Windows 10,104
31-Mar-16,Windows 8.1,49
31-Mar-16,Windows XP,6
31-Mar-16,Windows 8,4
31-Mar-16,Windows Vista,2
1-Apr-16,Windows 7,389
1-Apr-16,Windows 10,128
1-Apr-16,Windows 8.1,77
1-Apr-16,Windows XP,17
1-Apr-16,Windows 8,8
1-Apr-16,Windows Vista,4
2-Apr-16,Windows 7,72
2-Apr-16,Windows 10,53
2-Apr-16,Windows 8.1,20
2-Apr-16,Windows Vista,12
2-Apr-16,Windows XP,11
2-Apr-16,Windows 8,2
3-Apr-16,Windows 7,95
3-Apr-16,Windows 10,39
3-Apr-16,Windows 8.1,38
3-Apr-16,Windows 8,6
3-Apr-16,Windows Vista,5
3-Apr-16,Windows XP,5
3-Apr-16,Windows Server 2003 and XP x64 Edition,1
4-Apr-16,Windows 7,383
4-Apr-16,Windows 10,107
4-Apr-16,Windows 8.1,79
4-Apr-16,Windows XP,6
4-Apr-16,Windows Vista,3
4-Apr-16,Windows 8,2
5-Apr-16,Windows 7,242
5-Apr-16,Windows 10,73
5-Apr-16,Windows 8.1,52
5-Apr-16,Windows XP,27
5-Apr-16,Windows 8,4
5-Apr-16,Windows Vista,3
6-Apr-16,Windows 7,418
6-Apr-16,Windows 10,123
6-Apr-16,Windows 8.1,102
6-Apr-16,Windows XP,17
6-Apr-16,Windows 8,5
6-Apr-16,Windows Vista,5
7-Apr-16,Windows 7,275
7-Apr-16,Windows 10,85
7-Apr-16,Windows 8.1,40
7-Apr-16,Windows 8,6
7-Apr-16,Windows Vista,3
7-Apr-16,Windows XP,2
8-Apr-16,Windows 7,198
8-Apr-16,Windows 10,73
8-Apr-16,Windows 8.1,29
8-Apr-16,Windows XP,8
8-Apr-16,Windows Vista,7
8-Apr-16,Windows 8,1
8-Apr-16,Windows Server 2003 and XP x64 Edition,1
9-Apr-16,Windows 7,71
9-Apr-16,Windows 10,51
9-Apr-16,Windows 8.1,18
9-Apr-16,Windows XP,8
9-Apr-16,Windows Vista,5
9-Apr-16,Windows 8,1
10-Apr-16,Windows 10,67
10-Apr-16,Windows 7,58
10-Apr-16,Windows 8.1,26
10-Apr-16,Windows XP,5
10-Apr-16,Windows Vista,4
10-Apr-16,Windows 8,3
11-Apr-16,Windows 7,299
11-Apr-16,Windows 10,107
11-Apr-16,Windows 8.1,54
11-Apr-16,Windows XP,8
11-Apr-16,Windows Vista,7
11-Apr-16,Windows 8,1
12-Apr-16,Windows 7,342
12-Apr-16,Windows 10,126
12-Apr-16,Windows 8.1,74
12-Apr-16,Windows XP,17
12-Apr-16,Windows Vista,8
12-Apr-16,Windows 8,5
13-Apr-16,Windows 7,765
13-Apr-16,Windows 10,387
13-Apr-16,Windows 8.1,142
13-Apr-16,Windows XP,49
13-Apr-16,Windows 8,17
13-Apr-16,Windows Vista,14
14-Apr-16,Windows 7,576
14-Apr-16,Windows 10,278
14-Apr-16,Windows 8.1,148
14-Apr-16,Windows XP,34
14-Apr-16,Windows 8,23
14-Apr-16,Windows Vista,3
