Date,Browser Type,Visits
19-Feb-16,Google,113076
19-Feb-16,Mozilla,66694
19-Feb-16,Microsoft,22065
19-Feb-16,Apple,13237
19-Feb-16,Opera,586
19-Feb-16,Other,386
19-Feb-16,Yandex,297
19-Feb-16,UC Web,295
19-Feb-16,BlackBerry,60
19-Feb-16,Amazon,49
20-Feb-16,Google,49575
20-Feb-16,Mozilla,24377
20-Feb-16,Apple,9185
20-Feb-16,Microsoft,5865
20-Feb-16,Opera,471
20-Feb-16,Yandex,309
20-Feb-16,UC Web,270
20-Feb-16,Other,232
20-Feb-16,Amazon,52
20-Feb-16,BlackBerry,47
21-Feb-16,Google,61245
21-Feb-16,Mozilla,28530
21-Feb-16,Apple,10573
21-Feb-16,Microsoft,10114
21-Feb-16,Opera,641
21-Feb-16,Other,385
21-Feb-16,UC Web,319
21-Feb-16,Yandex,268
21-Feb-16,Amazon,58
21-Feb-16,BlackBerry,40
22-Feb-16,Google,133575
22-Feb-16,Mozilla,77106
22-Feb-16,Microsoft,28311
22-Feb-16,Apple,15776
22-Feb-16,Opera,621
22-Feb-16,Other,482
22-Feb-16,Yandex,357
22-Feb-16,UC Web,356
22-Feb-16,BlackBerry,57
22-Feb-16,Amazon,46
23-Feb-16,Google,137326
23-Feb-16,Mozilla,77951
23-Feb-16,Microsoft,28368
23-Feb-16,Apple,16163
23-Feb-16,Opera,629
23-Feb-16,Other,531
23-Feb-16,UC Web,332
23-Feb-16,Yandex,317
23-Feb-16,BlackBerry,72
23-Feb-16,Amazon,50
24-Feb-16,Google,137532
24-Feb-16,Mozilla,77422
24-Feb-16,Microsoft,26840
24-Feb-16,Apple,16164
24-Feb-16,Opera,686
24-Feb-16,Other,528
24-Feb-16,Yandex,446
24-Feb-16,UC Web,384
24-Feb-16,BlackBerry,82
24-Feb-16,Amazon,59
25-Feb-16,Google,131203
25-Feb-16,Mozilla,73860
25-Feb-16,Microsoft,26153
25-Feb-16,Apple,14540
25-Feb-16,Opera,642
25-Feb-16,Other,554
25-Feb-16,Yandex,373
25-Feb-16,UC Web,371
25-Feb-16,BlackBerry,84
25-Feb-16,Amazon,40
26-Feb-16,Google,118259
26-Feb-16,Mozilla,64363
26-Feb-16,Microsoft,19715
26-Feb-16,Apple,14555
26-Feb-16,Opera,625
26-Feb-16,Other,493
26-Feb-16,Yandex,351
26-Feb-16,UC Web,351
26-Feb-16,BlackBerry,74
26-Feb-16,Amazon,55
27-Feb-16,Google,50192
27-Feb-16,Mozilla,22731
27-Feb-16,Apple,9497
27-Feb-16,Microsoft,5162
27-Feb-16,Opera,549
27-Feb-16,Yandex,332
27-Feb-16,Other,322
27-Feb-16,UC Web,291
27-Feb-16,Amazon,61
27-Feb-16,BlackBerry,45
28-Feb-16,Google,56572
28-Feb-16,Mozilla,25933
28-Feb-16,Apple,9544
28-Feb-16,Microsoft,8211
28-Feb-16,Opera,551
28-Feb-16,Other,357
28-Feb-16,Yandex,345
28-Feb-16,UC Web,332
28-Feb-16,Amazon,60
28-Feb-16,BlackBerry,47
29-Feb-16,Google,138144
29-Feb-16,Mozilla,76158
29-Feb-16,Microsoft,25037
29-Feb-16,Apple,16392
29-Feb-16,Opera,768
29-Feb-16,Other,540
29-Feb-16,Yandex,480
29-Feb-16,UC Web,368
29-Feb-16,BlackBerry,80
29-Feb-16,Amazon,79
1-Mar-16,Google,163145
1-Mar-16,Mozilla,87661
1-Mar-16,Microsoft,31850
1-Mar-16,Apple,22365
1-Mar-16,Opera,809
1-Mar-16,Other,626
1-Mar-16,UC Web,420
1-Mar-16,Yandex,356
1-Mar-16,BlackBerry,150
1-Mar-16,Amazon,106
2-Mar-16,Google,147260
2-Mar-16,Mozilla,84268
2-Mar-16,Microsoft,31605
2-Mar-16,Apple,17032
2-Mar-16,Opera,703
2-Mar-16,Other,606
2-Mar-16,UC Web,506
2-Mar-16,Yandex,366
2-Mar-16,Amazon,104
2-Mar-16,BlackBerry,80
3-Mar-16,Google,140441
3-Mar-16,Mozilla,78174
3-Mar-16,Microsoft,28228
3-Mar-16,Apple,15474
3-Mar-16,Opera,669
3-Mar-16,Other,537
3-Mar-16,UC Web,398
3-Mar-16,Yandex,367
3-Mar-16,BlackBerry,88
3-Mar-16,Amazon,78
4-Mar-16,Google,122705
4-Mar-16,Mozilla,66161
4-Mar-16,Microsoft,21351
4-Mar-16,Apple,15111
4-Mar-16,Other,785
4-Mar-16,Opera,674
4-Mar-16,UC Web,379
4-Mar-16,Yandex,331
4-Mar-16,BlackBerry,106
4-Mar-16,Amazon,57
5-Mar-16,Google,52981
5-Mar-16,Mozilla,24478
5-Mar-16,Apple,10040
5-Mar-16,Microsoft,5741
5-Mar-16,UC Web,1138
5-Mar-16,Other,894
5-Mar-16,Opera,593
5-Mar-16,Yandex,276
5-Mar-16,Amazon,61
5-Mar-16,BlackBerry,54
6-Mar-16,Google,59519
6-Mar-16,Mozilla,27853
6-Mar-16,Apple,10183
6-Mar-16,Microsoft,8850
6-Mar-16,Other,925
6-Mar-16,UC Web,750
6-Mar-16,Opera,699
6-Mar-16,Yandex,385
6-Mar-16,BlackBerry,51
6-Mar-16,Amazon,47
7-Mar-16,Google,133776
7-Mar-16,Mozilla,74382
7-Mar-16,Microsoft,26150
7-Mar-16,Apple,14429
7-Mar-16,Other,1158
7-Mar-16,Opera,723
7-Mar-16,UC Web,618
7-Mar-16,Yandex,299
7-Mar-16,BlackBerry,69
7-Mar-16,Amazon,48
8-Mar-16,Google,142318
8-Mar-16,Mozilla,79179
8-Mar-16,Microsoft,29237
8-Mar-16,Apple,16688
8-Mar-16,Other,1291
8-Mar-16,Opera,714
8-Mar-16,UC Web,473
8-Mar-16,Yandex,330
8-Mar-16,BlackBerry,87
8-Mar-16,Amazon,56
9-Mar-16,Google,140199
9-Mar-16,Mozilla,79210
9-Mar-16,Microsoft,27441
9-Mar-16,Apple,16659
9-Mar-16,Other,1284
9-Mar-16,Opera,671
9-Mar-16,UC Web,454
9-Mar-16,Yandex,310
9-Mar-16,BlackBerry,86
9-Mar-16,Amazon,41
10-Mar-16,Google,139992
10-Mar-16,Mozilla,80795
10-Mar-16,Microsoft,27393
10-Mar-16,Apple,15961
10-Mar-16,Other,1128
10-Mar-16,Opera,709
10-Mar-16,UC Web,394
10-Mar-16,Yandex,337
10-Mar-16,BlackBerry,74
10-Mar-16,Amazon,49
11-Mar-16,Google,113040
11-Mar-16,Mozilla,64797
11-Mar-16,Microsoft,20133
11-Mar-16,Apple,12609
11-Mar-16,Other,1080
11-Mar-16,Opera,596
11-Mar-16,UC Web,380
11-Mar-16,Yandex,296
11-Mar-16,BlackBerry,65
11-Mar-16,Amazon,39
12-Mar-16,Google,49575
12-Mar-16,Mozilla,23155
12-Mar-16,Apple,9060
12-Mar-16,Microsoft,5356
12-Mar-16,Other,795
12-Mar-16,Opera,512
12-Mar-16,UC Web,372
12-Mar-16,Yandex,364
12-Mar-16,Amazon,49
12-Mar-16,BlackBerry,41
13-Mar-16,Google,55377
13-Mar-16,Mozilla,25654
13-Mar-16,Apple,9492
13-Mar-16,Microsoft,7740
13-Mar-16,Other,874
13-Mar-16,Opera,547
13-Mar-16,UC Web,369
13-Mar-16,Yandex,353
13-Mar-16,Amazon,83
13-Mar-16,BlackBerry,45
14-Mar-16,Google,136594
14-Mar-16,Mozilla,76466
14-Mar-16,Microsoft,25966
14-Mar-16,Apple,14209
14-Mar-16,Other,1255
14-Mar-16,Opera,663
14-Mar-16,UC Web,401
14-Mar-16,Yandex,365
14-Mar-16,Amazon,89
14-Mar-16,BlackBerry,71
15-Mar-16,Google,139636
15-Mar-16,Mozilla,78285
15-Mar-16,Microsoft,26730
15-Mar-16,Apple,15401
15-Mar-16,Other,1279
15-Mar-16,Opera,624
15-Mar-16,Yandex,416
15-Mar-16,UC Web,347
15-Mar-16,Amazon,84
15-Mar-16,BlackBerry,79
16-Mar-16,Google,140155
16-Mar-16,Mozilla,78800
16-Mar-16,Microsoft,26892
16-Mar-16,Apple,16161
16-Mar-16,Other,1257
16-Mar-16,Opera,647
16-Mar-16,UC Web,429
16-Mar-16,Yandex,312
16-Mar-16,BlackBerry,75
16-Mar-16,Amazon,71
17-Mar-16,Google,137247
17-Mar-16,Mozilla,74874
17-Mar-16,Microsoft,25247
17-Mar-16,Apple,14767
17-Mar-16,Other,1238
17-Mar-16,Opera,624
17-Mar-16,UC Web,374
17-Mar-16,Yandex,324
17-Mar-16,Amazon,80
17-Mar-16,BlackBerry,76
18-Mar-16,Google,116287
18-Mar-16,Mozilla,63932
18-Mar-16,Microsoft,20242
18-Mar-16,Apple,14432
18-Mar-16,Other,1188
18-Mar-16,Opera,592
18-Mar-16,UC Web,369
18-Mar-16,Yandex,245
18-Mar-16,Amazon,104
18-Mar-16,BlackBerry,73
19-Mar-16,Google,49164
19-Mar-16,Mozilla,23561
19-Mar-16,Apple,9949
19-Mar-16,Microsoft,4841
19-Mar-16,Other,905
19-Mar-16,Opera,468
19-Mar-16,UC Web,316
19-Mar-16,Yandex,241
19-Mar-16,Amazon,104
19-Mar-16,BlackBerry,56
20-Mar-16,Google,50846
20-Mar-16,Mozilla,23833
20-Mar-16,Apple,8992
20-Mar-16,Microsoft,5854
20-Mar-16,Other,809
20-Mar-16,Opera,485
20-Mar-16,UC Web,349
20-Mar-16,Yandex,260
20-Mar-16,Amazon,101
20-Mar-16,BlackBerry,41
21-Mar-16,Google,123677
21-Mar-16,Mozilla,70699
21-Mar-16,Microsoft,21086
21-Mar-16,Apple,12807
