Date,Device,Visits
19-Feb-16,Desktop,199948
19-Feb-16,Mobile,13529
19-Feb-16,Tablet,3350
20-Feb-16,Desktop,75807
20-Feb-16,Mobile,10782
20-Feb-16,Tablet,3814
21-Feb-16,Desktop,94293
21-Feb-16,Mobile,13906
21-Feb-16,Tablet,4010
22-Feb-16,Desktop,237396
22-Feb-16,Mobile,15547
22-Feb-16,Tablet,3786
23-Feb-16,Desktop,241507
23-Feb-16,Mobile,16319
23-Feb-16,Tablet,3992
24-Feb-16,Desktop,238790
24-Feb-16,Mobile,17212
24-Feb-16,Tablet,4217
25-Feb-16,Desktop,228433
25-Feb-16,Mobile,15816
25-Feb-16,Tablet,3658
26-Feb-16,Desktop,197188
26-Feb-16,Mobile,17883
26-Feb-16,Tablet,3843
27-Feb-16,Desktop,72413
27-Feb-16,Mobile,12920
27-Feb-16,Tablet,3894
28-Feb-16,Desktop,86373
28-Feb-16,Mobile,11648
28-Feb-16,Tablet,3991
29-Feb-16,Desktop,235611
29-Feb-16,Mobile,18121
29-Feb-16,Tablet,4386
1-Mar-16,Desktop,274180
1-Mar-16,Mobile,27668
1-Mar-16,Tablet,5734
2-Mar-16,Desktop,259855
2-Mar-16,Mobile,18326
2-Mar-16,Tablet,4422
3-Mar-16,Desktop,243058
3-Mar-16,Mobile,17416
3-Mar-16,Tablet,4040
4-Mar-16,Desktop,204449
4-Mar-16,Mobile,19225
4-Mar-16,Tablet,4071
5-Mar-16,Desktop,77374
5-Mar-16,Mobile,14800
5-Mar-16,Tablet,4138
6-Mar-16,Desktop,91930
6-Mar-16,Mobile,13343
6-Mar-16,Tablet,4156
7-Mar-16,Desktop,232861
7-Mar-16,Mobile,15289
7-Mar-16,Tablet,3577
8-Mar-16,Desktop,248438
8-Mar-16,Mobile,17847
8-Mar-16,Tablet,4157
9-Mar-16,Desktop,245028
9-Mar-16,Mobile,17345
9-Mar-16,Tablet,4052
10-Mar-16,Desktop,245197
10-Mar-16,Mobile,17447
10-Mar-16,Tablet,4272
11-Mar-16,Desktop,195562
11-Mar-16,Mobile,14230
11-Mar-16,Tablet,3323
12-Mar-16,Desktop,73867
12-Mar-16,Mobile,11971
12-Mar-16,Tablet,3480
13-Mar-16,Desktop,84535
13-Mar-16,Mobile,12492
13-Mar-16,Tablet,3550
14-Mar-16,Desktop,236739
14-Mar-16,Mobile,15902
14-Mar-16,Tablet,3531
15-Mar-16,Desktop,241721
15-Mar-16,Mobile,17269
15-Mar-16,Tablet,3964
16-Mar-16,Desktop,242195
16-Mar-16,Mobile,18537
16-Mar-16,Tablet,4143
17-Mar-16,Desktop,235069
17-Mar-16,Mobile,15903
17-Mar-16,Tablet,3943
18-Mar-16,Desktop,195815
18-Mar-16,Mobile,17947
18-Mar-16,Tablet,3797
19-Mar-16,Desktop,72200
19-Mar-16,Mobile,13929
19-Mar-16,Tablet,3525
20-Mar-16,Desktop,77511
20-Mar-16,Mobile,11083
20-Mar-16,Tablet,3161
21-Mar-16,Desktop,215312
21-Mar-16,Mobile,12779
21-Mar-16,Tablet,2700
22-Mar-16,Desktop,232765
22-Mar-16,Mobile,16279
22-Mar-16,Tablet,3008
23-Mar-16,Desktop,223781
23-Mar-16,Mobile,17885
23-Mar-16,Tablet,3245
24-Mar-16,Desktop,215491
24-Mar-16,Mobile,20035
24-Mar-16,Tablet,3758
25-Mar-16,Desktop,127112
25-Mar-16,Mobile,13426
25-Mar-16,Tablet,2908
26-Mar-16,Desktop,62850
26-Mar-16,Mobile,10089
26-Mar-16,Tablet,2775
27-Mar-16,Desktop,69890
27-Mar-16,Mobile,9783
27-Mar-16,Tablet,2700
28-Mar-16,Desktop,178658
28-Mar-16,Mobile,15390
28-Mar-16,Tablet,3152
29-Mar-16,Desktop,230932
29-Mar-16,Mobile,18595
29-Mar-16,Tablet,3360
30-Mar-16,Desktop,226212
30-Mar-16,Mobile,16479
30-Mar-16,Tablet,2965
31-Mar-16,Desktop,218889
31-Mar-16,Mobile,17345
31-Mar-16,Tablet,3057
1-Apr-16,Desktop,230625
1-Apr-16,Mobile,27910
1-Apr-16,Tablet,4748
2-Apr-16,Desktop,96874
2-Apr-16,Mobile,17275
2-Apr-16,Tablet,3673
3-Apr-16,Desktop,98177
3-Apr-16,Mobile,13065
3-Apr-16,Tablet,3102
4-Apr-16,Desktop,246362
4-Apr-16,Mobile,15358
4-Apr-16,Tablet,2875
5-Apr-16,Desktop,249209
5-Apr-16,Mobile,15859
5-Apr-16,Tablet,2824
6-Apr-16,Desktop,242091
6-Apr-16,Mobile,17863
6-Apr-16,Tablet,2989
7-Apr-16,Desktop,229564
7-Apr-16,Mobile,15901
7-Apr-16,Tablet,2690
8-Apr-16,Desktop,183600
8-Apr-16,Mobile,13902
8-Apr-16,Tablet,2559
9-Apr-16,Desktop,70171
9-Apr-16,Mobile,11888
9-Apr-16,Tablet,2733
10-Apr-16,Desktop,82964
10-Apr-16,Mobile,12180
10-Apr-16,Tablet,2769
11-Apr-16,Desktop,231728
11-Apr-16,Mobile,14163
11-Apr-16,Tablet,2503
12-Apr-16,Desktop,241837
12-Apr-16,Mobile,16559
12-Apr-16,Tablet,2803
13-Apr-16,Desktop,237832
13-Apr-16,Mobile,16044
13-Apr-16,Tablet,2750
14-Apr-16,Desktop,228348
14-Apr-16,Mobile,15219
14-Apr-16,Tablet,2651
15-Apr-16,Desktop,187328
15-Apr-16,Mobile,13447
15-Apr-16,Tablet,2440
16-Apr-16,Desktop,67835
16-Apr-16,Mobile,12010
16-Apr-16,Tablet,2710
17-Apr-16,Desktop,79823
17-Apr-16,Mobile,11806
17-Apr-16,Tablet,2704
18-Apr-16,Desktop,231516
18-Apr-16,Mobile,14436
18-Apr-16,Tablet,2601
19-Apr-16,Desktop,245121
19-Apr-16,Mobile,18075
19-Apr-16,Tablet,3120
20-Apr-16,Desktop,236167
20-Apr-16,Mobile,17193
20-Apr-16,Tablet,2926
21-Apr-16,Desktop,227767
21-Apr-16,Mobile,15408
21-Apr-16,Tablet,2765
22-Apr-16,Desktop,192346
22-Apr-16,Mobile,13322
22-Apr-16,Tablet,2520
23-Apr-16,Desktop,75119
