Date,Browser,Visits
19-Feb-16,Microsoft Internet Explorer 11,17055
19-Feb-16,Microsoft Internet Explorer 9,1511
19-Feb-16,Microsoft Internet Explorer 10,1125
19-Feb-16,Microsoft Internet Explorer 8,566
19-Feb-16,Internet Explorer Mobile 11.0,171
19-Feb-16,Microsoft Internet Explorer (unknown version),15
19-Feb-16,Internet Explorer 11.0,11
19-Feb-16,Microsoft Internet Explorer 6.0,10
19-Feb-16,Microsoft Internet Explorer 7.0,8
19-Feb-16,Internet Explorer Mobile 10.0,2
19-Feb-16,Microsoft MSN Explorer,2
19-Feb-16,Microsoft MSN Explorer 9.0,1
20-Feb-16,Microsoft Internet Explorer 11,3507
20-Feb-16,Microsoft Internet Explorer 9,646
20-Feb-16,Microsoft Internet Explorer 10,260
20-Feb-16,Microsoft Internet Explorer 8,212
20-Feb-16,Internet Explorer Mobile 11.0,142
20-Feb-16,Internet Explorer 11.0,14
20-Feb-16,Microsoft Internet Explorer 6.0,9
20-Feb-16,Microsoft Internet Explorer 7.0,4
20-Feb-16,Microsoft Internet Explorer (unknown version),2
20-Feb-16,Internet Explorer Mobile 10.0,1
20-Feb-16,Internet Explorer Mobile 7.0,1
20-Feb-16,Microsoft MSN Explorer,1
21-Feb-16,Microsoft Internet Explorer 11,6829
21-Feb-16,Microsoft Internet Explorer 9,1191
21-Feb-16,Microsoft Internet Explorer 10,403
21-Feb-16,Microsoft Internet Explorer 8,295
21-Feb-16,Internet Explorer Mobile 11.0,167
21-Feb-16,Internet Explorer 11.0,18
21-Feb-16,Microsoft Internet Explorer 6.0,10
21-Feb-16,Microsoft Internet Explorer 7.0,4
21-Feb-16,Internet Explorer Mobile 10.0,3
21-Feb-16,Internet Explorer Mobile 9.0,2
21-Feb-16,Microsoft Internet Explorer 7.0 beta,2
21-Feb-16,Microsoft MSN Explorer,2
21-Feb-16,Internet Explorer Mobile 7.0,1
21-Feb-16,Microsoft Internet Explorer (unknown version),1
22-Feb-16,Microsoft Internet Explorer 11,22259
22-Feb-16,Microsoft Internet Explorer 9,1816
22-Feb-16,Microsoft Internet Explorer 10,1360
22-Feb-16,Microsoft Internet Explorer 8,858
22-Feb-16,Internet Explorer Mobile 11.0,186
22-Feb-16,Internet Explorer 11.0,19
22-Feb-16,Microsoft Internet Explorer 7.0,18
22-Feb-16,Microsoft Internet Explorer 6.0,15
22-Feb-16,Microsoft Internet Explorer (unknown version),9
22-Feb-16,Internet Explorer Mobile 10.0,5
22-Feb-16,Internet Explorer Mobile 9.0,5
22-Feb-16,Microsoft MSN Explorer,2
22-Feb-16,Internet Explorer 10.0,1
22-Feb-16,Microsoft Internet Explorer 5.5,1
23-Feb-16,Microsoft Internet Explorer 11,22346
23-Feb-16,Microsoft Internet Explorer 9,1546
23-Feb-16,Microsoft Internet Explorer 10,1354
23-Feb-16,Microsoft Internet Explorer 8,910
23-Feb-16,Internet Explorer Mobile 11.0,210
23-Feb-16,Microsoft Internet Explorer (unknown version),64
23-Feb-16,Internet Explorer 11.0,27
23-Feb-16,Microsoft Internet Explorer 6.0,20
23-Feb-16,Microsoft Internet Explorer 7.0,8
23-Feb-16,Microsoft Internet Explorer 5.5,5
23-Feb-16,Microsoft MSN Explorer,3
23-Feb-16,Internet Explorer Mobile 10.0,2
24-Feb-16,Microsoft Internet Explorer 11,21141
24-Feb-16,Microsoft Internet Explorer 10,1431
24-Feb-16,Microsoft Internet Explorer 9,1367
24-Feb-16,Microsoft Internet Explorer 8,802
24-Feb-16,Internet Explorer Mobile 11.0,174
24-Feb-16,Microsoft Internet Explorer (unknown version),84
24-Feb-16,Internet Explorer 11.0,20
24-Feb-16,Microsoft Internet Explorer 6.0,14
24-Feb-16,Microsoft Internet Explorer 7.0,10
24-Feb-16,Microsoft MSN Explorer,6
24-Feb-16,Internet Explorer Mobile 10.0,3
24-Feb-16,Internet Explorer Mobile 9.0,2
25-Feb-16,Microsoft Internet Explorer 11,20744
25-Feb-16,Microsoft Internet Explorer 9,1396
25-Feb-16,Microsoft Internet Explorer 10,1276
25-Feb-16,Microsoft Internet Explorer 8,731
25-Feb-16,Internet Explorer Mobile 11.0,180
25-Feb-16,Microsoft Internet Explorer (unknown version),33
25-Feb-16,Microsoft Internet Explorer 6.0,21
25-Feb-16,Internet Explorer 11.0,17
25-Feb-16,Microsoft Internet Explorer 7.0,17
25-Feb-16,Microsoft MSN Explorer,6
25-Feb-16,Internet Explorer Mobile 10.0,3
25-Feb-16,Internet Explorer Mobile 9.0,1
25-Feb-16,Internet Explorer 10.0,1
25-Feb-16,Microsoft MSN Explorer 9.0,1
26-Feb-16,Microsoft Internet Explorer 11,15279
26-Feb-16,Microsoft Internet Explorer 9,1122
26-Feb-16,Microsoft Internet Explorer 10,1010
26-Feb-16,Microsoft Internet Explorer 8,522
26-Feb-16,Internet Explorer Mobile 11.0,207
26-Feb-16,Microsoft Internet Explorer (unknown version),36
26-Feb-16,Internet Explorer 11.0,9
26-Feb-16,Microsoft Internet Explorer 6.0,8
26-Feb-16,Microsoft Internet Explorer 7.0,6
26-Feb-16,Internet Explorer Mobile 10.0,5
26-Feb-16,Microsoft MSN Explorer,2
26-Feb-16,Internet Explorer Mobile 9.0,1
26-Feb-16,Microsoft Internet Explorer 7.0 beta,1
26-Feb-16,Microsoft Internet Explorer 5.0,1
27-Feb-16,Microsoft Internet Explorer 11,3073
27-Feb-16,Microsoft Internet Explorer 9,433
27-Feb-16,Microsoft Internet Explorer 10,243
27-Feb-16,Microsoft Internet Explorer 8,197
27-Feb-16,Internet Explorer Mobile 11.0,151
27-Feb-16,Internet Explorer 11.0,19
27-Feb-16,Microsoft Internet Explorer 7.0,11
27-Feb-16,Microsoft Internet Explorer 6.0,11
27-Feb-16,Microsoft Internet Explorer (unknown version),5
27-Feb-16,Internet Explorer Mobile 10.0,3
27-Feb-16,Internet Explorer Mobile 9.0,3
27-Feb-16,Microsoft MSN Explorer,2
28-Feb-16,Microsoft Internet Explorer 11,5793
28-Feb-16,Microsoft Internet Explorer 9,559
28-Feb-16,Microsoft Internet Explorer 10,344
28-Feb-16,Microsoft Internet Explorer 8,241
28-Feb-16,Internet Explorer Mobile 11.0,137
28-Feb-16,Internet Explorer 11.0,16
28-Feb-16,Microsoft Internet Explorer 6.0,10
28-Feb-16,Microsoft Internet Explorer 7.0,6
28-Feb-16,Microsoft Internet Explorer (unknown version),4
28-Feb-16,Microsoft MSN Explorer,2
28-Feb-16,Internet Explorer Mobile 10.0,1
28-Feb-16,Internet Explorer 10.0,1
28-Feb-16,Microsoft MSN Explorer 9.0,1
29-Feb-16,Microsoft Internet Explorer 11,19835
29-Feb-16,Microsoft Internet Explorer 10,1181
29-Feb-16,Microsoft Internet Explorer 9,1180
29-Feb-16,Microsoft Internet Explorer 8,722
29-Feb-16,Internet Explorer Mobile 11.0,223
29-Feb-16,Microsoft Internet Explorer (unknown version),16
29-Feb-16,Internet Explorer 11.0,12
29-Feb-16,Microsoft Internet Explorer 7.0,11
29-Feb-16,Microsoft Internet Explorer 6.0,4
29-Feb-16,Microsoft MSN Explorer,4
