Date,OS,Visits
19-Feb-16,Microsoft Windows,137913
19-Feb-16,GNU/Linux,37530
19-Feb-16,Apple Macintosh,24131
19-Feb-16,Google Android,9357
19-Feb-16,Apple iOS,7114
19-Feb-16,Microsoft Windows Phone/Mobile,232
19-Feb-16,Chrome OS,197
19-Feb-16,Nokia,98
19-Feb-16,UNIX,93
19-Feb-16,Other,88
20-Feb-16,Microsoft Windows,48863
20-Feb-16,GNU/Linux,15996
20-Feb-16,Apple Macintosh,10635
20-Feb-16,Google Android,8003
20-Feb-16,Apple iOS,6264
20-Feb-16,Microsoft Windows Phone/Mobile,187
20-Feb-16,Chrome OS,181
20-Feb-16,Other,97
20-Feb-16,Nokia,89
20-Feb-16,Blackberry,54
21-Feb-16,Microsoft Windows,63213
21-Feb-16,GNU/Linux,18055
21-Feb-16,Apple Macintosh,12719
21-Feb-16,Google Android,10479
21-Feb-16,Apple iOS,6971
21-Feb-16,Microsoft Windows Phone/Mobile,250
21-Feb-16,Chrome OS,191
21-Feb-16,Nokia,127
21-Feb-16,Other,100
21-Feb-16,Blackberry,62
22-Feb-16,Microsoft Windows,165985
22-Feb-16,GNU/Linux,42537
22-Feb-16,Apple Macintosh,28459
22-Feb-16,Google Android,10151
22-Feb-16,Apple iOS,8751
22-Feb-16,Microsoft Windows Phone/Mobile,259
22-Feb-16,Chrome OS,211
22-Feb-16,Other,127
22-Feb-16,Nokia,105
22-Feb-16,UNIX,92
23-Feb-16,Microsoft Windows,169623
23-Feb-16,GNU/Linux,42899
23-Feb-16,Apple Macintosh,28519
23-Feb-16,Google Android,10772
23-Feb-16,Apple iOS,9028
23-Feb-16,Microsoft Windows Phone/Mobile,313
23-Feb-16,Chrome OS,257
23-Feb-16,Other,128
23-Feb-16,UNIX,101
23-Feb-16,Nokia,100
24-Feb-16,Microsoft Windows,166200
24-Feb-16,GNU/Linux,43263
24-Feb-16,Apple Macintosh,28848
24-Feb-16,Google Android,11864
24-Feb-16,Apple iOS,9086
24-Feb-16,Microsoft Windows Phone/Mobile,264
24-Feb-16,Chrome OS,245
24-Feb-16,Other,128
24-Feb-16,UNIX,120
24-Feb-16,Blackberry,104
25-Feb-16,Microsoft Windows,160234
25-Feb-16,GNU/Linux,40942
25-Feb-16,Apple Macintosh,26830
25-Feb-16,Google Android,10850
25-Feb-16,Apple iOS,8136
25-Feb-16,Microsoft Windows Phone/Mobile,259
25-Feb-16,Chrome OS,223
25-Feb-16,Other,129
25-Feb-16,Blackberry,96
25-Feb-16,UNIX,94
26-Feb-16,Microsoft Windows,134034
26-Feb-16,GNU/Linux,37605
26-Feb-16,Apple Macintosh,25045
26-Feb-16,Google Android,12627
26-Feb-16,Apple iOS,8549
26-Feb-16,Microsoft Windows Phone/Mobile,360
26-Feb-16,Chrome OS,272
26-Feb-16,Other,144
26-Feb-16,UNIX,108
26-Feb-16,Nokia,91
27-Feb-16,Microsoft Windows,46524
27-Feb-16,GNU/Linux,15300
27-Feb-16,Apple Macintosh,10273
27-Feb-16,Google Android,9801
27-Feb-16,Apple iOS,6589
27-Feb-16,Microsoft Windows Phone/Mobile,260
27-Feb-16,Chrome OS,188
27-Feb-16,Other,100
27-Feb-16,Nokia,90
27-Feb-16,Blackberry,57
28-Feb-16,Microsoft Windows,58173
28-Feb-16,GNU/Linux,16339
28-Feb-16,Apple Macintosh,11563
28-Feb-16,Google Android,9015
28-Feb-16,Apple iOS,6248
28-Feb-16,Chrome OS,198
28-Feb-16,Microsoft Windows Phone/Mobile,188
28-Feb-16,Nokia,107
28-Feb-16,Other,74
28-Feb-16,Blackberry,55
29-Feb-16,Microsoft Windows,162532
29-Feb-16,GNU/Linux,43639
29-Feb-16,Apple Macintosh,28923
29-Feb-16,Google Android,12636
29-Feb-16,Apple iOS,9333
29-Feb-16,Microsoft Windows Phone/Mobile,321
29-Feb-16,Chrome OS,294
29-Feb-16,Other,131
29-Feb-16,UNIX,109
29-Feb-16,Nokia,101
1-Mar-16,Microsoft Windows,185578
1-Mar-16,GNU/Linux,49618
1-Mar-16,Apple Macintosh,38404
1-Mar-16,Google Android,18587
1-Mar-16,Apple iOS,13998
1-Mar-16,Microsoft Windows Phone/Mobile,510
1-Mar-16,Chrome OS,314
1-Mar-16,Blackberry,162
1-Mar-16,Other,150
1-Mar-16,UNIX,133
2-Mar-16,Microsoft Windows,183224
2-Mar-16,GNU/Linux,45632
2-Mar-16,Apple Macintosh,30510
2-Mar-16,Google Android,12764
2-Mar-16,Apple iOS,9477
2-Mar-16,Microsoft Windows Phone/Mobile,307
2-Mar-16,Chrome OS,260
2-Mar-16,Other,130
2-Mar-16,UNIX,114
2-Mar-16,Nokia,101
3-Mar-16,Microsoft Windows,171589
3-Mar-16,GNU/Linux,43104
3-Mar-16,Apple Macintosh,27918
3-Mar-16,Google Android,12385
3-Mar-16,Apple iOS,8569
3-Mar-16,Microsoft Windows Phone/Mobile,279
3-Mar-16,Chrome OS,220
3-Mar-16,Other,135
3-Mar-16,Nokia,109
3-Mar-16,UNIX,107
4-Mar-16,Microsoft Windows,140141
4-Mar-16,GNU/Linux,38100
4-Mar-16,Apple Macintosh,25737
4-Mar-16,Google Android,13726
4-Mar-16,Apple iOS,8952
4-Mar-16,Microsoft Windows Phone/Mobile,365
4-Mar-16,Chrome OS,252
4-Mar-16,Other,118
4-Mar-16,Nokia,117
4-Mar-16,Blackberry,117
5-Mar-16,Microsoft Windows,50188
5-Mar-16,GNU/Linux,16155
5-Mar-16,Google Android,11362
5-Mar-16,Apple Macintosh,10721
5-Mar-16,Apple iOS,7090
5-Mar-16,Microsoft Windows Phone/Mobile,290
5-Mar-16,Chrome OS,195
5-Mar-16,Nokia,104
5-Mar-16,Other,86
5-Mar-16,Blackberry,62
6-Mar-16,Microsoft Windows,62150
6-Mar-16,GNU/Linux,17375
6-Mar-16,Apple Macintosh,12058
6-Mar-16,Google Android,10214
6-Mar-16,Apple iOS,6825
6-Mar-16,Microsoft Windows Phone/Mobile,221
6-Mar-16,Chrome OS,183
6-Mar-16,Nokia,151
6-Mar-16,Other,126
6-Mar-16,Blackberry,73
7-Mar-16,Microsoft Windows,163567
7-Mar-16,GNU/Linux,40980
7-Mar-16,Apple Macintosh,27869
7-Mar-16,Google Android,10863
7-Mar-16,Apple iOS,7481
7-Mar-16,Microsoft Windows Phone/Mobile,279
7-Mar-16,Chrome OS,255
7-Mar-16,Nokia,115
7-Mar-16,Other,114
7-Mar-16,Blackberry,87
8-Mar-16,Microsoft Windows,175460
8-Mar-16,GNU/Linux,42915
8-Mar-16,Apple Macintosh,29603
8-Mar-16,Google Android,12243
8-Mar-16,Apple iOS,9190
8-Mar-16,Microsoft Windows Phone/Mobile,322
8-Mar-16,Chrome OS,254
8-Mar-16,Other,114
8-Mar-16,UNIX,107
8-Mar-16,Nokia,104
9-Mar-16,Microsoft Windows,171630
9-Mar-16,GNU/Linux,44438
9-Mar-16,Apple Macintosh,28536
9-Mar-16,Google Android,11533
9-Mar-16,Apple iOS,9344
9-Mar-16,Microsoft Windows Phone/Mobile,297
9-Mar-16,Chrome OS,223
9-Mar-16,UNIX,107
9-Mar-16,Other,105
9-Mar-16,Blackberry,100
10-Mar-16,Microsoft Windows,171438
10-Mar-16,GNU/Linux,45222
10-Mar-16,Apple Macintosh,28065
10-Mar-16,Google Android,12137
10-Mar-16,Apple iOS,9094
10-Mar-16,Microsoft Windows Phone/Mobile,275
10-Mar-16,Chrome OS,266
10-Mar-16,Other,118
10-Mar-16,Nokia,105
10-Mar-16,UNIX,100
11-Mar-16,Microsoft Windows,134991
11-Mar-16,GNU/Linux,37082
11-Mar-16,Apple Macintosh,23095
11-Mar-16,Google Android,10154
11-Mar-16,Apple iOS,6959
11-Mar-16,Microsoft Windows Phone/Mobile,236
11-Mar-16,Chrome OS,197
11-Mar-16,Other,118
11-Mar-16,Nokia,101
11-Mar-16,UNIX,92
12-Mar-16,Microsoft Windows,47782
12-Mar-16,GNU/Linux,15582
12-Mar-16,Apple Macintosh,10253
12-Mar-16,Google Android,8901
12-Mar-16,Apple iOS,6175
12-Mar-16,Microsoft Windows Phone/Mobile,203
12-Mar-16,Chrome OS,154
12-Mar-16,Nokia,102
12-Mar-16,Other,89
12-Mar-16,Blackberry,55
13-Mar-16,Microsoft Windows,56906
13-Mar-16,GNU/Linux,16061
13-Mar-16,Apple Macintosh,11278
13-Mar-16,Google Android,9454
13-Mar-16,Apple iOS,6244
13-Mar-16,Microsoft Windows Phone/Mobile,196
13-Mar-16,Chrome OS,193
13-Mar-16,Nokia,80
13-Mar-16,Other,79
13-Mar-16,Blackberry,61
14-Mar-16,Microsoft Windows,165275
14-Mar-16,GNU/Linux,43805
14-Mar-16,Apple Macintosh,27202
14-Mar-16,Google Android,11468
14-Mar-16,Apple iOS,7563
14-Mar-16,Chrome OS,263
14-Mar-16,Microsoft Windows Phone/Mobile,208
14-Mar-16,Other,123
14-Mar-16,Nokia,106
14-Mar-16,UNIX,83
15-Mar-16,Microsoft Windows,169926
15-Mar-16,GNU/Linux,43997
15-Mar-16,Apple Macintosh,27388
15-Mar-16,Google Android,12060
15-Mar-16,Apple iOS,8708
15-Mar-16,Microsoft Windows Phone/Mobile,251
15-Mar-16,Chrome OS,224
15-Mar-16,Other,111
15-Mar-16,Nokia,102
15-Mar-16,Blackberry,89
16-Mar-16,Microsoft Windows,170441
16-Mar-16,GNU/Linux,43754
16-Mar-16,Apple Macintosh,27562
16-Mar-16,Google Android,12757
16-Mar-16,Apple iOS,9421
16-Mar-16,Microsoft Windows Phone/Mobile,283
16-Mar-16,Chrome OS,236
16-Mar-16,Nokia,117
16-Mar-16,Other,109
16-Mar-16,UNIX,106
17-Mar-16,Microsoft Windows,164021
17-Mar-16,GNU/Linux,41897
17-Mar-16,Apple Macintosh,28723
17-Mar-16,Google Android,11299
17-Mar-16,Apple iOS,8105
17-Mar-16,Microsoft Windows Phone/Mobile,237
17-Mar-16,Chrome OS,224
17-Mar-16,Other,119
17-Mar-16,UNIX,99
17-Mar-16,Nokia,98
18-Mar-16,Microsoft Windows,135084
18-Mar-16,GNU/Linux,36624
18-Mar-16,Apple Macintosh,23664
18-Mar-16,Google Android,12468
18-Mar-16,Apple iOS,8703
18-Mar-16,Microsoft Windows Phone/Mobile,388
18-Mar-16,Chrome OS,232
18-Mar-16,Other,137
18-Mar-16,UNIX,97
18-Mar-16,Nokia,86
19-Mar-16,Microsoft Windows,45315
19-Mar-16,GNU/Linux,15759
19-Mar-16,Apple Macintosh,10814
19-Mar-16,Google Android,9867
19-Mar-16,Apple iOS,7135
19-Mar-16,Microsoft Windows Phone/Mobile,279
19-Mar-16,Chrome OS,188
19-Mar-16,Other,98
19-Mar-16,Nokia,81
19-Mar-16,Blackberry,64
20-Mar-16,Microsoft Windows,49530
20-Mar-16,GNU/Linux,16182
20-Mar-16,Apple Macintosh,11526
20-Mar-16,Google Android,8069
20-Mar-16,Apple iOS,5807
20-Mar-16,Microsoft Windows Phone/Mobile,194
20-Mar-16,Chrome OS,166
20-Mar-16,Nokia,106
20-Mar-16,Other,83
20-Mar-16,Blackberry,44
21-Mar-16,Microsoft Windows,147327
21-Mar-16,GNU/Linux,40978
21-Mar-16,Apple Macintosh,26635
21-Mar-16,Google Android,8814
21-Mar-16,Apple iOS,6267
21-Mar-16,Microsoft Windows Phone/Mobile,214
21-Mar-16,Chrome OS,194
21-Mar-16,Nokia,100
21-Mar-16,Other,92
21-Mar-16,UNIX,91
22-Mar-16,Microsoft Windows,162230
22-Mar-16,GNU/Linux,41675
22-Mar-16,Apple Macintosh,28484
22-Mar-16,Google Android,10494
22-Mar-16,Apple iOS,8303
22-Mar-16,Microsoft Windows Phone/Mobile,270
22-Mar-16,Chrome OS,198
22-Mar-16,Blackberry,104
22-Mar-16,Other,103
22-Mar-16,Nokia,83
23-Mar-16,Microsoft Windows,154708
23-Mar-16,GNU/Linux,40199
23-Mar-16,Apple Macintosh,28449
23-Mar-16,Google Android,10815
23-Mar-16,Apple iOS,9845
23-Mar-16,Microsoft Windows Phone/Mobile,249
23-Mar-16,Chrome OS,240
23-Mar-16,Blackberry,108
23-Mar-16,Other,107
23-Mar-16,UNIX,90
24-Mar-16,Microsoft Windows,136781
24-Mar-16,GNU/Linux,53281
24-Mar-16,Apple Macintosh,25020
24-Mar-16,Google Android,12410
24-Mar-16,Apple iOS,10923
24-Mar-16,Microsoft Windows Phone/Mobile,256
24-Mar-16,Chrome OS,219
24-Mar-16,Other,134
24-Mar-16,Blackberry,95
24-Mar-16,UNIX,83
25-Mar-16,Microsoft Windows,85357
25-Mar-16,GNU/Linux,23928
25-Mar-16,Apple Macintosh,17518
25-Mar-16,Google Android,9061
25-Mar-16,Apple iOS,6863
25-Mar-16,Microsoft Windows Phone/Mobile,230
25-Mar-16,Chrome OS,180
25-Mar-16,Other,99
25-Mar-16,Nokia,96
25-Mar-16,Blackberry,64
26-Mar-16,Microsoft Windows,39660
26-Mar-16,GNU/Linux,13578
26-Mar-16,Apple Macintosh,9389
26-Mar-16,Google Android,7205
26-Mar-16,Apple iOS,5309
26-Mar-16,Microsoft Windows Phone/Mobile,193
26-Mar-16,Chrome OS,128
26-Mar-16,Nokia,90
26-Mar-16,Other,79
26-Mar-16,Blackberry,42
27-Mar-16,Microsoft Windows,46432
27-Mar-16,GNU/Linux,13364
27-Mar-16,Apple Macintosh,9849
27-Mar-16,Google Android,6914
27-Mar-16,Apple iOS,5268
27-Mar-16,Microsoft Windows Phone/Mobile,141
27-Mar-16,Chrome OS,137
27-Mar-16,Nokia,89
27-Mar-16,Other,78
27-Mar-16,Blackberry,42
28-Mar-16,Microsoft Windows,124288
28-Mar-16,GNU/Linux,31098
28-Mar-16,Apple Macintosh,22902
28-Mar-16,Google Android,10064
28-Mar-16,Apple iOS,8056
28-Mar-16,Chrome OS,219
28-Mar-16,Microsoft Windows Phone/Mobile,207
28-Mar-16,Nokia,110
28-Mar-16,Other,103
28-Mar-16,Blackberry,69
29-Mar-16,Microsoft Windows,160754
29-Mar-16,GNU/Linux,41229
29-Mar-16,Apple Macintosh,28508
29-Mar-16,Google Android,11921
29-Mar-16,Apple iOS,9584
29-Mar-16,Microsoft Windows Phone/Mobile,263
29-Mar-16,Chrome OS,214
29-Mar-16,Other,136
29-Mar-16,UNIX,106
29-Mar-16,Blackberry,95
30-Mar-16,Microsoft Windows,157158
30-Mar-16,GNU/Linux,41384
30-Mar-16,Apple Macintosh,27262
30-Mar-16,Google Android,11184
30-Mar-16,Apple iOS,7770
30-Mar-16,Microsoft Windows Phone/Mobile,271
30-Mar-16,Chrome OS,213
30-Mar-16,Other,116
30-Mar-16,Nokia,106
30-Mar-16,UNIX,87
31-Mar-16,Microsoft Windows,151398
31-Mar-16,GNU/Linux,40497
31-Mar-16,Apple Macintosh,26583
31-Mar-16,Google Android,11021
31-Mar-16,Apple iOS,8900
31-Mar-16,Microsoft Windows Phone/Mobile,292
31-Mar-16,Chrome OS,219
