Date,Operating Systems,Visits
19-Feb-16,Windows 7,95199
19-Feb-16,Windows 10,21151
19-Feb-16,Windows 8.1,16127
19-Feb-16,Windows XP,2641
19-Feb-16,Windows 8,1860
19-Feb-16,Windows Vista,770
19-Feb-16,Windows Server 2003 and XP x64 Edition,133
19-Feb-16,Windows NT,19
19-Feb-16,Windows 3.x,8
19-Feb-16,Windows 2000/NT 5,5
20-Feb-16,Windows 7,25049
20-Feb-16,Windows 10,13882
20-Feb-16,Windows 8.1,6459
20-Feb-16,Windows XP,1682
20-Feb-16,Windows 8,1094
20-Feb-16,Windows Vista,604
20-Feb-16,Windows Server 2003 and XP x64 Edition,73
20-Feb-16,Windows NT,10
20-Feb-16,Windows 2000/NT 5,6
20-Feb-16,Windows 3.x,3
21-Feb-16,Windows 7,35278
21-Feb-16,Windows 10,16010
21-Feb-16,Windows 8.1,7954
21-Feb-16,Windows XP,1880
21-Feb-16,Windows 8,1181
21-Feb-16,Windows Vista,823
21-Feb-16,Windows Server 2003 and XP x64 Edition,61
21-Feb-16,Windows NT,19
21-Feb-16,Windows 2000/NT 5,4
21-Feb-16,Windows 3.x,2
22-Feb-16,Windows 7,116556
22-Feb-16,Windows 10,24469
22-Feb-16,Windows 8.1,18691
22-Feb-16,Windows XP,2989
22-Feb-16,Windows 8,2192
22-Feb-16,Windows Vista,899
22-Feb-16,Windows Server 2003 and XP x64 Edition,162
22-Feb-16,Windows NT,17
22-Feb-16,Windows 3.x,6
22-Feb-16,Windows 98,2
23-Feb-16,Windows 7,119585
23-Feb-16,Windows 10,25275
23-Feb-16,Windows 8.1,18601
23-Feb-16,Windows XP,2907
23-Feb-16,Windows 8,2257
23-Feb-16,Windows Vista,743
23-Feb-16,Windows Server 2003 and XP x64 Edition,178
23-Feb-16,Windows 3.x,50
23-Feb-16,Windows NT,19
23-Feb-16,Windows 98,5
24-Feb-16,Windows 7,116120
24-Feb-16,Windows 10,25379
24-Feb-16,Windows 8.1,18442
24-Feb-16,Windows XP,2982
24-Feb-16,Windows 8,2224
24-Feb-16,Windows Vista,750
24-Feb-16,Windows Server 2003 and XP x64 Edition,189
24-Feb-16,Windows 3.x,83
24-Feb-16,Windows NT,27
24-Feb-16,Windows 2000/NT 5,2
25-Feb-16,Windows 7,112461
25-Feb-16,Windows 10,24285
25-Feb-16,Windows 8.1,17780
25-Feb-16,Windows XP,2739
25-Feb-16,Windows 8,2007
25-Feb-16,Windows Vista,734
