Date,Device,Visits
19-Feb-16,Desktop,33615
19-Feb-16,Mobile,852
19-Feb-16,Tablet,217
20-Feb-16,Desktop,9929
20-Feb-16,Mobile,671
20-Feb-16,Tablet,215
21-Feb-16,Desktop,11338
21-Feb-16,Mobile,617
21-Feb-16,Tablet,235
22-Feb-16,Desktop,39974
22-Feb-16,Mobile,853
22-Feb-16,Tablet,234
23-Feb-16,Desktop,41625
23-Feb-16,Mobile,1007
23-Feb-16,Tablet,236
24-Feb-16,Desktop,40248
24-Feb-16,Mobile,930
24-Feb-16,Tablet,277
25-Feb-16,Desktop,39886
25-Feb-16,Mobile,981
25-Feb-16,Tablet,250
26-Feb-16,Desktop,33054
26-Feb-16,Mobile,869
26-Feb-16,Tablet,201
27-Feb-16,Desktop,8841
27-Feb-16,Mobile,667
27-Feb-16,Tablet,226
28-Feb-16,Desktop,10894
28-Feb-16,Mobile,653
28-Feb-16,Tablet,219
29-Feb-16,Desktop,38873
29-Feb-16,Mobile,928
29-Feb-16,Tablet,222
1-Mar-16,Desktop,39719
1-Mar-16,Mobile,1009
1-Mar-16,Tablet,232
2-Mar-16,Desktop,40130
2-Mar-16,Mobile,1033
2-Mar-16,Tablet,235
3-Mar-16,Desktop,39523
3-Mar-16,Mobile,1029
3-Mar-16,Tablet,230
4-Mar-16,Desktop,33279
4-Mar-16,Mobile,892
4-Mar-16,Tablet,227
5-Mar-16,Desktop,9475
5-Mar-16,Mobile,634
5-Mar-16,Tablet,238
6-Mar-16,Desktop,10894
6-Mar-16,Mobile,619
6-Mar-16,Tablet,240
7-Mar-16,Desktop,38302
7-Mar-16,Mobile,900
7-Mar-16,Tablet,217
8-Mar-16,Desktop,39521
8-Mar-16,Mobile,994
8-Mar-16,Tablet,221
9-Mar-16,Desktop,40348
9-Mar-16,Mobile,1004
9-Mar-16,Tablet,221
10-Mar-16,Desktop,39366
10-Mar-16,Mobile,1002
10-Mar-16,Tablet,216
11-Mar-16,Desktop,33218
11-Mar-16,Mobile,832
11-Mar-16,Tablet,190
12-Mar-16,Desktop,9308
12-Mar-16,Mobile,640
12-Mar-16,Tablet,216
13-Mar-16,Desktop,10157
13-Mar-16,Mobile,617
13-Mar-16,Tablet,217
14-Mar-16,Desktop,38997
14-Mar-16,Mobile,981
14-Mar-16,Tablet,192
15-Mar-16,Desktop,39961
15-Mar-16,Mobile,1110
15-Mar-16,Tablet,205
16-Mar-16,Desktop,39761
16-Mar-16,Mobile,1062
16-Mar-16,Tablet,236
17-Mar-16,Desktop,38702
17-Mar-16,Mobile,957
17-Mar-16,Tablet,215
18-Mar-16,Desktop,32692
18-Mar-16,Mobile,860
18-Mar-16,Tablet,211
19-Mar-16,Desktop,8802
19-Mar-16,Mobile,622
19-Mar-16,Tablet,214
20-Mar-16,Desktop,9987
20-Mar-16,Mobile,665
20-Mar-16,Tablet,235
