Date,Browser,Visits
19-Feb-16,Microsoft Internet Explorer 11,1900
19-Feb-16,Microsoft Internet Explorer 9,484
19-Feb-16,Microsoft Internet Explorer 10,154
19-Feb-16,Microsoft Internet Explorer 8,148
19-Feb-16,Internet Explorer Mobile 11.0,20
19-Feb-16,Microsoft Internet Explorer 6.0,2
19-Feb-16,Internet Explorer Mobile 10.0,1
19-Feb-16,Microsoft Internet Explorer 7.0,1
20-Feb-16,Microsoft Internet Explorer 11,369
20-Feb-16,Microsoft Internet Explorer 9,282
20-Feb-16,Microsoft Internet Explorer 8,30
20-Feb-16,Microsoft Internet Explorer 10,21
20-Feb-16,Internet Explorer Mobile 11.0,18
20-Feb-16,Microsoft Internet Explorer 6.0,4
20-Feb-16,Internet Explorer 11.0,1
21-Feb-16,Microsoft Internet Explorer 11,449
21-Feb-16,Microsoft Internet Explorer 9,443
21-Feb-16,Microsoft Internet Explorer 8,71
21-Feb-16,Microsoft Internet Explorer 10,39
21-Feb-16,Internet Explorer Mobile 11.0,15
21-Feb-16,Microsoft Internet Explorer 6.0,4
21-Feb-16,Internet Explorer Mobile 10.0,1
22-Feb-16,Microsoft Internet Explorer 11,2494
22-Feb-16,Microsoft Internet Explorer 9,560
22-Feb-16,Microsoft Internet Explorer 8,187
22-Feb-16,Microsoft Internet Explorer 10,163
22-Feb-16,Internet Explorer Mobile 11.0,14
22-Feb-16,Microsoft Internet Explorer 7.0,5
22-Feb-16,Microsoft Internet Explorer (unknown version),2
22-Feb-16,Internet Explorer 11.0,1
23-Feb-16,Microsoft Internet Explorer 11,2609
23-Feb-16,Microsoft Internet Explorer 9,250
23-Feb-16,Microsoft Internet Explorer 8,195
23-Feb-16,Microsoft Internet Explorer 10,160
23-Feb-16,Internet Explorer Mobile 11.0,18
23-Feb-16,Microsoft Internet Explorer 6.0,9
23-Feb-16,Microsoft Internet Explorer (unknown version),3
24-Feb-16,Microsoft Internet Explorer 11,2464
24-Feb-16,Microsoft Internet Explorer 9,267
24-Feb-16,Microsoft Internet Explorer 8,206
24-Feb-16,Microsoft Internet Explorer 10,187
24-Feb-16,Internet Explorer Mobile 11.0,13
24-Feb-16,Microsoft Internet Explorer 6.0,3
24-Feb-16,Microsoft Internet Explorer 7.0,2
24-Feb-16,Internet Explorer 11.0,1
25-Feb-16,Microsoft Internet Explorer 11,2667
25-Feb-16,Microsoft Internet Explorer 9,294
25-Feb-16,Microsoft Internet Explorer 8,180
25-Feb-16,Microsoft Internet Explorer 10,168
25-Feb-16,Internet Explorer Mobile 11.0,14
25-Feb-16,Microsoft Internet Explorer 7.0,7
25-Feb-16,Microsoft Internet Explorer 6.0,7
25-Feb-16,Microsoft Internet Explorer (unknown version),2
26-Feb-16,Microsoft Internet Explorer 11,1986
26-Feb-16,Microsoft Internet Explorer 9,231
26-Feb-16,Microsoft Internet Explorer 10,133
26-Feb-16,Microsoft Internet Explorer 8,118
26-Feb-16,Internet Explorer Mobile 11.0,17
26-Feb-16,Microsoft Internet Explorer 7.0,2
27-Feb-16,Microsoft Internet Explorer 11,351
27-Feb-16,Microsoft Internet Explorer 9,86
27-Feb-16,Microsoft Internet Explorer 8,41
27-Feb-16,Microsoft Internet Explorer 10,24
27-Feb-16,Internet Explorer Mobile 11.0,18
27-Feb-16,Internet Explorer 11.0,2
27-Feb-16,Microsoft Internet Explorer 7.0,2
27-Feb-16,Microsoft Internet Explorer (unknown version),1
28-Feb-16,Microsoft Internet Explorer 11,543
28-Feb-16,Microsoft Internet Explorer 9,142
28-Feb-16,Microsoft Internet Explorer 8,43
28-Feb-16,Microsoft Internet Explorer 10,34
28-Feb-16,Internet Explorer Mobile 11.0,8
28-Feb-16,Microsoft Internet Explorer 6.0,3
28-Feb-16,Internet Explorer 11.0,1
28-Feb-16,Microsoft Internet Explorer (unknown version),1
29-Feb-16,Microsoft Internet Explorer 11,2405
29-Feb-16,Microsoft Internet Explorer 9,221
29-Feb-16,Microsoft Internet Explorer 8,179
29-Feb-16,Microsoft Internet Explorer 10,152
29-Feb-16,Internet Explorer Mobile 11.0,7
29-Feb-16,Microsoft Internet Explorer (unknown version),2
29-Feb-16,Microsoft Internet Explorer 7.0,1
29-Feb-16,Microsoft Internet Explorer 6.0,1
1-Mar-16,Microsoft Internet Explorer 11,2408
1-Mar-16,Microsoft Internet Explorer 9,252
1-Mar-16,Microsoft Internet Explorer 8,169
