Date,Browser Type,Visits
19-Feb-16,Google,21263
19-Feb-16,Mozilla,9315
19-Feb-16,Microsoft,2852
19-Feb-16,Apple,1152
19-Feb-16,Opera,37
19-Feb-16,Other,33
19-Feb-16,UC Web,17
19-Feb-16,Yandex,12
19-Feb-16,BlackBerry,2
19-Feb-16,Amazon,1
20-Feb-16,Google,6525
20-Feb-16,Mozilla,2644
20-Feb-16,Microsoft,820
20-Feb-16,Apple,720
20-Feb-16,Opera,51
20-Feb-16,UC Web,20
20-Feb-16,Other,20
20-Feb-16,Yandex,12
20-Feb-16,Amazon,3
20-Feb-16,Nokia,1
21-Feb-16,Google,7454
21-Feb-16,Mozilla,2763
21-Feb-16,Microsoft,1112
21-Feb-16,Apple,726
21-Feb-16,Opera,45
21-Feb-16,Other,35
21-Feb-16,UC Web,23
21-Feb-16,Yandex,15
21-Feb-16,Amazon,4
21-Feb-16,BlackBerry,2
22-Feb-16,Google,24739
22-Feb-16,Mozilla,11285
22-Feb-16,Microsoft,3615
22-Feb-16,Apple,1278
22-Feb-16,Other,56
22-Feb-16,Opera,38
22-Feb-16,UC Web,19
22-Feb-16,Yandex,13
22-Feb-16,Amazon,6
22-Feb-16,BlackBerry,2
23-Feb-16,Google,26320
23-Feb-16,Mozilla,11583
23-Feb-16,Microsoft,3456
23-Feb-16,Apple,1322
23-Feb-16,Other,65
23-Feb-16,Opera,54
23-Feb-16,UC Web,30
23-Feb-16,Yandex,22
23-Feb-16,BlackBerry,4
23-Feb-16,Amazon,4
24-Feb-16,Google,25632
24-Feb-16,Mozilla,10929
24-Feb-16,Microsoft,3329
24-Feb-16,Apple,1369
24-Feb-16,Opera,65
24-Feb-16,Other,59
24-Feb-16,Yandex,39
24-Feb-16,UC Web,21
24-Feb-16,BlackBerry,4
24-Feb-16,Amazon,4
25-Feb-16,Google,25228
25-Feb-16,Mozilla,10870
25-Feb-16,Microsoft,3543
25-Feb-16,Apple,1321
25-Feb-16,Other,66
25-Feb-16,Opera,39
25-Feb-16,Yandex,23
25-Feb-16,UC Web,21
25-Feb-16,BlackBerry,3
25-Feb-16,Amazon,1
26-Feb-16,Google,21022
26-Feb-16,Mozilla,9185
26-Feb-16,Microsoft,2639
26-Feb-16,Apple,1123
26-Feb-16,Opera,52
26-Feb-16,Other,52
26-Feb-16,Yandex,23
26-Feb-16,UC Web,20
26-Feb-16,Amazon,3
26-Feb-16,BlackBerry,2
27-Feb-16,Google,5977
27-Feb-16,Mozilla,2367
27-Feb-16,Apple,662
27-Feb-16,Microsoft,633
27-Feb-16,Other,34
27-Feb-16,Opera,28
27-Feb-16,Yandex,15
27-Feb-16,UC Web,11
27-Feb-16,Amazon,3
27-Feb-16,BlackBerry,2
28-Feb-16,Google,7293
28-Feb-16,Mozilla,2770
28-Feb-16,Microsoft,884
28-Feb-16,Apple,693
28-Feb-16,Other,46
28-Feb-16,Opera,38
28-Feb-16,UC Web,22
28-Feb-16,Yandex,16
28-Feb-16,BlackBerry,3
28-Feb-16,Amazon,2
29-Feb-16,Google,24969
29-Feb-16,Mozilla,10439
29-Feb-16,Microsoft,3161
29-Feb-16,Apple,1246
29-Feb-16,Other,74
29-Feb-16,Opera,58
29-Feb-16,Yandex,33
29-Feb-16,UC Web,32
29-Feb-16,Dolphin,3
29-Feb-16,BlackBerry,3
1-Mar-16,Google,25342
1-Mar-16,Mozilla,10899
1-Mar-16,Microsoft,3204
1-Mar-16,Apple,1344
1-Mar-16,Other,76
1-Mar-16,Opera,48
1-Mar-16,Yandex,24
1-Mar-16,UC Web,15
1-Mar-16,BlackBerry,3
1-Mar-16,Amazon,3
2-Mar-16,Google,25457
2-Mar-16,Mozilla,11043
2-Mar-16,Microsoft,3322
2-Mar-16,Apple,1379
2-Mar-16,Other,84
2-Mar-16,Opera,50
2-Mar-16,Yandex,30
2-Mar-16,UC Web,29
2-Mar-16,Amazon,3
2-Mar-16,BlackBerry,1
3-Mar-16,Google,25611
3-Mar-16,Mozilla,10512
3-Mar-16,Microsoft,3201
3-Mar-16,Apple,1298
3-Mar-16,Other,77
3-Mar-16,Opera,44
3-Mar-16,UC Web,13
