Download Link,URL,Download Link Instances
http://download.jboss.org/jbossas/7.1/jboss-as-7.1.1.Final/jboss-as-7.1.1.Final.zip,jbossas.jboss.org/downloads,470
https://www.jboss.org/download-manager/file/jboss-eap-7.0.0-installer.jar,www.jboss.org/products/eap/download/,205
https://www.jboss.org/download-manager/file/jboss-devstudio-9.1.0.GA-installer-standalone.jar,www.jboss.org/products/devstudio/download/,91
http://download.jboss.org/wildfly/10.0.0.Final/wildfly-10.0.0.Final.zip,wildfly.org/downloads/,194
http://download.jboss.org/jbossas/6.1/jboss-as-distribution-6.1.0.Final.zip,jbossas.jboss.org/downloads,110
https://www.jboss.org/download-manager/file/jboss-eap-7.0.0.zip,www.jboss.org/products/eap/download/,110
https://www.jboss.org/download-manager/file/fuse-eap-installer-6.2.1.redhat-084.jar,www.jboss.org/products/fuse/overview/,43
http://download.jboss.org/resteasy/resteasy-jaxrs-3.0.16.Final-all.zip,resteasy.jboss.org/downloads,45
https://www.jboss.org/download-manager/file/jboss-eap-6.4.0.GA.zip,www.jboss.org/products/eap/download/,73
https://www.jboss.org/download-manager/file/jboss-eap-6.4.0.GA-installer.jar,www.jboss.org/products/eap/download/,70
http://downloads.jboss.org/richfaces/releases/4.5.X/4.5.16.Final/richfaces-distribution-4.5.16.Final.zip,richfaces.jboss.org/download/stable.html,35
http://download.jboss.org/jbossas/7.1/jboss-as-7.1.0.Final/jboss-as-7.1.0.Final.zip,jbossas.jboss.org/downloads,35
http://downloads.jboss.org/jbossnative//2.0.10.GA/jboss-native-2.0.10-windows-x64-ssl.zip,jbossweb.jboss.org/downloads/jboss-native-2-0-10,27
http://developers.redhat.com/download-manager/file//Modern_Java_EE_Design_Patterns_Red_Hat.pdf,developers.redhat.com/promotions/distributed-javaee-architecture/,35
https://www.jboss.org/download-manager/file/jboss-eap-6.3.0.GA-installer.jar,www.jboss.org/products/eap/download/,35
https://www.jboss.org/download-manager/file/jboss-fuse-6.2.1.GA-full_zip.zip,www.jboss.org/products/fuse/download/,33
https://www.jboss.org/download-manager/file/jboss-bpmsuite-6.3.0.GA-installer.jar,www.jboss.org/products/bpmsuite/overview/,13
http://download.jboss.org/wildfly/9.0.2.Final/wildfly-9.0.2.Final.zip,wildfly.org/downloads/,23
http://downloads.jboss.org/jbossnative//2.0.10.GA/jboss-native-2.0.10-windows-x86-ssl.zip,jbossweb.jboss.org/downloads/jboss-native-2-0-10,16
