Date,OS,Visits
18-Feb-16,Windows 7,23341
18-Feb-16,Windows 10,3645
18-Feb-16,Windows 8.1,3452
18-Feb-16,Windows Vista,568
18-Feb-16,Windows 8,391
18-Feb-16,Windows XP,366
18-Feb-16,Windows Server 2003 and XP x64 Edition,11
18-Feb-16,Windows 2000/NT 5,1
18-Feb-16,Windows NT,1
19-Feb-16,Windows 7,18806
19-Feb-16,Windows 10,3228
19-Feb-16,Windows 8.1,2927
19-Feb-16,Windows XP,349
19-Feb-16,Windows 8,330
19-Feb-16,Windows Vista,212
19-Feb-16,Windows Server 2003 and XP x64 Edition,26
20-Feb-16,Windows 7,3705
20-Feb-16,Windows 10,1831
20-Feb-16,Windows 8.1,1012
20-Feb-16,Windows 8,162
20-Feb-16,Windows Vista,130
20-Feb-16,Windows XP,126
20-Feb-16,Windows Server 2003 and XP x64 Edition,19
21-Feb-16,Windows 7,4682
21-Feb-16,Windows 10,1997
21-Feb-16,Windows 8.1,1090
21-Feb-16,Windows Vista,207
21-Feb-16,Windows XP,171
21-Feb-16,Windows 8,157
21-Feb-16,Windows Server 2003 and XP x64 Edition,9
22-Feb-16,Windows 7,23034
22-Feb-16,Windows 10,3665
22-Feb-16,Windows 8.1,3419
22-Feb-16,Windows 8,410
22-Feb-16,Windows XP,392
22-Feb-16,Windows Vista,228
22-Feb-16,Windows Server 2003 and XP x64 Edition,14
22-Feb-16,Windows 3.x,1
23-Feb-16,Windows 7,23984
23-Feb-16,Windows 10,3953
23-Feb-16,Windows 8.1,3409
23-Feb-16,Windows 8,465
23-Feb-16,Windows XP,423
23-Feb-16,Windows Vista,81
23-Feb-16,Windows Server 2003 and XP x64 Edition,21
23-Feb-16,Windows 3.x,1
24-Feb-16,Windows 7,23063
24-Feb-16,Windows 10,3870
24-Feb-16,Windows 8.1,3368
24-Feb-16,Windows 8,430
24-Feb-16,Windows XP,398
24-Feb-16,Windows Vista,100
24-Feb-16,Windows Server 2003 and XP x64 Edition,25
24-Feb-16,Windows NT,4
25-Feb-16,Windows 7,22907
25-Feb-16,Windows 10,3888
25-Feb-16,Windows 8.1,3383
25-Feb-16,Windows 8,382
25-Feb-16,Windows XP,345
25-Feb-16,Windows Vista,123
25-Feb-16,Windows Server 2003 and XP x64 Edition,27
26-Feb-16,Windows 7,18505
26-Feb-16,Windows 10,3299
26-Feb-16,Windows 8.1,2855
26-Feb-16,Windows XP,334
26-Feb-16,Windows 8,285
26-Feb-16,Windows Vista,76
26-Feb-16,Windows Server 2003 and XP x64 Edition,12
26-Feb-16,Windows 2000/NT 5,2
26-Feb-16,Windows NT,2
26-Feb-16,Media Center 2005,1
27-Feb-16,Windows 7,3392
27-Feb-16,Windows 10,1798
27-Feb-16,Windows 8.1,852
27-Feb-16,Windows 8,111
27-Feb-16,Windows XP,73
27-Feb-16,Windows Vista,37
27-Feb-16,Windows Server 2003 and XP x64 Edition,1
27-Feb-16,Windows 2000/NT 5,1
28-Feb-16,Windows 7,4587
28-Feb-16,Windows 10,2041
28-Feb-16,Windows 8.1,984
28-Feb-16,Windows 8,155
28-Feb-16,Windows XP,117
28-Feb-16,Windows Vista,63
28-Feb-16,Windows Server 2003 and XP x64 Edition,4
28-Feb-16,Windows NT,1
29-Feb-16,Windows 7,21768
29-Feb-16,Windows 10,3788
29-Feb-16,Windows 8.1,3298
29-Feb-16,Windows 8,392
29-Feb-16,Windows XP,340
29-Feb-16,Windows Vista,90
29-Feb-16,Windows Server 2003 and XP x64 Edition,15
29-Feb-16,Windows NT,2
29-Feb-16,Windows 3.x,1
1-Mar-16,Windows 7,22726
1-Mar-16,Windows 10,3859
1-Mar-16,Windows 8.1,3311
1-Mar-16,Windows 8,396
1-Mar-16,Windows XP,299
1-Mar-16,Windows Vista,63
1-Mar-16,Windows Server 2003 and XP x64 Edition,31
2-Mar-16,Windows 7,23093
2-Mar-16,Windows 10,3957
2-Mar-16,Windows 8.1,3214
2-Mar-16,Windows XP,359
2-Mar-16,Windows 8,347
2-Mar-16,Windows Vista,84
2-Mar-16,Windows Server 2003 and XP x64 Edition,23
2-Mar-16,Windows NT,2
3-Mar-16,Windows 7,22489
3-Mar-16,Windows 10,3886
3-Mar-16,Windows 8.1,3264
3-Mar-16,Windows 8,409
3-Mar-16,Windows XP,350
3-Mar-16,Windows Vista,89
3-Mar-16,Windows Server 2003 and XP x64 Edition,29
3-Mar-16,Media Center 2005,1
4-Mar-16,Windows 7,18643
4-Mar-16,Windows 10,3291
4-Mar-16,Windows 8.1,2775
4-Mar-16,Windows 8,337
4-Mar-16,Windows XP,311
4-Mar-16,Windows Vista,84
4-Mar-16,Windows Server 2003 and XP x64 Edition,18
5-Mar-16,Windows 7,3511
5-Mar-16,Windows 10,1958
