Date,Browser Type,Visits
19-Feb-16,Google,12358
19-Feb-16,Mozilla,3631
19-Feb-16,Apple,1864
19-Feb-16,Microsoft,1241
19-Feb-16,Yandex,190
19-Feb-16,Opera,82
19-Feb-16,Other,49
19-Feb-16,UC Web,25
19-Feb-16,Amazon,21
19-Feb-16,BlackBerry,6
20-Feb-16,Google,9964
20-Feb-16,Mozilla,2500
20-Feb-16,Apple,1887
20-Feb-16,Microsoft,915
20-Feb-16,Yandex,221
20-Feb-16,Opera,63
20-Feb-16,Other,44
20-Feb-16,UC Web,22
20-Feb-16,Amazon,13
20-Feb-16,BlackBerry,6
21-Feb-16,Google,10614
21-Feb-16,Mozilla,2698
21-Feb-16,Apple,1954
21-Feb-16,Microsoft,1002
21-Feb-16,Yandex,206
21-Feb-16,Opera,78
21-Feb-16,Other,74
21-Feb-16,UC Web,33
21-Feb-16,Amazon,20
21-Feb-16,BlackBerry,4
22-Feb-16,Google,14379
22-Feb-16,Mozilla,3968
22-Feb-16,Apple,2242
22-Feb-16,Microsoft,1507
22-Feb-16,Yandex,258
22-Feb-16,Opera,79
22-Feb-16,Other,67
22-Feb-16,UC Web,34
22-Feb-16,Amazon,15
22-Feb-16,BlackBerry,8
23-Feb-16,Google,14270
23-Feb-16,Mozilla,4132
23-Feb-16,Apple,2225
23-Feb-16,Microsoft,1409
23-Feb-16,Yandex,234
23-Feb-16,Opera,84
23-Feb-16,Other,53
23-Feb-16,UC Web,28
23-Feb-16,Amazon,15
23-Feb-16,BlackBerry,7
24-Feb-16,Google,14529
24-Feb-16,Mozilla,4040
24-Feb-16,Apple,2207
24-Feb-16,Microsoft,1392
24-Feb-16,Yandex,269
24-Feb-16,Opera,84
24-Feb-16,Other,55
24-Feb-16,UC Web,28
24-Feb-16,Amazon,17
24-Feb-16,BlackBerry,4
25-Feb-16,Google,13495
25-Feb-16,Mozilla,3679
25-Feb-16,Apple,1980
25-Feb-16,Microsoft,1265
25-Feb-16,Yandex,240
25-Feb-16,Opera,70
25-Feb-16,Other,52
25-Feb-16,UC Web,30
25-Feb-16,Amazon,8
25-Feb-16,BlackBerry,6
26-Feb-16,Google,12445
26-Feb-16,Mozilla,3605
26-Feb-16,Apple,1912
26-Feb-16,Microsoft,1183
26-Feb-16,Yandex,223
26-Feb-16,Opera,66
26-Feb-16,Other,54
26-Feb-16,UC Web,26
26-Feb-16,Amazon,10
26-Feb-16,BlackBerry,6
27-Feb-16,Google,10133
27-Feb-16,Mozilla,2386
27-Feb-16,Apple,1986
27-Feb-16,Microsoft,779
27-Feb-16,Yandex,263
27-Feb-16,Opera,68
27-Feb-16,Other,53
27-Feb-16,UC Web,36
27-Feb-16,Amazon,16
27-Feb-16,BlackBerry,6
28-Feb-16,Google,10876
28-Feb-16,Mozilla,2597
28-Feb-16,Apple,2142
28-Feb-16,Microsoft,957
28-Feb-16,Yandex,256
28-Feb-16,Opera,71
28-Feb-16,Other,47
28-Feb-16,UC Web,38
28-Feb-16,Amazon,8
28-Feb-16,BlackBerry,4
29-Feb-16,Google,14370
29-Feb-16,Mozilla,4039
29-Feb-16,Apple,2428
29-Feb-16,Microsoft,1366
29-Feb-16,Yandex,335
29-Feb-16,Opera,119
29-Feb-16,Other,43
29-Feb-16,UC Web,35
29-Feb-16,Amazon,17
29-Feb-16,BlackBerry,5
1-Mar-16,Google,14433
1-Mar-16,Mozilla,4165
1-Mar-16,Apple,2531
1-Mar-16,Microsoft,1375
1-Mar-16,Yandex,242
1-Mar-16,Opera,83
1-Mar-16,Other,50
1-Mar-16,UC Web,24
1-Mar-16,BlackBerry,7
1-Mar-16,Amazon,5
