Date,Device,Visits
19-Feb-16,Desktop,16292
19-Feb-16,Mobile,2013
19-Feb-16,Tablet,1147
20-Feb-16,Desktop,12250
20-Feb-16,Mobile,1975
20-Feb-16,Tablet,1397
21-Feb-16,Desktop,13157
21-Feb-16,Mobile,2152
21-Feb-16,Tablet,1360
22-Feb-16,Desktop,18801
22-Feb-16,Mobile,2399
22-Feb-16,Tablet,1346
23-Feb-16,Desktop,18956
23-Feb-16,Mobile,2217
23-Feb-16,Tablet,1274
24-Feb-16,Desktop,18936
24-Feb-16,Mobile,2330
24-Feb-16,Tablet,1352
25-Feb-16,Desktop,17498
25-Feb-16,Mobile,2167
25-Feb-16,Tablet,1147
26-Feb-16,Desktop,16406
26-Feb-16,Mobile,2120
26-Feb-16,Tablet,991
27-Feb-16,Desktop,12114
27-Feb-16,Mobile,2442
27-Feb-16,Tablet,1155
28-Feb-16,Desktop,13122
28-Feb-16,Mobile,2496
28-Feb-16,Tablet,1366
29-Feb-16,Desktop,18846
29-Feb-16,Mobile,2562
29-Feb-16,Tablet,1342
1-Mar-16,Desktop,18982
1-Mar-16,Mobile,2681
1-Mar-16,Tablet,1243
2-Mar-16,Desktop,18044
2-Mar-16,Mobile,2592
2-Mar-16,Tablet,1286
3-Mar-16,Desktop,18055
3-Mar-16,Mobile,2480
3-Mar-16,Tablet,1165
4-Mar-16,Desktop,16282
4-Mar-16,Mobile,2440
4-Mar-16,Tablet,1107
5-Mar-16,Desktop,12420
5-Mar-16,Mobile,2457
5-Mar-16,Tablet,1290
6-Mar-16,Desktop,13147
6-Mar-16,Mobile,2655
6-Mar-16,Tablet,1395
7-Mar-16,Desktop,18543
7-Mar-16,Mobile,2272
7-Mar-16,Tablet,1093
8-Mar-16,Desktop,18800
8-Mar-16,Mobile,2114
8-Mar-16,Tablet,1202
9-Mar-16,Desktop,18895
9-Mar-16,Mobile,2211
9-Mar-16,Tablet,1199
10-Mar-16,Desktop,18418
10-Mar-16,Mobile,2190
10-Mar-16,Tablet,1146
11-Mar-16,Desktop,15930
11-Mar-16,Mobile,2160
11-Mar-16,Tablet,920
12-Mar-16,Desktop,11876
12-Mar-16,Mobile,2300
12-Mar-16,Tablet,1031
13-Mar-16,Desktop,11838
13-Mar-16,Mobile,2534
13-Mar-16,Tablet,1053
14-Mar-16,Desktop,17813
14-Mar-16,Mobile,2005
14-Mar-16,Tablet,1000
15-Mar-16,Desktop,17996
15-Mar-16,Mobile,2105
15-Mar-16,Tablet,986
16-Mar-16,Desktop,17617
16-Mar-16,Mobile,1924
16-Mar-16,Tablet,952
17-Mar-16,Desktop,16565
17-Mar-16,Mobile,1965
17-Mar-16,Tablet,1028
18-Mar-16,Desktop,14081
18-Mar-16,Mobile,1555
18-Mar-16,Tablet,592
19-Mar-16,Desktop,7777
19-Mar-16,Mobile,1167
19-Mar-16,Tablet,364
20-Mar-16,Desktop,7857
20-Mar-16,Mobile,1151
20-Mar-16,Tablet,332
21-Mar-16,Desktop,12658
21-Mar-16,Mobile,1200
21-Mar-16,Tablet,251
22-Mar-16,Desktop,13468
22-Mar-16,Mobile,1349
22-Mar-16,Tablet,330
