Date,Browser,Openshift + Visits
19-Feb-16,Microsoft Internet Explorer 11,803
19-Feb-16,Microsoft Internet Explorer 9,75
19-Feb-16,Microsoft Internet Explorer 10,50
19-Feb-16,Microsoft Internet Explorer 8,41
19-Feb-16,Internet Explorer Mobile 11.0,36
19-Feb-16,Internet Explorer 11.0,3
19-Feb-16,Microsoft Internet Explorer (unknown version),3
20-Feb-16,Microsoft Internet Explorer 11,562
20-Feb-16,Microsoft Internet Explorer 9,81
20-Feb-16,Microsoft Internet Explorer 10,29
20-Feb-16,Internet Explorer Mobile 11.0,28
20-Feb-16,Microsoft Internet Explorer 8,24
20-Feb-16,Internet Explorer 11.0,5
20-Feb-16,Microsoft Internet Explorer 7.0,1
20-Feb-16,Microsoft Internet Explorer 6.0,1
21-Feb-16,Microsoft Internet Explorer 11,619
21-Feb-16,Microsoft Internet Explorer 9,48
21-Feb-16,Microsoft Internet Explorer 10,44
21-Feb-16,Internet Explorer Mobile 11.0,33
21-Feb-16,Microsoft Internet Explorer 8,33
21-Feb-16,Internet Explorer 11.0,7
21-Feb-16,Internet Explorer Mobile 9.0,1
22-Feb-16,Microsoft Internet Explorer 11,1065
22-Feb-16,Microsoft Internet Explorer 10,62
22-Feb-16,Microsoft Internet Explorer 9,48
22-Feb-16,Microsoft Internet Explorer 8,45
22-Feb-16,Internet Explorer Mobile 11.0,41
22-Feb-16,Internet Explorer 11.0,6
22-Feb-16,Microsoft Internet Explorer 7.0,2
22-Feb-16,Internet Explorer 10.0,1
23-Feb-16,Microsoft Internet Explorer 11,924
23-Feb-16,Microsoft Internet Explorer 9,74
23-Feb-16,Microsoft Internet Explorer 10,65
23-Feb-16,Microsoft Internet Explorer 8,52
23-Feb-16,Internet Explorer Mobile 11.0,32
23-Feb-16,Internet Explorer 11.0,4
23-Feb-16,Microsoft Internet Explorer 7.0,2
23-Feb-16,Microsoft Internet Explorer 6.0,2
24-Feb-16,Microsoft Internet Explorer 11,950
24-Feb-16,Microsoft Internet Explorer 9,67
24-Feb-16,Microsoft Internet Explorer 10,58
24-Feb-16,Microsoft Internet Explorer 8,43
24-Feb-16,Internet Explorer Mobile 11.0,29
24-Feb-16,Internet Explorer 11.0,3
24-Feb-16,Microsoft Internet Explorer 6.0,1
24-Feb-16,Microsoft MSN Explorer,1
25-Feb-16,Microsoft Internet Explorer 11,837
25-Feb-16,Microsoft Internet Explorer 9,68
25-Feb-16,Microsoft Internet Explorer 8,53
25-Feb-16,Microsoft Internet Explorer 10,44
25-Feb-16,Internet Explorer Mobile 11.0,31
25-Feb-16,Internet Explorer 11.0,3
26-Feb-16,Microsoft Internet Explorer 11,801
26-Feb-16,Microsoft Internet Explorer 9,55
26-Feb-16,Microsoft Internet Explorer 10,44
26-Feb-16,Microsoft Internet Explorer 8,41
26-Feb-16,Internet Explorer Mobile 11.0,29
26-Feb-16,Internet Explorer 11.0,3
26-Feb-16,Microsoft Internet Explorer (unknown version),2
26-Feb-16,Microsoft Internet Explorer 7.0,1
27-Feb-16,Microsoft Internet Explorer 11,436
27-Feb-16,Microsoft Internet Explorer 9,73
27-Feb-16,Internet Explorer Mobile 11.0,40
27-Feb-16,Microsoft Internet Explorer 10,31
27-Feb-16,Microsoft Internet Explorer 8,14
27-Feb-16,Internet Explorer 11.0,5
27-Feb-16,Microsoft MSN Explorer,1
28-Feb-16,Microsoft Internet Explorer 11,559
28-Feb-16,Microsoft Internet Explorer 9,103
28-Feb-16,Internet Explorer Mobile 11.0,43
28-Feb-16,Microsoft Internet Explorer 10,25
28-Feb-16,Microsoft Internet Explorer 8,20
28-Feb-16,Internet Explorer 11.0,3
28-Feb-16,Microsoft Internet Explorer 7.0,2
28-Feb-16,Microsoft MSN Explorer,2
29-Feb-16,Microsoft Internet Explorer 11,929
29-Feb-16,Microsoft Internet Explorer 10,43
29-Feb-16,Microsoft Internet Explorer 8,42
29-Feb-16,Internet Explorer Mobile 11.0,40
29-Feb-16,Microsoft Internet Explorer 9,39
29-Feb-16,Internet Explorer 11.0,4
29-Feb-16,Internet Explorer 9.0,2
29-Feb-16,Internet Explorer 10.0,1
1-Mar-16,Microsoft Internet Explorer 11,926
1-Mar-16,Microsoft Internet Explorer 9,57
1-Mar-16,Microsoft Internet Explorer 8,47
1-Mar-16,Microsoft Internet Explorer 10,45
1-Mar-16,Internet Explorer Mobile 11.0,44
1-Mar-16,Internet Explorer 11.0,5
2-Mar-16,Microsoft Internet Explorer 11,840
2-Mar-16,Microsoft Internet Explorer 9,52
2-Mar-16,Microsoft Internet Explorer 8,47
2-Mar-16,Internet Explorer Mobile 11.0,46
2-Mar-16,Microsoft Internet Explorer 10,27
2-Mar-16,Internet Explorer 11.0,6
2-Mar-16,Microsoft Internet Explorer (unknown version),1
2-Mar-16,Microsoft Internet Explorer 6.0,1
3-Mar-16,Microsoft Internet Explorer 11,915
3-Mar-16,Microsoft Internet Explorer 10,51
3-Mar-16,Microsoft Internet Explorer 9,51
3-Mar-16,Microsoft Internet Explorer 8,48
3-Mar-16,Internet Explorer Mobile 11.0,47
3-Mar-16,Internet Explorer 11.0,2
3-Mar-16,Microsoft Internet Explorer (unknown version),1
4-Mar-16,Microsoft Internet Explorer 11,873
4-Mar-16,Internet Explorer Mobile 11.0,52
4-Mar-16,Microsoft Internet Explorer 10,46
4-Mar-16,Microsoft Internet Explorer 9,45
4-Mar-16,Microsoft Internet Explorer 8,32
4-Mar-16,Internet Explorer 11.0,4
4-Mar-16,Microsoft Internet Explorer 7.0,1
4-Mar-16,Microsoft Internet Explorer 6.0,1
5-Mar-16,Microsoft Internet Explorer 11,558
5-Mar-16,Internet Explorer Mobile 11.0,48
5-Mar-16,Microsoft Internet Explorer 8,30
5-Mar-16,Microsoft Internet Explorer 9,24
5-Mar-16,Microsoft Internet Explorer 10,23
5-Mar-16,Internet Explorer 11.0,2
5-Mar-16,Microsoft Internet Explorer (unknown version),1
6-Mar-16,Microsoft Internet Explorer 11,596
6-Mar-16,Internet Explorer Mobile 11.0,44
6-Mar-16,Microsoft Internet Explorer 8,42
6-Mar-16,Microsoft Internet Explorer 9,38
6-Mar-16,Microsoft Internet Explorer 10,19
6-Mar-16,Microsoft Internet Explorer (unknown version),3
6-Mar-16,Internet Explorer 11.0,2
