Date,OS,Visits
19-Feb-16,Microsoft Windows,11782
19-Feb-16,Apple Macintosh,2403
19-Feb-16,GNU/Linux,2056
19-Feb-16,Google Android,1783
19-Feb-16,Apple iOS,1330
19-Feb-16,Microsoft Windows Phone/Mobile,42
19-Feb-16,Chrome OS,40
19-Feb-16,Other,12
19-Feb-16,Nokia,8
19-Feb-16,Blackberry,6
20-Feb-16,Microsoft Windows,8981
20-Feb-16,Google Android,1890
20-Feb-16,Apple Macintosh,1774
20-Feb-16,GNU/Linux,1462
20-Feb-16,Apple iOS,1442
20-Feb-16,Microsoft Windows Phone/Mobile,35
20-Feb-16,Chrome OS,23
20-Feb-16,Other,10
20-Feb-16,Nokia,7
20-Feb-16,Blackberry,6
21-Feb-16,Microsoft Windows,9728
21-Feb-16,Google Android,2010
21-Feb-16,Apple Macintosh,1943
21-Feb-16,GNU/Linux,1450
21-Feb-16,Apple iOS,1449
21-Feb-16,Microsoft Windows Phone/Mobile,50
21-Feb-16,Chrome OS,27
21-Feb-16,Nokia,12
21-Feb-16,Other,9
21-Feb-16,Blackberry,6
22-Feb-16,Microsoft Windows,13298
22-Feb-16,Apple Macintosh,3110
22-Feb-16,GNU/Linux,2358
22-Feb-16,Google Android,2134
22-Feb-16,Apple iOS,1541
22-Feb-16,Microsoft Windows Phone/Mobile,57
22-Feb-16,Chrome OS,29
22-Feb-16,Nokia,10
22-Feb-16,Blackberry,10
22-Feb-16,Other,6
23-Feb-16,Microsoft Windows,13488
23-Feb-16,Apple Macintosh,3020
23-Feb-16,GNU/Linux,2396
23-Feb-16,Google Android,1911
23-Feb-16,Apple iOS,1530
23-Feb-16,Microsoft Windows Phone/Mobile,42
23-Feb-16,Chrome OS,41
23-Feb-16,Other,12
23-Feb-16,Blackberry,10
23-Feb-16,Nokia,6
24-Feb-16,Microsoft Windows,13592
24-Feb-16,Apple Macintosh,3033
24-Feb-16,GNU/Linux,2264
24-Feb-16,Google Android,2081
24-Feb-16,Apple iOS,1560
24-Feb-16,Chrome OS,43
24-Feb-16,Microsoft Windows Phone/Mobile,36
24-Feb-16,Other,7
24-Feb-16,Blackberry,5
24-Feb-16,Nokia,4
25-Feb-16,Microsoft Windows,12618
25-Feb-16,Apple Macintosh,2720
25-Feb-16,GNU/Linux,2108
25-Feb-16,Google Android,1825
25-Feb-16,Apple iOS,1445
25-Feb-16,Chrome OS,39
25-Feb-16,Microsoft Windows Phone/Mobile,37
25-Feb-16,Other,15
