Date,OS,Visits
19-Feb-16,Windows 7,6381
19-Feb-16,Windows 10,2589
19-Feb-16,Windows 8.1,1627
19-Feb-16,Windows XP,784
19-Feb-16,Windows 8,224
19-Feb-16,Windows Vista,151
19-Feb-16,Windows NT,15
19-Feb-16,Windows Server 2003 and XP x64 Edition,8
19-Feb-16,Windows 2000/NT 5,3
20-Feb-16,Windows 7,4227
20-Feb-16,Windows 10,2414
20-Feb-16,Windows 8.1,1245
20-Feb-16,Windows XP,682
20-Feb-16,Windows 8,215
20-Feb-16,Windows Vista,179
20-Feb-16,Windows NT,9
20-Feb-16,Windows Server 2003 and XP x64 Edition,6
20-Feb-16,Windows 2000/NT 5,4
21-Feb-16,Windows 7,4415
21-Feb-16,Windows 10,2872
21-Feb-16,Windows 8.1,1369
21-Feb-16,Windows XP,673
21-Feb-16,Windows 8,213
21-Feb-16,Windows Vista,163
21-Feb-16,Windows NT,17
21-Feb-16,Windows Server 2003 and XP x64 Edition,3
21-Feb-16,Windows 2000/NT 5,3
22-Feb-16,Windows 7,7094
22-Feb-16,Windows 10,3135
22-Feb-16,Windows 8.1,1817
22-Feb-16,Windows XP,782
22-Feb-16,Windows 8,270
22-Feb-16,Windows Vista,180
22-Feb-16,Windows NT,14
22-Feb-16,Windows Server 2003 and XP x64 Edition,5
22-Feb-16,Windows 3.x,1
23-Feb-16,Windows 7,7253
23-Feb-16,Windows 10,3185
23-Feb-16,Windows 8.1,1838
23-Feb-16,Windows XP,710
23-Feb-16,Windows 8,302
23-Feb-16,Windows Vista,177
23-Feb-16,Windows NT,15
23-Feb-16,Windows Server 2003 and XP x64 Edition,8
24-Feb-16,Windows 7,7506
24-Feb-16,Windows 10,3115
24-Feb-16,Windows 8.1,1752
24-Feb-16,Windows XP,769
24-Feb-16,Windows 8,260
24-Feb-16,Windows Vista,164
24-Feb-16,Windows NT,21
24-Feb-16,Windows Server 2003 and XP x64 Edition,3
24-Feb-16,Windows 2000/NT 5,1
24-Feb-16,Windows 98,1
25-Feb-16,Windows 7,6935
25-Feb-16,Windows 10,2930
25-Feb-16,Windows 8.1,1688
25-Feb-16,Windows XP,699
25-Feb-16,Windows 8,192
25-Feb-16,Windows Vista,136
25-Feb-16,Windows NT,25
25-Feb-16,Windows Server 2003 and XP x64 Edition,10
25-Feb-16,Windows 2000/NT 5,2
25-Feb-16,Media Center 2005,1
26-Feb-16,Windows 7,6295
26-Feb-16,Windows 10,2767
26-Feb-16,Windows 8.1,1640
26-Feb-16,Windows XP,811
26-Feb-16,Windows 8,208
26-Feb-16,Windows Vista,132
26-Feb-16,Windows NT,10
26-Feb-16,Windows Server 2003 and XP x64 Edition,6
26-Feb-16,Windows 2000/NT 5,2
27-Feb-16,Windows 7,4098
27-Feb-16,Windows 10,2633
27-Feb-16,Windows 8.1,1281
27-Feb-16,Windows XP,658
27-Feb-16,Windows 8,215
27-Feb-16,Windows Vista,151
27-Feb-16,Windows NT,21
27-Feb-16,Windows Server 2003 and XP x64 Edition,3
27-Feb-16,Windows 2000/NT 5,1
28-Feb-16,Windows 7,4679
28-Feb-16,Windows 10,2826
28-Feb-16,Windows 8.1,1398
28-Feb-16,Windows XP,611
28-Feb-16,Windows 8,230
28-Feb-16,Windows Vista,184
28-Feb-16,Windows NT,23
28-Feb-16,Windows Server 2003 and XP x64 Edition,3
28-Feb-16,Windows 2000/NT 5,2
28-Feb-16,Windows 3.x,1
29-Feb-16,Windows 7,7379
29-Feb-16,Windows 10,3182
29-Feb-16,Windows 8.1,1898
29-Feb-16,Windows XP,873
29-Feb-16,Windows 8,242
29-Feb-16,Windows Vista,155
29-Feb-16,Windows NT,28
29-Feb-16,Windows Server 2003 and XP x64 Edition,7
29-Feb-16,Windows 2000/NT 5,4
1-Mar-16,Windows 7,7249
1-Mar-16,Windows 10,3081
1-Mar-16,Windows 8.1,1793
1-Mar-16,Windows XP,735
1-Mar-16,Windows 8,234
1-Mar-16,Windows Vista,158
1-Mar-16,Windows NT,10
1-Mar-16,Windows Server 2003 and XP x64 Edition,8
1-Mar-16,Windows 2000/NT 5,4
1-Mar-16,Media Center 2005,1
2-Mar-16,Windows 7,7028
2-Mar-16,Windows 10,2988
2-Mar-16,Windows 8.1,1720
2-Mar-16,Windows XP,808
2-Mar-16,Windows 8,207
2-Mar-16,Windows Vista,163
2-Mar-16,Windows Server 2003 and XP x64 Edition,6
2-Mar-16,Windows NT,6
2-Mar-16,Windows 2000/NT 5,5
2-Mar-16,Media Center 2005,1
3-Mar-16,Windows 7,7165
3-Mar-16,Windows 10,3036
