Date,Browser Type,Visits
19-Feb-16,Google,11007
19-Feb-16,Mozilla,5478
19-Feb-16,Apple,1870
19-Feb-16,Microsoft,989
19-Feb-16,Opera,138
19-Feb-16,UC Web,50
19-Feb-16,Other,29
19-Feb-16,BlackBerry,20
19-Feb-16,Amazon,11
19-Feb-16,Netscape,11
20-Feb-16,Google,8048
20-Feb-16,Mozilla,3752
20-Feb-16,Apple,1731
20-Feb-16,Microsoft,538
20-Feb-16,Opera,144
20-Feb-16,UC Web,58
20-Feb-16,Other,27
20-Feb-16,Amazon,17
20-Feb-16,BlackBerry,15
20-Feb-16,Yandex,6
21-Feb-16,Google,12883
21-Feb-16,Mozilla,5029
21-Feb-16,Apple,2979
21-Feb-16,Microsoft,988
21-Feb-16,Opera,269
21-Feb-16,UC Web,83
21-Feb-16,Other,48
21-Feb-16,BlackBerry,16
21-Feb-16,Amazon,14
21-Feb-16,Netscape,6
22-Feb-16,Google,13422
22-Feb-16,Mozilla,5863
22-Feb-16,Apple,2148
22-Feb-16,Microsoft,1133
22-Feb-16,Opera,174
22-Feb-16,UC Web,74
22-Feb-16,Other,43
22-Feb-16,BlackBerry,16
22-Feb-16,Netscape,11
22-Feb-16,Yandex,9
23-Feb-16,Google,14147
23-Feb-16,Mozilla,5997
23-Feb-16,Apple,2657
23-Feb-16,Microsoft,1524
23-Feb-16,Opera,152
23-Feb-16,UC Web,66
23-Feb-16,Other,32
23-Feb-16,BlackBerry,23
23-Feb-16,Netscape,15
23-Feb-16,Amazon,9
24-Feb-16,Google,13074
24-Feb-16,Mozilla,5409
24-Feb-16,Apple,2297
24-Feb-16,Microsoft,1299
24-Feb-16,Opera,196
24-Feb-16,UC Web,70
24-Feb-16,Other,30
24-Feb-16,BlackBerry,22
24-Feb-16,Netscape,14
24-Feb-16,Amazon,13
25-Feb-16,Google,12768
25-Feb-16,Mozilla,5490
25-Feb-16,Apple,2006
25-Feb-16,Microsoft,1226
25-Feb-16,Opera,185
25-Feb-16,UC Web,73
25-Feb-16,Other,35
25-Feb-16,BlackBerry,26
25-Feb-16,Yandex,18
25-Feb-16,Netscape,15
26-Feb-16,Google,11966
26-Feb-16,Mozilla,5175
26-Feb-16,Apple,1934
26-Feb-16,Microsoft,1038
26-Feb-16,Opera,182
26-Feb-16,UC Web,60
26-Feb-16,Other,30
26-Feb-16,Yandex,20
26-Feb-16,BlackBerry,14
26-Feb-16,Amazon,13
27-Feb-16,Google,7997
27-Feb-16,Mozilla,3571
27-Feb-16,Apple,1830
27-Feb-16,Microsoft,517
27-Feb-16,Opera,172
27-Feb-16,UC Web,62
27-Feb-16,Other,32
27-Feb-16,BlackBerry,13
27-Feb-16,Amazon,10
27-Feb-16,Netscape,7
28-Feb-16,Google,8102
28-Feb-16,Mozilla,3698
28-Feb-16,Apple,1802
28-Feb-16,Microsoft,521
28-Feb-16,Opera,171
28-Feb-16,UC Web,63
28-Feb-16,Other,24
28-Feb-16,BlackBerry,15
28-Feb-16,Amazon,10
28-Feb-16,Yandex,7
29-Feb-16,Google,18580
29-Feb-16,Mozilla,8332
29-Feb-16,Apple,3673
29-Feb-16,Microsoft,1662
29-Feb-16,Opera,221
29-Feb-16,UC Web,59
29-Feb-16,Other,59
29-Feb-16,BlackBerry,31
29-Feb-16,Amazon,17
29-Feb-16,Netscape,13
1-Mar-16,Google,17108
1-Mar-16,Mozilla,7744
1-Mar-16,Apple,3285
1-Mar-16,Microsoft,1663
1-Mar-16,Opera,247
1-Mar-16,UC Web,103
1-Mar-16,Other,51
1-Mar-16,BlackBerry,32
1-Mar-16,Netscape,19
1-Mar-16,Amazon,13
2-Mar-16,Google,15033
2-Mar-16,Mozilla,6953
2-Mar-16,Apple,2522
2-Mar-16,Microsoft,1379
2-Mar-16,Opera,206
2-Mar-16,UC Web,93
2-Mar-16,Other,35
2-Mar-16,BlackBerry,25
2-Mar-16,Netscape,21
2-Mar-16,Yandex,16
3-Mar-16,Google,15212
3-Mar-16,Mozilla,6557
3-Mar-16,Apple,2916
3-Mar-16,Microsoft,1391
3-Mar-16,Opera,222
3-Mar-16,UC Web,69
3-Mar-16,Other,42
3-Mar-16,BlackBerry,28
3-Mar-16,Amazon,20
3-Mar-16,Netscape,16
4-Mar-16,Google,14150
4-Mar-16,Mozilla,6850
4-Mar-16,Apple,2417
4-Mar-16,Microsoft,1499
4-Mar-16,Opera,212
4-Mar-16,Other,98
4-Mar-16,UC Web,87
4-Mar-16,BlackBerry,35
4-Mar-16,Netscape,23
4-Mar-16,Yandex,14
5-Mar-16,Google,9017
5-Mar-16,Mozilla,4139
5-Mar-16,Apple,2083
5-Mar-16,Microsoft,603
5-Mar-16,Opera,194
5-Mar-16,Other,130
5-Mar-16,UC Web,66
5-Mar-16,BlackBerry,17
5-Mar-16,Netscape,16
5-Mar-16,Yandex,14
6-Mar-16,Google,9262
6-Mar-16,Mozilla,4282
6-Mar-16,Apple,2028
6-Mar-16,Microsoft,651
6-Mar-16,Opera,197
6-Mar-16,Other,103
6-Mar-16,UC Web,64
6-Mar-16,Yandex,20
6-Mar-16,BlackBerry,19
6-Mar-16,Amazon,12
7-Mar-16,Google,14568
7-Mar-16,Mozilla,6311
7-Mar-16,Apple,2363
7-Mar-16,Microsoft,1425
7-Mar-16,Opera,225
7-Mar-16,Other,142
7-Mar-16,UC Web,55
7-Mar-16,BlackBerry,19
7-Mar-16,Netscape,13
7-Mar-16,Yandex,11
8-Mar-16,Google,15631
8-Mar-16,Mozilla,7683
8-Mar-16,Apple,2989
8-Mar-16,Microsoft,1828
8-Mar-16,Opera,275
8-Mar-16,Other,155
8-Mar-16,UC Web,74
8-Mar-16,BlackBerry,31
8-Mar-16,Yandex,21
8-Mar-16,Amazon,18
9-Mar-16,Google,13345
9-Mar-16,Mozilla,5879
9-Mar-16,Apple,2064
9-Mar-16,Microsoft,1283
9-Mar-16,Opera,194
9-Mar-16,Other,146
9-Mar-16,UC Web,64
9-Mar-16,BlackBerry,18
9-Mar-16,Yandex,11
9-Mar-16,Netscape,10
10-Mar-16,Google,17157
10-Mar-16,Mozilla,8207
10-Mar-16,Apple,3094
10-Mar-16,Microsoft,1750
10-Mar-16,Opera,221
10-Mar-16,Other,130
10-Mar-16,UC Web,59
10-Mar-16,BlackBerry,31
10-Mar-16,Yandex,19
10-Mar-16,Amazon,18
11-Mar-16,Google,12925
11-Mar-16,Mozilla,6074
11-Mar-16,Apple,2123
11-Mar-16,Microsoft,1698
11-Mar-16,Opera,194
11-Mar-16,Other,136
11-Mar-16,UC Web,60
11-Mar-16,BlackBerry,20
11-Mar-16,Netscape,18
11-Mar-16,Yandex,8
12-Mar-16,Google,7893
12-Mar-16,Mozilla,3553
12-Mar-16,Apple,1718
12-Mar-16,Microsoft,495
12-Mar-16,Opera,158
12-Mar-16,Other,100
12-Mar-16,UC Web,75
12-Mar-16,BlackBerry,15
12-Mar-16,Amazon,11
12-Mar-16,Netscape,11
13-Mar-16,Google,9125
13-Mar-16,Mozilla,3798
13-Mar-16,Apple,1888
13-Mar-16,Microsoft,477
13-Mar-16,Opera,188
13-Mar-16,Other,116
13-Mar-16,UC Web,69
13-Mar-16,BlackBerry,17
13-Mar-16,Yandex,11
13-Mar-16,Amazon,11
