Date,Device,Visits
19-Feb-16,Desktop,16553
19-Feb-16,Mobile,2450
19-Feb-16,Tablet,627
20-Feb-16,Desktop,11003
20-Feb-16,Mobile,2541
20-Feb-16,Tablet,811
21-Feb-16,Desktop,15307
21-Feb-16,Mobile,5905
21-Feb-16,Tablet,1124
22-Feb-16,Desktop,19130
22-Feb-16,Mobile,3049
22-Feb-16,Tablet,725
23-Feb-16,Desktop,20216
23-Feb-16,Mobile,3585
23-Feb-16,Tablet,845
24-Feb-16,Desktop,18482
24-Feb-16,Mobile,3239
24-Feb-16,Tablet,725
25-Feb-16,Desktop,18144
25-Feb-16,Mobile,3022
25-Feb-16,Tablet,708
26-Feb-16,Desktop,16727
26-Feb-16,Mobile,3015
26-Feb-16,Tablet,713
27-Feb-16,Desktop,10621
27-Feb-16,Mobile,2771
27-Feb-16,Tablet,832
28-Feb-16,Desktop,11138
28-Feb-16,Mobile,2454
28-Feb-16,Tablet,848
29-Feb-16,Desktop,26326
29-Feb-16,Mobile,5307
29-Feb-16,Tablet,1041
1-Mar-16,Desktop,24061
1-Mar-16,Mobile,5112
1-Mar-16,Tablet,1128
2-Mar-16,Desktop,21648
2-Mar-16,Mobile,3776
2-Mar-16,Tablet,892
3-Mar-16,Desktop,20860
3-Mar-16,Mobile,4632
3-Mar-16,Tablet,1005
4-Mar-16,Desktop,20465
4-Mar-16,Mobile,4006
4-Mar-16,Tablet,943
5-Mar-16,Desktop,12035
5-Mar-16,Mobile,3238
5-Mar-16,Tablet,1030
6-Mar-16,Desktop,12554
6-Mar-16,Mobile,3054
6-Mar-16,Tablet,1039
7-Mar-16,Desktop,20852
7-Mar-16,Mobile,3409
7-Mar-16,Tablet,887
8-Mar-16,Desktop,23323
8-Mar-16,Mobile,4289
8-Mar-16,Tablet,1109
9-Mar-16,Desktop,19413
9-Mar-16,Mobile,2849
9-Mar-16,Tablet,776
10-Mar-16,Desktop,24822
10-Mar-16,Mobile,4650
10-Mar-16,Tablet,1244
11-Mar-16,Desktop,19182
11-Mar-16,Mobile,3227
11-Mar-16,Tablet,869
12-Mar-16,Desktop,10602
12-Mar-16,Mobile,2597
12-Mar-16,Tablet,862
13-Mar-16,Desktop,11716
13-Mar-16,Mobile,3115
13-Mar-16,Tablet,897
14-Mar-16,Desktop,21725
14-Mar-16,Mobile,4349
14-Mar-16,Tablet,956
15-Mar-16,Desktop,21273
15-Mar-16,Mobile,5287
15-Mar-16,Tablet,1169
16-Mar-16,Desktop,22333
16-Mar-16,Mobile,5775
16-Mar-16,Tablet,1419
17-Mar-16,Desktop,19850
17-Mar-16,Mobile,4219
17-Mar-16,Tablet,1024
18-Mar-16,Desktop,24236
18-Mar-16,Mobile,7583
18-Mar-16,Tablet,1644
19-Mar-16,Desktop,13675
19-Mar-16,Mobile,6312
19-Mar-16,Tablet,1455
20-Mar-16,Desktop,12163
20-Mar-16,Mobile,3632
20-Mar-16,Tablet,1106
21-Mar-16,Desktop,19452
21-Mar-16,Mobile,3340
21-Mar-16,Tablet,839
22-Mar-16,Desktop,20857
22-Mar-16,Mobile,4255
22-Mar-16,Tablet,934
23-Mar-16,Desktop,18020
23-Mar-16,Mobile,3441
23-Mar-16,Tablet,773
24-Mar-16,Desktop,20608
24-Mar-16,Mobile,8037
24-Mar-16,Tablet,1509
25-Mar-16,Desktop,15030
25-Mar-16,Mobile,4539
25-Mar-16,Tablet,1062
26-Mar-16,Desktop,10452
26-Mar-16,Mobile,3193
26-Mar-16,Tablet,962
27-Mar-16,Desktop,10264
27-Mar-16,Mobile,2544
27-Mar-16,Tablet,890
28-Mar-16,Desktop,17906
28-Mar-16,Mobile,6553
28-Mar-16,Tablet,1389
29-Mar-16,Desktop,25067
29-Mar-16,Mobile,8206
29-Mar-16,Tablet,1566
30-Mar-16,Desktop,21796
30-Mar-16,Mobile,5562
30-Mar-16,Tablet,1090
31-Mar-16,Desktop,19295
31-Mar-16,Mobile,3939
31-Mar-16,Tablet,855
1-Apr-16,Desktop,16632
1-Apr-16,Mobile,3820
1-Apr-16,Tablet,1017
2-Apr-16,Desktop,10967
2-Apr-16,Mobile,3468
2-Apr-16,Tablet,1049
3-Apr-16,Desktop,11130
3-Apr-16,Mobile,2619
