Date,Operating System Types,Visits
19-Feb-16,Microsoft Windows,10501
19-Feb-16,GNU/Linux,3543
19-Feb-16,Apple Macintosh,2434
19-Feb-16,Google Android,1813
19-Feb-16,Apple iOS,1148
19-Feb-16,Chrome OS,44
19-Feb-16,Microsoft Windows Phone/Mobile,43
19-Feb-16,Nokia,33
19-Feb-16,Other,26
19-Feb-16,Blackberry,23
20-Feb-16,Microsoft Windows,6382
20-Feb-16,GNU/Linux,2852
20-Feb-16,Google Android,1970
20-Feb-16,Apple Macintosh,1676
20-Feb-16,Apple iOS,1275
20-Feb-16,Chrome OS,52
20-Feb-16,Microsoft Windows Phone/Mobile,37
20-Feb-16,Nokia,36
20-Feb-16,Other,32
20-Feb-16,Blackberry,21
21-Feb-16,Microsoft Windows,8551
21-Feb-16,Google Android,4534
21-Feb-16,GNU/Linux,4348
21-Feb-16,Apple Macintosh,2307
21-Feb-16,Apple iOS,2285
21-Feb-16,Microsoft Windows Phone/Mobile,104
21-Feb-16,Chrome OS,67
21-Feb-16,Nokia,48
21-Feb-16,Other,37
21-Feb-16,Blackberry,31
22-Feb-16,Microsoft Windows,11967
22-Feb-16,GNU/Linux,4073
22-Feb-16,Apple Macintosh,2975
22-Feb-16,Google Android,2322
22-Feb-16,Apple iOS,1328
22-Feb-16,Chrome OS,76
22-Feb-16,Microsoft Windows Phone/Mobile,59
22-Feb-16,Nokia,43
22-Feb-16,Other,37
22-Feb-16,Blackberry,19
23-Feb-16,Microsoft Windows,12692
23-Feb-16,GNU/Linux,4158
23-Feb-16,Apple Macintosh,3266
23-Feb-16,Google Android,2535
23-Feb-16,Apple iOS,1743
23-Feb-16,Microsoft Windows Phone/Mobile,76
23-Feb-16,Chrome OS,67
23-Feb-16,Nokia,35
23-Feb-16,Other,32
23-Feb-16,Blackberry,26
24-Feb-16,Microsoft Windows,11630
24-Feb-16,GNU/Linux,3755
24-Feb-16,Apple Macintosh,2991
24-Feb-16,Google Android,2348
24-Feb-16,Apple iOS,1488
24-Feb-16,Chrome OS,59
24-Feb-16,Other,45
24-Feb-16,Microsoft Windows Phone/Mobile,43
24-Feb-16,Nokia,41
24-Feb-16,Blackberry,37
25-Feb-16,Microsoft Windows,11484
25-Feb-16,GNU/Linux,3818
25-Feb-16,Apple Macintosh,2742
25-Feb-16,Google Android,2293
25-Feb-16,Apple iOS,1285
25-Feb-16,Chrome OS,58
25-Feb-16,Microsoft Windows Phone/Mobile,49
25-Feb-16,Other,38
25-Feb-16,Nokia,37
25-Feb-16,Blackberry,37
26-Feb-16,Microsoft Windows,10182
26-Feb-16,GNU/Linux,3914
26-Feb-16,Apple Macintosh,2514
26-Feb-16,Google Android,2349
26-Feb-16,Apple iOS,1247
26-Feb-16,Chrome OS,80
26-Feb-16,Microsoft Windows Phone/Mobile,56
26-Feb-16,Nokia,40
26-Feb-16,Other,29
26-Feb-16,Blackberry,21
27-Feb-16,Microsoft Windows,6025
27-Feb-16,GNU/Linux,2861
27-Feb-16,Google Android,2157
27-Feb-16,Apple Macintosh,1646
27-Feb-16,Apple iOS,1334
27-Feb-16,Chrome OS,53
27-Feb-16,Microsoft Windows Phone/Mobile,40
27-Feb-16,Nokia,39
27-Feb-16,Other,28
27-Feb-16,Blackberry,20
28-Feb-16,Microsoft Windows,6221
28-Feb-16,GNU/Linux,3039
28-Feb-16,Google Android,1964
28-Feb-16,Apple Macintosh,1803
28-Feb-16,Apple iOS,1217
28-Feb-16,Chrome OS,54
28-Feb-16,Nokia,47
28-Feb-16,Microsoft Windows Phone/Mobile,36
28-Feb-16,Other,23
28-Feb-16,Blackberry,18
29-Feb-16,Microsoft Windows,16450
29-Feb-16,GNU/Linux,5407
29-Feb-16,Apple Macintosh,4331
29-Feb-16,Google Android,3687
29-Feb-16,Apple iOS,2464
29-Feb-16,Microsoft Windows Phone/Mobile,105
29-Feb-16,Chrome OS,90
29-Feb-16,Blackberry,37
29-Feb-16,Nokia,35
29-Feb-16,Other,28
1-Mar-16,Microsoft Windows,14497
1-Mar-16,GNU/Linux,5512
1-Mar-16,Apple Macintosh,3913
1-Mar-16,Google Android,3812
1-Mar-16,Apple iOS,2214
1-Mar-16,Microsoft Windows Phone/Mobile,102
1-Mar-16,Chrome OS,80
1-Mar-16,Nokia,56
1-Mar-16,Other,48
1-Mar-16,Blackberry,38
2-Mar-16,Microsoft Windows,13548
2-Mar-16,GNU/Linux,4742
2-Mar-16,Apple Macintosh,3229
2-Mar-16,Google Android,2858
2-Mar-16,Apple iOS,1645
2-Mar-16,Chrome OS,90
2-Mar-16,Microsoft Windows Phone/Mobile,66
2-Mar-16,Nokia,55
2-Mar-16,Other,33
2-Mar-16,Blackberry,31
3-Mar-16,Microsoft Windows,12913
3-Mar-16,GNU/Linux,4525
3-Mar-16,Google Android,3458
3-Mar-16,Apple Macintosh,3316
3-Mar-16,Apple iOS,2005
3-Mar-16,Chrome OS,67
3-Mar-16,Microsoft Windows Phone/Mobile,67
3-Mar-16,Nokia,55
3-Mar-16,Blackberry,36
