Date,Operating Systems,Visits
19-Feb-16,Windows 7,5513
19-Feb-16,Windows 10,2635
19-Feb-16,Windows 8.1,1846
19-Feb-16,Windows XP,231
19-Feb-16,Windows 8,207
19-Feb-16,Windows Vista,62
19-Feb-16,Windows Server 2003 and XP x64 Edition,7
20-Feb-16,Windows 10,2540
20-Feb-16,Windows 7,2512
20-Feb-16,Windows 8.1,889
20-Feb-16,Windows 8,196
20-Feb-16,Windows XP,159
20-Feb-16,Windows Vista,81
20-Feb-16,Windows Server 2003 and XP x64 Edition,3
20-Feb-16,Windows 3.x,1
20-Feb-16,Windows 98,1
21-Feb-16,Windows 7,3580
21-Feb-16,Windows 10,3179
21-Feb-16,Windows 8.1,1208
21-Feb-16,Windows 8,210
21-Feb-16,Windows Vista,197
21-Feb-16,Windows XP,168
21-Feb-16,Windows Server 2003 and XP x64 Edition,5
21-Feb-16,Windows 2000/NT 5,1
21-Feb-16,Windows 3.x,1
21-Feb-16,Windows 98,1
22-Feb-16,Windows 7,6708
22-Feb-16,Windows 10,3134
22-Feb-16,Windows 8.1,1576
22-Feb-16,Windows 8,248
22-Feb-16,Windows XP,221
22-Feb-16,Windows Vista,72
22-Feb-16,Windows Server 2003 and XP x64 Edition,7
22-Feb-16,Windows 2000/NT 5,1
23-Feb-16,Windows 7,7135
23-Feb-16,Windows 10,3280
23-Feb-16,Windows 8.1,1667
23-Feb-16,Windows XP,267
23-Feb-16,Windows 8,262
23-Feb-16,Windows Vista,69
23-Feb-16,Windows Server 2003 and XP x64 Edition,10
23-Feb-16,Windows 3.x,2
24-Feb-16,Windows 7,6412
24-Feb-16,Windows 10,3112
24-Feb-16,Windows 8.1,1509
24-Feb-16,Windows XP,257
24-Feb-16,Windows 8,253
24-Feb-16,Windows Vista,81
24-Feb-16,Windows Server 2003 and XP x64 Edition,6
25-Feb-16,Windows 7,6374
25-Feb-16,Windows 10,2963
25-Feb-16,Windows 8.1,1584
25-Feb-16,Windows 8,249
25-Feb-16,Windows XP,231
25-Feb-16,Windows Vista,79
25-Feb-16,Windows Server 2003 and XP x64 Edition,3
25-Feb-16,Windows 3.x,1
26-Feb-16,Windows 7,5578
26-Feb-16,Windows 10,2749
26-Feb-16,Windows 8.1,1346
26-Feb-16,Windows XP,228
26-Feb-16,Windows 8,201
26-Feb-16,Windows Vista,75
26-Feb-16,Windows Server 2003 and XP x64 Edition,3
26-Feb-16,Media Center 2005,1
26-Feb-16,Windows 3.x,1
