Date,Browser Type,Visits
19-Feb-16,Google,639
19-Feb-16,Mozilla,304
19-Feb-16,Microsoft,201
19-Feb-16,Apple,72
19-Feb-16,Opera,4
19-Feb-16,Other,2
20-Feb-16,Google,131
20-Feb-16,Mozilla,91
20-Feb-16,Microsoft,26
20-Feb-16,Apple,9
20-Feb-16,Yandex,1
20-Feb-16,Opera,1
21-Feb-16,Google,181
21-Feb-16,Mozilla,92
21-Feb-16,Microsoft,58
21-Feb-16,Apple,24
21-Feb-16,Opera,2
21-Feb-16,Other,2
22-Feb-16,Google,669
22-Feb-16,Mozilla,365
22-Feb-16,Microsoft,251
22-Feb-16,Apple,64
22-Feb-16,Yandex,2
22-Feb-16,Other,2
23-Feb-16,Google,674
23-Feb-16,Mozilla,343
23-Feb-16,Microsoft,220
23-Feb-16,Apple,87
23-Feb-16,Other,2
23-Feb-16,Yandex,1
23-Feb-16,UC Web,1
24-Feb-16,Google,757
24-Feb-16,Mozilla,349
24-Feb-16,Microsoft,254
24-Feb-16,Apple,65
24-Feb-16,Other,4
24-Feb-16,Yandex,2
25-Feb-16,Google,700
25-Feb-16,Mozilla,358
25-Feb-16,Microsoft,242
25-Feb-16,Apple,91
25-Feb-16,Yandex,3
25-Feb-16,Other,1
26-Feb-16,Google,560
26-Feb-16,Mozilla,251
26-Feb-16,Microsoft,177
26-Feb-16,Apple,50
26-Feb-16,Opera,2
26-Feb-16,UC Web,1
27-Feb-16,Google,112
27-Feb-16,Mozilla,47
27-Feb-16,Microsoft,20
27-Feb-16,Apple,12
27-Feb-16,Opera,1
28-Feb-16,Google,161
28-Feb-16,Mozilla,61
28-Feb-16,Microsoft,48
28-Feb-16,Apple,21
28-Feb-16,Yandex,2
28-Feb-16,Opera,1
28-Feb-16,Other,1
29-Feb-16,Google,689
29-Feb-16,Mozilla,318
29-Feb-16,Microsoft,178
29-Feb-16,Apple,74
29-Feb-16,Other,3
29-Feb-16,Yandex,1
29-Feb-16,Amazon,1
29-Feb-16,Opera,1
1-Mar-16,Google,713
1-Mar-16,Mozilla,320
1-Mar-16,Microsoft,245
1-Mar-16,Apple,70
1-Mar-16,Yandex,2
1-Mar-16,Other,2
1-Mar-16,Opera,1
2-Mar-16,Google,644
2-Mar-16,Mozilla,324
2-Mar-16,Microsoft,255
2-Mar-16,Apple,58
2-Mar-16,Yandex,1
2-Mar-16,UC Web,1
2-Mar-16,Opera,1
2-Mar-16,Other,1
3-Mar-16,Google,624
3-Mar-16,Mozilla,333
3-Mar-16,Microsoft,259
3-Mar-16,Apple,59
3-Mar-16,Other,4
3-Mar-16,Opera,3
3-Mar-16,Yandex,1
4-Mar-16,Google,574
4-Mar-16,Mozilla,256
4-Mar-16,Microsoft,177
4-Mar-16,Apple,45
4-Mar-16,Other,5
4-Mar-16,Yandex,2
4-Mar-16,Opera,2
4-Mar-16,BlackBerry,1
5-Mar-16,Google,101
5-Mar-16,Mozilla,73
5-Mar-16,Microsoft,27
5-Mar-16,Apple,15
5-Mar-16,Other,1
6-Mar-16,Google,161
6-Mar-16,Mozilla,83
6-Mar-16,Microsoft,50
6-Mar-16,Apple,20
6-Mar-16,Other,4
7-Mar-16,Google,700
7-Mar-16,Mozilla,348
7-Mar-16,Microsoft,244
7-Mar-16,Apple,70
7-Mar-16,Other,3
7-Mar-16,Yandex,2
8-Mar-16,Google,707
8-Mar-16,Mozilla,325
8-Mar-16,Microsoft,233
8-Mar-16,Apple,62
8-Mar-16,Other,5
8-Mar-16,Yandex,1
8-Mar-16,UC Web,1
8-Mar-16,BlackBerry,1
8-Mar-16,Opera,1
9-Mar-16,Google,609
9-Mar-16,Mozilla,297
9-Mar-16,Microsoft,215
9-Mar-16,Apple,40
9-Mar-16,BlackBerry,2
9-Mar-16,Yandex,1
9-Mar-16,Opera,1
9-Mar-16,Other,1
10-Mar-16,Google,648
10-Mar-16,Mozilla,337
10-Mar-16,Microsoft,226
10-Mar-16,Apple,59
10-Mar-16,UC Web,1
10-Mar-16,BlackBerry,1
11-Mar-16,Google,603
11-Mar-16,Mozilla,270
11-Mar-16,Microsoft,149
11-Mar-16,Apple,50
11-Mar-16,Yandex,2
11-Mar-16,Other,1
12-Mar-16,Google,113
12-Mar-16,Mozilla,75
12-Mar-16,Microsoft,17
12-Mar-16,Apple,14
13-Mar-16,Google,195
13-Mar-16,Mozilla,103
13-Mar-16,Microsoft,45
13-Mar-16,Apple,21
13-Mar-16,Yandex,1
13-Mar-16,Other,1
14-Mar-16,Google,733
14-Mar-16,Mozilla,290
14-Mar-16,Microsoft,199
14-Mar-16,Apple,47
14-Mar-16,Other,3
14-Mar-16,Yandex,1
14-Mar-16,Opera,1
15-Mar-16,Google,708
15-Mar-16,Mozilla,252
15-Mar-16,Microsoft,166
15-Mar-16,Apple,65
15-Mar-16,Yandex,3
15-Mar-16,UC Web,1
15-Mar-16,Other,1
16-Mar-16,Google,663
16-Mar-16,Mozilla,280
16-Mar-16,Microsoft,183
16-Mar-16,Apple,76
16-Mar-16,Other,8
16-Mar-16,Yandex,2
17-Mar-16,Google,581
17-Mar-16,Mozilla,274
17-Mar-16,Microsoft,196
17-Mar-16,Apple,53
17-Mar-16,Other,2
17-Mar-16,Yandex,1
17-Mar-16,Amazon,1
18-Mar-16,Google,524
18-Mar-16,Mozilla,259
