Date,Device,Visits
19-Feb-16,Desktop,1197
19-Feb-16,Mobile,21
19-Feb-16,Tablet,4
20-Feb-16,Desktop,245
20-Feb-16,Mobile,8
20-Feb-16,Tablet,6
21-Feb-16,Desktop,340
21-Feb-16,Mobile,13
21-Feb-16,Tablet,5
22-Feb-16,Desktop,1334
22-Feb-16,Mobile,15
22-Feb-16,Tablet,4
23-Feb-16,Desktop,1297
23-Feb-16,Mobile,26
23-Feb-16,Tablet,5
24-Feb-16,Desktop,1402
24-Feb-16,Mobile,21
24-Feb-16,Tablet,8
25-Feb-16,Desktop,1361
25-Feb-16,Mobile,25
25-Feb-16,Tablet,9
26-Feb-16,Desktop,1017
26-Feb-16,Mobile,21
26-Feb-16,Tablet,3
27-Feb-16,Desktop,176
27-Feb-16,Mobile,12
27-Feb-16,Tablet,4
28-Feb-16,Desktop,283
28-Feb-16,Mobile,5
28-Feb-16,Tablet,7
29-Feb-16,Desktop,1230
29-Feb-16,Mobile,26
29-Feb-16,Tablet,9
1-Mar-16,Desktop,1321
1-Mar-16,Mobile,24
1-Mar-16,Tablet,8
2-Mar-16,Desktop,1254
2-Mar-16,Mobile,25
2-Mar-16,Tablet,6
3-Mar-16,Desktop,1256
3-Mar-16,Mobile,19
3-Mar-16,Tablet,8
4-Mar-16,Desktop,1036
4-Mar-16,Mobile,18
4-Mar-16,Tablet,8
5-Mar-16,Desktop,195
5-Mar-16,Mobile,16
5-Mar-16,Tablet,6
6-Mar-16,Desktop,299
6-Mar-16,Mobile,16
6-Mar-16,Tablet,3
7-Mar-16,Desktop,1338
7-Mar-16,Mobile,19
7-Mar-16,Tablet,10
8-Mar-16,Desktop,1308
8-Mar-16,Mobile,24
8-Mar-16,Tablet,4
9-Mar-16,Desktop,1147
9-Mar-16,Mobile,14
9-Mar-16,Tablet,5
10-Mar-16,Desktop,1249
10-Mar-16,Mobile,15
10-Mar-16,Tablet,8
11-Mar-16,Desktop,1056
11-Mar-16,Mobile,14
11-Mar-16,Tablet,5
12-Mar-16,Desktop,208
12-Mar-16,Mobile,10
12-Mar-16,Tablet,1
13-Mar-16,Desktop,348
13-Mar-16,Mobile,13
13-Mar-16,Tablet,5
14-Mar-16,Desktop,1257
14-Mar-16,Mobile,15
14-Mar-16,Tablet,2
15-Mar-16,Desktop,1173
15-Mar-16,Mobile,20
15-Mar-16,Tablet,1
16-Mar-16,Desktop,1177
16-Mar-16,Mobile,27
16-Mar-16,Tablet,8
17-Mar-16,Desktop,1091
17-Mar-16,Mobile,12
17-Mar-16,Tablet,5
18-Mar-16,Desktop,973
18-Mar-16,Mobile,17
18-Mar-16,Tablet,3
19-Mar-16,Desktop,208
19-Mar-16,Mobile,13
19-Mar-16,Tablet,6
20-Mar-16,Desktop,284
20-Mar-16,Mobile,11
20-Mar-16,Tablet,5
21-Mar-16,Desktop,1092
21-Mar-16,Mobile,22
21-Mar-16,Tablet,3
22-Mar-16,Desktop,1089
22-Mar-16,Mobile,12
22-Mar-16,Tablet,5
23-Mar-16,Desktop,1244
23-Mar-16,Mobile,23
23-Mar-16,Tablet,4
24-Mar-16,Desktop,888
24-Mar-16,Mobile,23
24-Mar-16,Tablet,8
25-Mar-16,Desktop,491
25-Mar-16,Mobile,8
25-Mar-16,Tablet,7
26-Mar-16,Desktop,206
26-Mar-16,Mobile,8
26-Mar-16,Tablet,3
27-Mar-16,Desktop,309
27-Mar-16,Mobile,9
27-Mar-16,Tablet,4
28-Mar-16,Desktop,904
28-Mar-16,Mobile,7
28-Mar-16,Tablet,0
29-Mar-16,Desktop,1228
29-Mar-16,Mobile,12
29-Mar-16,Tablet,1
30-Mar-16,Desktop,1224
30-Mar-16,Mobile,17
30-Mar-16,Tablet,3
31-Mar-16,Desktop,1136
31-Mar-16,Mobile,15
31-Mar-16,Tablet,3
1-Apr-16,Desktop,1303
1-Apr-16,Mobile,24
1-Apr-16,Tablet,5
2-Apr-16,Desktop,303
2-Apr-16,Mobile,17
2-Apr-16,Tablet,4
3-Apr-16,Desktop,412
3-Apr-16,Mobile,23
3-Apr-16,Tablet,8
4-Apr-16,Desktop,1470
4-Apr-16,Mobile,19
4-Apr-16,Tablet,14
5-Apr-16,Desktop,1362
5-Apr-16,Mobile,25
5-Apr-16,Tablet,8
6-Apr-16,Desktop,1328
6-Apr-16,Mobile,22
6-Apr-16,Tablet,4
7-Apr-16,Desktop,1158
7-Apr-16,Mobile,25
7-Apr-16,Tablet,10
8-Apr-16,Desktop,1041
8-Apr-16,Mobile,17
8-Apr-16,Tablet,4
9-Apr-16,Desktop,240
9-Apr-16,Mobile,11
9-Apr-16,Tablet,8
10-Apr-16,Desktop,309
10-Apr-16,Mobile,9
