Date,Browser,Visits
19-Feb-16,Microsoft Internet Explorer 11,152
19-Feb-16,Microsoft Edge 13,17
19-Feb-16,Microsoft Internet Explorer 10,13
19-Feb-16,Microsoft Edge 12,12
19-Feb-16,Microsoft Internet Explorer 8,5
19-Feb-16,Microsoft Internet Explorer 9,2
20-Feb-16,Microsoft Internet Explorer 11,14
20-Feb-16,Microsoft Edge 13,7
20-Feb-16,Microsoft Internet Explorer 10,2
20-Feb-16,Microsoft Internet Explorer 9,2
20-Feb-16,Microsoft Edge 12,1
21-Feb-16,Microsoft Internet Explorer 11,44
21-Feb-16,Microsoft Edge 13,8
21-Feb-16,Microsoft Edge 12,2
21-Feb-16,Microsoft Internet Explorer 10,2
21-Feb-16,Microsoft Internet Explorer 9,1
21-Feb-16,Microsoft Internet Explorer 8,1
22-Feb-16,Microsoft Internet Explorer 11,196
22-Feb-16,Microsoft Edge 13,25
22-Feb-16,Microsoft Internet Explorer 10,17
22-Feb-16,Microsoft Internet Explorer 9,5
22-Feb-16,Microsoft Internet Explorer 8,5
22-Feb-16,Microsoft Edge 12,2
22-Feb-16,Internet Explorer Mobile 11.0,1
23-Feb-16,Microsoft Internet Explorer 11,179
23-Feb-16,Microsoft Edge 13,14
23-Feb-16,Microsoft Internet Explorer 10,8
23-Feb-16,Microsoft Internet Explorer 8,6
23-Feb-16,Microsoft Edge 12,5
23-Feb-16,Microsoft Internet Explorer 9,5
23-Feb-16,Internet Explorer Mobile 11.0,2
23-Feb-16,Microsoft Internet Explorer (unknown version),1
24-Feb-16,Microsoft Internet Explorer 11,194
24-Feb-16,Microsoft Edge 13,23
24-Feb-16,Microsoft Internet Explorer 10,21
24-Feb-16,Microsoft Internet Explorer 9,6
24-Feb-16,Microsoft Internet Explorer 8,5
24-Feb-16,Microsoft Edge 12,4
24-Feb-16,Microsoft Internet Explorer 7.0,1
25-Feb-16,Microsoft Internet Explorer 11,195
25-Feb-16,Microsoft Edge 13,17
25-Feb-16,Microsoft Internet Explorer 10,10
25-Feb-16,Microsoft Edge 12,9
25-Feb-16,Microsoft Internet Explorer 8,6
25-Feb-16,Microsoft Internet Explorer 9,5
26-Feb-16,Microsoft Internet Explorer 11,130
26-Feb-16,Microsoft Edge 13,18
26-Feb-16,Microsoft Internet Explorer 10,17
26-Feb-16,Microsoft Edge 12,8
26-Feb-16,Internet Explorer Mobile 11.0,3
26-Feb-16,Microsoft Internet Explorer 9,1
27-Feb-16,Microsoft Internet Explorer 11,20
28-Feb-16,Microsoft Internet Explorer 11,42
28-Feb-16,Microsoft Edge 13,3
28-Feb-16,Microsoft Edge 12,2
28-Feb-16,Microsoft Internet Explorer 10,1
29-Feb-16,Microsoft Internet Explorer 11,150
29-Feb-16,Microsoft Edge 13,10
29-Feb-16,Microsoft Internet Explorer 10,7
29-Feb-16,Microsoft Edge 12,4
29-Feb-16,Microsoft Internet Explorer 8,4
29-Feb-16,Microsoft Internet Explorer 9,2
29-Feb-16,Internet Explorer Mobile 11.0,1
1-Mar-16,Microsoft Internet Explorer 11,214
1-Mar-16,Microsoft Edge 13,15
1-Mar-16,Microsoft Internet Explorer 10,6
1-Mar-16,Microsoft Edge 12,5
1-Mar-16,Internet Explorer Mobile 11.0,2
1-Mar-16,Microsoft Internet Explorer 9,2
1-Mar-16,Microsoft Internet Explorer 8,1
2-Mar-16,Microsoft Internet Explorer 11,203
2-Mar-16,Microsoft Edge 13,17
2-Mar-16,Microsoft Edge 12,12
2-Mar-16,Microsoft Internet Explorer 10,11
2-Mar-16,Microsoft Internet Explorer 9,10
2-Mar-16,Internet Explorer Mobile 11.0,1
2-Mar-16,Microsoft Internet Explorer 8,1
3-Mar-16,Microsoft Internet Explorer 11,198
3-Mar-16,Microsoft Edge 13,23
3-Mar-16,Microsoft Internet Explorer 10,16
3-Mar-16,Microsoft Edge 12,13
3-Mar-16,Microsoft Internet Explorer 8,5
3-Mar-16,Microsoft Internet Explorer 9,4
4-Mar-16,Microsoft Internet Explorer 11,137
4-Mar-16,Microsoft Internet Explorer 10,15
4-Mar-16,Microsoft Internet Explorer 8,12
4-Mar-16,Microsoft Edge 13,7
4-Mar-16,Microsoft Edge 12,3
4-Mar-16,Microsoft Internet Explorer 9,3
5-Mar-16,Microsoft Internet Explorer 11,19
5-Mar-16,Microsoft Internet Explorer 10,2
5-Mar-16,Internet Explorer 11.0,1
5-Mar-16,Microsoft Edge 13,1
5-Mar-16,Microsoft Edge 12,1
5-Mar-16,Internet Explorer Mobile 11.0,1
5-Mar-16,Microsoft Internet Explorer 9,1
5-Mar-16,Microsoft Internet Explorer 8,1
6-Mar-16,Microsoft Internet Explorer 11,42
6-Mar-16,Microsoft Internet Explorer 10,2
6-Mar-16,Microsoft Internet Explorer 9,2
6-Mar-16,Internet Explorer 11.0,1
6-Mar-16,Microsoft Edge 13,1
6-Mar-16,Microsoft Edge 12,1
