Date,Operating System Types,Visits
19-Feb-16,Microsoft Windows,936
19-Feb-16,Apple Macintosh,159
19-Feb-16,GNU/Linux,101
19-Feb-16,Google Android,14
19-Feb-16,Apple iOS,9
19-Feb-16,Nokia,1
19-Feb-16,Chrome OS,1
19-Feb-16,Samsung,1
20-Feb-16,Microsoft Windows,192
20-Feb-16,Apple Macintosh,31
20-Feb-16,GNU/Linux,21
20-Feb-16,Google Android,9
20-Feb-16,Apple iOS,5
20-Feb-16,Chrome OS,1
21-Feb-16,Microsoft Windows,274
21-Feb-16,Apple Macintosh,42
21-Feb-16,GNU/Linux,24
21-Feb-16,Google Android,10
21-Feb-16,Apple iOS,9
22-Feb-16,Microsoft Windows,1052
22-Feb-16,Apple Macintosh,146
22-Feb-16,GNU/Linux,134
22-Feb-16,Apple iOS,13
22-Feb-16,Google Android,5
22-Feb-16,Chrome OS,2
22-Feb-16,Microsoft Windows Phone/Mobile,1
23-Feb-16,Microsoft Windows,972
23-Feb-16,Apple Macintosh,183
23-Feb-16,GNU/Linux,141
23-Feb-16,Apple iOS,17
23-Feb-16,Google Android,12
23-Feb-16,Microsoft Windows Phone/Mobile,2
23-Feb-16,UNIX,1
24-Feb-16,Microsoft Windows,1093
24-Feb-16,Apple Macintosh,202
24-Feb-16,GNU/Linux,107
24-Feb-16,Google Android,17
24-Feb-16,Apple iOS,12
25-Feb-16,Microsoft Windows,1002
25-Feb-16,Apple Macintosh,212
25-Feb-16,GNU/Linux,145
25-Feb-16,Apple iOS,28
25-Feb-16,Google Android,6
25-Feb-16,Chrome OS,2
26-Feb-16,Microsoft Windows,767
26-Feb-16,Apple Macintosh,143
26-Feb-16,GNU/Linux,107
26-Feb-16,Google Android,12
26-Feb-16,Apple iOS,9
26-Feb-16,Microsoft Windows Phone/Mobile,3
27-Feb-16,Microsoft Windows,134
27-Feb-16,Apple Macintosh,21
27-Feb-16,GNU/Linux,21
27-Feb-16,Apple iOS,11
27-Feb-16,Google Android,5
28-Feb-16,Microsoft Windows,209
28-Feb-16,Apple Macintosh,40
28-Feb-16,GNU/Linux,34
28-Feb-16,Apple iOS,7
28-Feb-16,Google Android,5
29-Feb-16,Microsoft Windows,932
29-Feb-16,Apple Macintosh,164
29-Feb-16,GNU/Linux,134
29-Feb-16,Apple iOS,20
29-Feb-16,Google Android,13
29-Feb-16,Microsoft Windows Phone/Mobile,2
1-Mar-16,Microsoft Windows,1014
1-Mar-16,Apple Macintosh,164
1-Mar-16,GNU/Linux,141
1-Mar-16,Google Android,16
1-Mar-16,Apple iOS,14
1-Mar-16,Chrome OS,2
1-Mar-16,Microsoft Windows Phone/Mobile,2
2-Mar-16,Microsoft Windows,958
2-Mar-16,Apple Macintosh,158
2-Mar-16,GNU/Linux,138
2-Mar-16,Apple iOS,16
2-Mar-16,Google Android,14
2-Mar-16,Microsoft Windows Phone/Mobile,1
3-Mar-16,Microsoft Windows,1005
3-Mar-16,Apple Macintosh,133
3-Mar-16,GNU/Linux,116
3-Mar-16,Apple iOS,14
3-Mar-16,Google Android,13
3-Mar-16,Chrome OS,2
4-Mar-16,Microsoft Windows,797
4-Mar-16,Apple Macintosh,125
4-Mar-16,GNU/Linux,112
4-Mar-16,Google Android,15
4-Mar-16,Apple iOS,10
4-Mar-16,Chrome OS,1
4-Mar-16,UNIX,1
4-Mar-16,Blackberry,1
5-Mar-16,Microsoft Windows,147
5-Mar-16,GNU/Linux,27
5-Mar-16,Apple Macintosh,21
5-Mar-16,Apple iOS,13
5-Mar-16,Google Android,7
5-Mar-16,Microsoft Windows Phone/Mobile,2
6-Mar-16,Microsoft Windows,227
6-Mar-16,Apple Macintosh,45
6-Mar-16,GNU/Linux,27
6-Mar-16,Apple iOS,11
6-Mar-16,Google Android,7
6-Mar-16,Microsoft Windows Phone/Mobile,1
7-Mar-16,Microsoft Windows,1010
7-Mar-16,Apple Macintosh,186
7-Mar-16,GNU/Linux,139
7-Mar-16,Apple iOS,15
7-Mar-16,Google Android,12
7-Mar-16,Chrome OS,3
7-Mar-16,Microsoft Windows Phone/Mobile,2
8-Mar-16,Microsoft Windows,1013
8-Mar-16,GNU/Linux,149
8-Mar-16,Apple Macintosh,145
8-Mar-16,Google Android,14
8-Mar-16,Apple iOS,12
8-Mar-16,Nokia,1
8-Mar-16,UNIX,1
8-Mar-16,Blackberry,1
9-Mar-16,Microsoft Windows,901
9-Mar-16,GNU/Linux,125
9-Mar-16,Apple Macintosh,118
9-Mar-16,Google Android,11
9-Mar-16,Apple iOS,6
9-Mar-16,Chrome OS,2
9-Mar-16,Blackberry,2
