Download Link,URL,Download Link Instances
https://partnercenter.force.com/s/resources_PriceList_EUR_EMEA.xls,partnercenter.force.com/storybookcontentdisplay,7
https://partnercenter.force.com/s/Howtoguide-accessandregisterforRedHatOPENpartnertraining.pdf,partnercenter.force.com/s/help,5
https://partnercenter.force.com/s/training_OPEN_brochure.pdf,partnercenter.force.com/s/training,4
https://www.jboss.org/download-manager/file/jboss-devstudio-9.1.0.GA-installer-standalone.jar,www.jboss.org/products/devstudio/download/,1
https://partnercenter.force.com/s/resources_PriceList_LATAM_SAC.xls,partnercenter.force.com/apex/storybookcontentdisplay,3
https://partnercenter.force.com/s/training_OPEN_accred_datasheet.pdf,partnercenter.force.com/s/training,3
https://partnercenter.force.com/s/HowTo_JoinCompanyandPortalAccess_FINAL.v2.dd.10.29.2014.pdf,partnercenter.force.com/s/help,3
https://partnercenter.force.com/s/RHlogo_Ready.zip,partnercenter.force.com/apex/storybookcontentdisplay,3
https://partnercenter.force.com/s/Howtoguide-RedHatpartnershiprequalification1.pdf,partnercenter.force.com/s/help,3
https://www.redhat.com/files/resources/EMEA-Partner-Agreement-20150306.pdf,www.redhat.com/it/about/red-hat-partner-agreements,1
https://www.redhat.com/en/files/resources/en-osen-deploying-managing-private-paas-openshift-enterpri,www.redhat.com/en/resources/deploying-and-managing-private-paas-openshift-enterprise,2
https://www.redhat.com/cms/managed-files/rh-red-hat-enterprise-virtualization-datasheet-inc0357242mm,www.redhat.com/en/resources/red-hat-enterprise-virtualization-datasheet,1
https://partnercenter.force.com/s/Howtoguide-navigateRedHatConnectforBusinessPartnersinfographic.pdf,partnercenter.force.com/s/help,2
https://www.redhat.com/ja/cms/public/PartnerProgramGuideJP.pdf,www.redhat.com/ja/global/japan/partners,2
https://partnercenter.force.com/s/RHlogo_Partner.zip,partnercenter.force.com/apex/storybookcontentdisplay,2
http://rhel.redhat.com/sites/default/files/PWOB_infographic_v9.pdf,partnercenter.force.com/s/fastrax_commoditize_virtual_infrastructure,2
https://partnercenter.force.com/s/resources_PriceList_USD_EMEA.xls,partnercenter.force.com/storybookcontentdisplay,2
