Date,OS,Visits
19-Feb-16,Windows 7,600
19-Feb-16,Windows 10,181
19-Feb-16,Windows 8.1,126
19-Feb-16,Windows 8,18
19-Feb-16,Windows XP,9
19-Feb-16,Windows Vista,2
20-Feb-16,Windows 7,113
20-Feb-16,Windows 10,48
20-Feb-16,Windows 8.1,25
20-Feb-16,Windows 8,4
20-Feb-16,Windows Server 2003 and XP x64 Edition,1
20-Feb-16,Windows XP,1
21-Feb-16,Windows 7,188
21-Feb-16,Windows 10,50
21-Feb-16,Windows 8.1,28
21-Feb-16,Windows 8,7
21-Feb-16,Windows XP,1
22-Feb-16,Windows 7,629
22-Feb-16,Windows 10,208
22-Feb-16,Windows 8.1,173
22-Feb-16,Windows 8,25
22-Feb-16,Windows XP,15
22-Feb-16,Windows Vista,2
23-Feb-16,Windows 7,608
23-Feb-16,Windows 10,176
23-Feb-16,Windows 8.1,151
23-Feb-16,Windows 8,22
23-Feb-16,Windows XP,12
23-Feb-16,Windows Vista,3
24-Feb-16,Windows 7,675
24-Feb-16,Windows 10,197
24-Feb-16,Windows 8.1,190
24-Feb-16,Windows 8,20
24-Feb-16,Windows XP,8
24-Feb-16,Windows Vista,3
25-Feb-16,Windows 7,607
25-Feb-16,Windows 8.1,193
25-Feb-16,Windows 10,166
25-Feb-16,Windows 8,23
25-Feb-16,Windows XP,8
25-Feb-16,Windows Vista,3
25-Feb-16,Windows Server 2003 and XP x64 Edition,2
26-Feb-16,Windows 7,455
26-Feb-16,Windows 10,177
26-Feb-16,Windows 8.1,117
26-Feb-16,Windows 8,13
26-Feb-16,Windows XP,5
27-Feb-16,Windows 7,67
27-Feb-16,Windows 10,41
27-Feb-16,Windows 8.1,25
27-Feb-16,Windows 8,1
28-Feb-16,Windows 7,118
28-Feb-16,Windows 10,44
28-Feb-16,Windows 8.1,40
28-Feb-16,Windows 8,6
28-Feb-16,Windows XP,1
29-Feb-16,Windows 7,581
29-Feb-16,Windows 8.1,170
29-Feb-16,Windows 10,156
29-Feb-16,Windows 8,20
29-Feb-16,Windows XP,4
29-Feb-16,Windows Vista,1
1-Mar-16,Windows 7,649
1-Mar-16,Windows 10,186
1-Mar-16,Windows 8.1,153
1-Mar-16,Windows 8,14
1-Mar-16,Windows XP,10
1-Mar-16,Windows Server 2003 and XP x64 Edition,2
2-Mar-16,Windows 7,602
2-Mar-16,Windows 10,165
2-Mar-16,Windows 8.1,162
2-Mar-16,Windows 8,15
2-Mar-16,Windows XP,9
2-Mar-16,Windows Vista,4
2-Mar-16,Windows Server 2003 and XP x64 Edition,1
3-Mar-16,Windows 7,632
3-Mar-16,Windows 10,198
3-Mar-16,Windows 8.1,157
3-Mar-16,Windows 8,9
3-Mar-16,Windows XP,9
4-Mar-16,Windows 7,502
4-Mar-16,Windows 10,145
4-Mar-16,Windows 8.1,129
4-Mar-16,Windows 8,12
4-Mar-16,Windows Vista,6
4-Mar-16,Windows XP,3
5-Mar-16,Windows 7,81
5-Mar-16,Windows 10,35
5-Mar-16,Windows 8.1,24
5-Mar-16,Windows Vista,5
5-Mar-16,Windows 8,1
5-Mar-16,Windows XP,1
6-Mar-16,Windows 7,124
6-Mar-16,Windows 10,45
6-Mar-16,Windows 8.1,45
6-Mar-16,Windows Vista,6
6-Mar-16,Windows 8,4
6-Mar-16,Windows XP,3
7-Mar-16,Windows 7,653
7-Mar-16,Windows 10,168
7-Mar-16,Windows 8.1,166
7-Mar-16,Windows 8,11
7-Mar-16,Windows XP,11
7-Mar-16,Windows Server 2003 and XP x64 Edition,1
8-Mar-16,Windows 7,635
8-Mar-16,Windows 10,194
8-Mar-16,Windows 8.1,154
8-Mar-16,Windows 8,21
8-Mar-16,Windows XP,8
8-Mar-16,Windows Vista,1
9-Mar-16,Windows 7,588
9-Mar-16,Windows 10,150
9-Mar-16,Windows 8.1,136
9-Mar-16,Windows 8,16
9-Mar-16,Windows XP,10
9-Mar-16,Windows Vista,1
10-Mar-16,Windows 7,629
10-Mar-16,Windows 8.1,174
10-Mar-16,Windows 10,157
10-Mar-16,Windows 8,20
10-Mar-16,Windows XP,8
11-Mar-16,Windows 7,524
11-Mar-16,Windows 10,147
11-Mar-16,Windows 8.1,124
11-Mar-16,Windows 8,17
11-Mar-16,Windows Vista,4
11-Mar-16,Windows XP,3
11-Mar-16,Windows 3.x,1
12-Mar-16,Windows 7,97
12-Mar-16,Windows 10,37
12-Mar-16,Windows 8.1,15
12-Mar-16,Windows 8,3
12-Mar-16,Windows XP,3
12-Mar-16,Windows Vista,2
13-Mar-16,Windows 7,158
13-Mar-16,Windows 10,58
13-Mar-16,Windows 8.1,37
13-Mar-16,Windows XP,3
