Day,Browser Type,Visits
19-Feb-16,Google,12906
19-Feb-16,Mozilla,12225
19-Feb-16,Microsoft,3343
19-Feb-16,Apple,2555
19-Feb-16,Other,119
19-Feb-16,UC Web,80
19-Feb-16,Opera,77
19-Feb-16,Yandex,20
19-Feb-16,BlackBerry,13
19-Feb-16,Amazon,4
20-Feb-16,Google,6475
20-Feb-16,Mozilla,4624
20-Feb-16,Apple,1759
20-Feb-16,Microsoft,942
20-Feb-16,UC Web,76
20-Feb-16,Opera,72
20-Feb-16,Other,66
20-Feb-16,Yandex,26
20-Feb-16,BlackBerry,10
20-Feb-16,Amazon,9
21-Feb-16,Google,7205
21-Feb-16,Mozilla,5204
21-Feb-16,Apple,1652
21-Feb-16,Microsoft,1565
21-Feb-16,Other,102
21-Feb-16,UC Web,84
21-Feb-16,Opera,81
21-Feb-16,Yandex,19
21-Feb-16,Amazon,7
21-Feb-16,BlackBerry,6
22-Feb-16,Google,15646
22-Feb-16,Mozilla,14633
22-Feb-16,Microsoft,4540
22-Feb-16,Apple,2370
22-Feb-16,Other,133
22-Feb-16,UC Web,85
22-Feb-16,Opera,75
22-Feb-16,Yandex,26
22-Feb-16,BlackBerry,11
22-Feb-16,Amazon,11
23-Feb-16,Google,15161
23-Feb-16,Mozilla,14005
23-Feb-16,Microsoft,4678
23-Feb-16,Apple,2334
23-Feb-16,Other,166
23-Feb-16,UC Web,91
23-Feb-16,Opera,82
23-Feb-16,Yandex,17
23-Feb-16,BlackBerry,16
23-Feb-16,Amazon,6
24-Feb-16,Google,15308
24-Feb-16,Mozilla,14059
24-Feb-16,Microsoft,4314
24-Feb-16,Apple,2264
24-Feb-16,Other,166
24-Feb-16,UC Web,94
24-Feb-16,Opera,86
24-Feb-16,Yandex,29
24-Feb-16,Amazon,12
24-Feb-16,BlackBerry,10
25-Feb-16,Google,14646
25-Feb-16,Mozilla,13116
25-Feb-16,Microsoft,4258
25-Feb-16,Apple,2047
25-Feb-16,Other,176
25-Feb-16,UC Web,91
25-Feb-16,Opera,73
25-Feb-16,Yandex,18
25-Feb-16,BlackBerry,12
25-Feb-16,Amazon,6
26-Feb-16,Google,12281
26-Feb-16,Mozilla,10805
26-Feb-16,Microsoft,3047
26-Feb-16,Apple,1868
26-Feb-16,Other,107
26-Feb-16,UC Web,99
26-Feb-16,Opera,75
26-Feb-16,Amazon,16
26-Feb-16,Yandex,15
26-Feb-16,BlackBerry,8
27-Feb-16,Google,6315
27-Feb-16,Mozilla,4049
27-Feb-16,Apple,1395
27-Feb-16,Microsoft,879
