Date,Device,Visits
19-Feb-16,Desktop,27839
19-Feb-16,Mobile,3012
19-Feb-16,Tablet,490
20-Feb-16,Desktop,11138
20-Feb-16,Mobile,2405
20-Feb-16,Tablet,509
21-Feb-16,Desktop,13375
21-Feb-16,Mobile,2069
21-Feb-16,Tablet,478
22-Feb-16,Desktop,34701
22-Feb-16,Mobile,2387
22-Feb-16,Tablet,435
23-Feb-16,Desktop,33699
23-Feb-16,Mobile,2426
23-Feb-16,Tablet,436
24-Feb-16,Desktop,33382
24-Feb-16,Mobile,2476
24-Feb-16,Tablet,491
25-Feb-16,Desktop,31708
25-Feb-16,Mobile,2337
25-Feb-16,Tablet,419
26-Feb-16,Desktop,25720
26-Feb-16,Mobile,2222
26-Feb-16,Tablet,391
27-Feb-16,Desktop,10451
27-Feb-16,Mobile,1954
27-Feb-16,Tablet,515
28-Feb-16,Desktop,12241
28-Feb-16,Mobile,2049
28-Feb-16,Tablet,511
29-Feb-16,Desktop,31834
29-Feb-16,Mobile,2345
29-Feb-16,Tablet,462
1-Mar-16,Desktop,32536
1-Mar-16,Mobile,2987
1-Mar-16,Tablet,704
2-Mar-16,Desktop,31870
2-Mar-16,Mobile,2551
2-Mar-16,Tablet,529
3-Mar-16,Desktop,31361
3-Mar-16,Mobile,2584
3-Mar-16,Tablet,492
4-Mar-16,Desktop,25315
4-Mar-16,Mobile,2476
4-Mar-16,Tablet,409
5-Mar-16,Desktop,11018
5-Mar-16,Mobile,2801
5-Mar-16,Tablet,464
6-Mar-16,Desktop,13129
6-Mar-16,Mobile,2438
6-Mar-16,Tablet,478
7-Mar-16,Desktop,31529
7-Mar-16,Mobile,2613
7-Mar-16,Tablet,424
8-Mar-16,Desktop,32908
8-Mar-16,Mobile,3370
8-Mar-16,Tablet,543
9-Mar-16,Desktop,33658
9-Mar-16,Mobile,3036
9-Mar-16,Tablet,480
10-Mar-16,Desktop,33198
10-Mar-16,Mobile,2818
10-Mar-16,Tablet,480
11-Mar-16,Desktop,26576
11-Mar-16,Mobile,2573
11-Mar-16,Tablet,403
12-Mar-16,Desktop,11013
12-Mar-16,Mobile,2304
12-Mar-16,Tablet,453
13-Mar-16,Desktop,12614
13-Mar-16,Mobile,2384
13-Mar-16,Tablet,524
14-Mar-16,Desktop,32997
14-Mar-16,Mobile,2869
14-Mar-16,Tablet,508
15-Mar-16,Desktop,33835
15-Mar-16,Mobile,3052
15-Mar-16,Tablet,550
16-Mar-16,Desktop,32663
16-Mar-16,Mobile,3185
16-Mar-16,Tablet,548
17-Mar-16,Desktop,29704
17-Mar-16,Mobile,2683
17-Mar-16,Tablet,468
18-Mar-16,Desktop,25200
18-Mar-16,Mobile,2957
18-Mar-16,Tablet,536
19-Mar-16,Desktop,10673
19-Mar-16,Mobile,2526
19-Mar-16,Tablet,645
20-Mar-16,Desktop,11889
20-Mar-16,Mobile,2362
20-Mar-16,Tablet,598
21-Mar-16,Desktop,30408
21-Mar-16,Mobile,2693
21-Mar-16,Tablet,537
22-Mar-16,Desktop,32589
22-Mar-16,Mobile,3302
22-Mar-16,Tablet,510
23-Mar-16,Desktop,34466
23-Mar-16,Mobile,5393
23-Mar-16,Tablet,833
24-Mar-16,Desktop,45795
24-Mar-16,Mobile,4347
24-Mar-16,Tablet,730
25-Mar-16,Desktop,19010
25-Mar-16,Mobile,2951
25-Mar-16,Tablet,513
26-Mar-16,Desktop,9591
26-Mar-16,Mobile,2067
26-Mar-16,Tablet,508
27-Mar-16,Desktop,10810
27-Mar-16,Mobile,2446
27-Mar-16,Tablet,465
28-Mar-16,Desktop,25477
28-Mar-16,Mobile,2257
28-Mar-16,Tablet,433
29-Mar-16,Desktop,32707
29-Mar-16,Mobile,3183
29-Mar-16,Tablet,516
30-Mar-16,Desktop,32140
30-Mar-16,Mobile,2969
30-Mar-16,Tablet,512
31-Mar-16,Desktop,31301
31-Mar-16,Mobile,4010
31-Mar-16,Tablet,641
1-Apr-16,Desktop,33281
1-Apr-16,Mobile,4995
1-Apr-16,Tablet,920
2-Apr-16,Desktop,14236
2-Apr-16,Mobile,3407
2-Apr-16,Tablet,661
3-Apr-16,Desktop,14306
3-Apr-16,Mobile,2704
3-Apr-16,Tablet,557
4-Apr-16,Desktop,34258
4-Apr-16,Mobile,3232
4-Apr-16,Tablet,559
5-Apr-16,Desktop,35938
5-Apr-16,Mobile,3680
5-Apr-16,Tablet,594
6-Apr-16,Desktop,36446
6-Apr-16,Mobile,4193
6-Apr-16,Tablet,579
7-Apr-16,Desktop,33407
7-Apr-16,Mobile,3328
7-Apr-16,Tablet,559
8-Apr-16,Desktop,25778
8-Apr-16,Mobile,2884
8-Apr-16,Tablet,494
9-Apr-16,Desktop,11374
9-Apr-16,Mobile,2314
9-Apr-16,Tablet,519
10-Apr-16,Desktop,12900
10-Apr-16,Mobile,2339
10-Apr-16,Tablet,511
11-Apr-16,Desktop,33261
11-Apr-16,Mobile,2602
11-Apr-16,Tablet,443
12-Apr-16,Desktop,32228
12-Apr-16,Mobile,2908
12-Apr-16,Tablet,430
13-Apr-16,Desktop,31436
13-Apr-16,Mobile,2752
13-Apr-16,Tablet,419
14-Apr-16,Desktop,30305
14-Apr-16,Mobile,2943
14-Apr-16,Tablet,455
15-Apr-16,Desktop,25662
15-Apr-16,Mobile,2584
15-Apr-16,Tablet,440
16-Apr-16,Desktop,10403
16-Apr-16,Mobile,2376
16-Apr-16,Tablet,404
17-Apr-16,Desktop,11964
17-Apr-16,Mobile,2098
17-Apr-16,Tablet,439
18-Apr-16,Desktop,31592
18-Apr-16,Mobile,2543
18-Apr-16,Tablet,426
19-Apr-16,Desktop,32409
19-Apr-16,Mobile,2844
19-Apr-16,Tablet,386
20-Apr-16,Desktop,32501
20-Apr-16,Mobile,3297
20-Apr-16,Tablet,466
21-Apr-16,Desktop,31327
21-Apr-16,Mobile,3089
21-Apr-16,Tablet,465
22-Apr-16,Desktop,25149
22-Apr-16,Mobile,2673
22-Apr-16,Tablet,418
23-Apr-16,Desktop,10611
23-Apr-16,Mobile,2305
23-Apr-16,Tablet,478
24-Apr-16,Desktop,11715
24-Apr-16,Mobile,2433
24-Apr-16,Tablet,471
25-Apr-16,Desktop,31366
25-Apr-16,Mobile,3114
25-Apr-16,Tablet,490
26-Apr-16,Desktop,31599
26-Apr-16,Mobile,3263
26-Apr-16,Tablet,485
27-Apr-16,Desktop,33043
27-Apr-16,Mobile,3454
27-Apr-16,Tablet,542
28-Apr-16,Desktop,33121
28-Apr-16,Mobile,3744
28-Apr-16,Tablet,497
29-Apr-16,Desktop,34787
29-Apr-16,Mobile,3893
29-Apr-16,Tablet,459
30-Apr-16,Desktop,9695
30-Apr-16,Mobile,3642
30-Apr-16,Tablet,449
1-May-16,Desktop,10534
1-May-16,Mobile,3948
1-May-16,Tablet,455
2-May-16,Desktop,27909
2-May-16,Mobile,4380
2-May-16,Tablet,464
3-May-16,Desktop,29584
3-May-16,Mobile,4209
3-May-16,Tablet,442
4-May-16,Desktop,29447
4-May-16,Mobile,4592
4-May-16,Tablet,740
5-May-16,Desktop,26112
5-May-16,Mobile,3872
5-May-16,Tablet,714
6-May-16,Desktop,22831
6-May-16,Mobile,3937
6-May-16,Tablet,1114
7-May-16,Desktop,9196
7-May-16,Mobile,4079
7-May-16,Tablet,1187
8-May-16,Desktop,11548
8-May-16,Mobile,3907
8-May-16,Tablet,572
9-May-16,Desktop,32491
9-May-16,Mobile,5782
9-May-16,Tablet,582
10-May-16,Desktop,34557
10-May-16,Mobile,5842
10-May-16,Tablet,597
11-May-16,Desktop,34576
11-May-16,Mobile,4285
11-May-16,Tablet,603
12-May-16,Desktop,32681
12-May-16,Mobile,5882
12-May-16,Tablet,631
13-May-16,Desktop,25957
13-May-16,Mobile,4876
13-May-16,Tablet,512
14-May-16,Desktop,10167
14-May-16,Mobile,2586
14-May-16,Tablet,578
15-May-16,Desktop,12045
15-May-16,Mobile,2413
15-May-16,Tablet,532
16-May-16,Desktop,29075
16-May-16,Mobile,2846
16-May-16,Tablet,456
17-May-16,Desktop,31226
17-May-16,Mobile,3214
17-May-16,Tablet,431
18-May-16,Desktop,31684
18-May-16,Mobile,3304
18-May-16,Tablet,530
