Date,Operating System Types,Visits
19-Feb-16,Microsoft Windows,16072
19-Feb-16,GNU/Linux,8693
19-Feb-16,Apple Macintosh,3028
19-Feb-16,Google Android,1720
19-Feb-16,Apple iOS,1696
19-Feb-16,Microsoft Windows Phone/Mobile,51
19-Feb-16,Nokia,26
19-Feb-16,Chrome OS,26
19-Feb-16,Blackberry,13
19-Feb-16,Other,12
20-Feb-16,Microsoft Windows,6542
20-Feb-16,GNU/Linux,3245
20-Feb-16,Google Android,1479
20-Feb-16,Apple iOS,1364
20-Feb-16,Apple Macintosh,1300
20-Feb-16,Microsoft Windows Phone/Mobile,50
20-Feb-16,Chrome OS,28
20-Feb-16,Nokia,21
20-Feb-16,Other,14
20-Feb-16,Blackberry,10
21-Feb-16,Microsoft Windows,8188
21-Feb-16,GNU/Linux,3498
21-Feb-16,Apple Macintosh,1645
21-Feb-16,Google Android,1307
21-Feb-16,Apple iOS,1173
21-Feb-16,Microsoft Windows Phone/Mobile,32
21-Feb-16,Chrome OS,30
21-Feb-16,Nokia,24
21-Feb-16,Other,11
21-Feb-16,Blackberry,7
22-Feb-16,Microsoft Windows,20422
22-Feb-16,GNU/Linux,10449
22-Feb-16,Apple Macintosh,3773
22-Feb-16,Google Android,1390
22-Feb-16,Apple iOS,1344
22-Feb-16,Microsoft Windows Phone/Mobile,52
22-Feb-16,Chrome OS,29
22-Feb-16,Nokia,28
22-Feb-16,Other,23
22-Feb-16,Blackberry,13
23-Feb-16,Microsoft Windows,20496
23-Feb-16,GNU/Linux,9837
23-Feb-16,Apple Macintosh,3305
23-Feb-16,Google Android,1384
23-Feb-16,Apple iOS,1359
23-Feb-16,Microsoft Windows Phone/Mobile,71
23-Feb-16,Chrome OS,37
23-Feb-16,Nokia,28
23-Feb-16,Blackberry,18
23-Feb-16,Other,14
24-Feb-16,Microsoft Windows,20142
24-Feb-16,GNU/Linux,9812
24-Feb-16,Apple Macintosh,3370
24-Feb-16,Google Android,1601
24-Feb-16,Apple iOS,1277
24-Feb-16,Microsoft Windows Phone/Mobile,50
