Date,OS,Visits
19-Feb-16,Windows 7,10354
19-Feb-16,Windows 10,3072
19-Feb-16,Windows 8.1,1938
19-Feb-16,Windows XP,373
19-Feb-16,Windows 8,226
19-Feb-16,Windows Vista,96
19-Feb-16,Windows Server 2003 and XP x64 Edition,11
19-Feb-16,Windows 3.x,1
19-Feb-16,Windows NT,1
20-Feb-16,Windows 7,3238
20-Feb-16,Windows 10,2038
20-Feb-16,Windows 8.1,805
20-Feb-16,Windows XP,251
20-Feb-16,Windows 8,144
20-Feb-16,Windows Vista,57
20-Feb-16,Windows Server 2003 and XP x64 Edition,7
20-Feb-16,Windows 3.x,1
20-Feb-16,Windows NT,1
21-Feb-16,Windows 7,4433
21-Feb-16,Windows 10,2185
21-Feb-16,Windows 8.1,1031
21-Feb-16,Windows XP,285
21-Feb-16,Windows 8,166
21-Feb-16,Windows Vista,77
21-Feb-16,Windows Server 2003 and XP x64 Edition,11
22-Feb-16,Windows 7,13705
22-Feb-16,Windows 10,3553
22-Feb-16,Windows 8.1,2337
22-Feb-16,Windows XP,452
22-Feb-16,Windows 8,264
22-Feb-16,Windows Vista,90
22-Feb-16,Windows Server 2003 and XP x64 Edition,21
23-Feb-16,Windows 7,13803
23-Feb-16,Windows 10,3560
23-Feb-16,Windows 8.1,2292
23-Feb-16,Windows XP,431
23-Feb-16,Windows 8,277
23-Feb-16,Windows Vista,91
23-Feb-16,Windows Server 2003 and XP x64 Edition,34
23-Feb-16,Windows 98,5
23-Feb-16,Windows NT,2
23-Feb-16,Media Center 2005,1
24-Feb-16,Windows 7,13461
24-Feb-16,Windows 10,3568
24-Feb-16,Windows 8.1,2288
24-Feb-16,Windows XP,408
24-Feb-16,Windows 8,300
24-Feb-16,Windows Vista,86
24-Feb-16,Windows Server 2003 and XP x64 Edition,29
24-Feb-16,Windows 2000/NT 5,1
24-Feb-16,Windows NT,1
25-Feb-16,Windows 7,12892
25-Feb-16,Windows 10,3463
25-Feb-16,Windows 8.1,2240
25-Feb-16,Windows XP,404
25-Feb-16,Windows 8,294
25-Feb-16,Windows Vista,90
25-Feb-16,Windows Server 2003 and XP x64 Edition,24
25-Feb-16,Windows NT,2
25-Feb-16,Windows 3.x,1
26-Feb-16,Windows 7,10053
26-Feb-16,Windows 10,2856
26-Feb-16,Windows 8.1,1818
26-Feb-16,Windows XP,356
26-Feb-16,Windows 8,245
26-Feb-16,Windows Vista,48
26-Feb-16,Windows Server 2003 and XP x64 Edition,19
26-Feb-16,Windows 2000/NT 5,2
26-Feb-16,Windows 98,1
26-Feb-16,Windows NT,1
27-Feb-16,Windows 7,3047
27-Feb-16,Windows 10,2123
27-Feb-16,Windows 8.1,858
27-Feb-16,Windows XP,203
27-Feb-16,Windows 8,143
27-Feb-16,Windows Vista,58
27-Feb-16,Windows Server 2003 and XP x64 Edition,3
27-Feb-16,Windows 3.x,2
27-Feb-16,Media Center 2005,1
28-Feb-16,Windows 7,4132
28-Feb-16,Windows 10,2155
28-Feb-16,Windows 8.1,988
28-Feb-16,Windows XP,234
28-Feb-16,Windows 8,159
28-Feb-16,Windows Vista,51
28-Feb-16,Windows Server 2003 and XP x64 Edition,12
28-Feb-16,Windows 2000/NT 5,1
29-Feb-16,Windows 7,12693
29-Feb-16,Windows 10,3424
29-Feb-16,Windows 8.1,2171
29-Feb-16,Windows XP,422
29-Feb-16,Windows 8,287
29-Feb-16,Windows Vista,99
29-Feb-16,Windows Server 2003 and XP x64 Edition,24
29-Feb-16,Media Center 2005,1
29-Feb-16,Windows 3.x,1
29-Feb-16,Windows NT,1
1-Mar-16,Windows 7,13174
1-Mar-16,Windows 10,3565
1-Mar-16,Windows 8.1,2242
1-Mar-16,Windows XP,413
1-Mar-16,Windows 8,264
1-Mar-16,Windows Vista,89
1-Mar-16,Windows Server 2003 and XP x64 Edition,39
1-Mar-16,Windows 2000/NT 5,3
1-Mar-16,Windows NT,1
2-Mar-16,Windows 7,13131
2-Mar-16,Windows 10,3598
2-Mar-16,Windows 8.1,2214
2-Mar-16,Windows XP,403
2-Mar-16,Windows 8,307
2-Mar-16,Windows Vista,107
2-Mar-16,Windows Server 2003 and XP x64 Edition,48
2-Mar-16,Windows 3.x,2
2-Mar-16,Windows NT,2
2-Mar-16,Windows 2000/NT 5,1
3-Mar-16,Windows 7,12724
3-Mar-16,Windows 10,3487
3-Mar-16,Windows 8.1,2296
3-Mar-16,Windows XP,411
3-Mar-16,Windows 8,285
3-Mar-16,Windows Vista,93
3-Mar-16,Windows Server 2003 and XP x64 Edition,32
3-Mar-16,Media Center 2005,2
3-Mar-16,Windows 98,1
4-Mar-16,Windows 7,10173
4-Mar-16,Windows 10,2947
4-Mar-16,Windows 8.1,1744
4-Mar-16,Windows XP,354
4-Mar-16,Windows 8,211
4-Mar-16,Windows Vista,86
4-Mar-16,Windows Server 2003 and XP x64 Edition,25
4-Mar-16,Windows 98,2
4-Mar-16,Windows 2000/NT 5,1
4-Mar-16,Windows 3.x,1
5-Mar-16,Windows 7,3431
5-Mar-16,Windows 10,2137
5-Mar-16,Windows 8.1,949
5-Mar-16,Windows XP,253
5-Mar-16,Windows 8,233
5-Mar-16,Windows Vista,59
5-Mar-16,Windows Server 2003 and XP x64 Edition,14
5-Mar-16,Windows 3.x,1
6-Mar-16,Windows 7,4640
6-Mar-16,Windows 10,2284
6-Mar-16,Windows 8.1,1011
6-Mar-16,Windows XP,345
6-Mar-16,Windows 8,223
6-Mar-16,Windows Vista,71
6-Mar-16,Windows Server 2003 and XP x64 Edition,23
6-Mar-16,Windows 3.x,2
6-Mar-16,Media Center 2005,1
7-Mar-16,Windows 7,12859
7-Mar-16,Windows 10,3538
7-Mar-16,Windows 8.1,2163
7-Mar-16,Windows XP,555
7-Mar-16,Windows 8,294
7-Mar-16,Windows Vista,96
7-Mar-16,Windows Server 2003 and XP x64 Edition,29
7-Mar-16,Windows 3.x,2
7-Mar-16,Windows 2000/NT 5,1
7-Mar-16,Windows NT,1
8-Mar-16,Windows 7,13654
8-Mar-16,Windows 10,3896
8-Mar-16,Windows 8.1,2339
8-Mar-16,Windows XP,419
8-Mar-16,Windows 8,275
8-Mar-16,Windows Vista,90
8-Mar-16,Windows Server 2003 and XP x64 Edition,27
8-Mar-16,Windows 3.x,3
9-Mar-16,Windows 7,13175
9-Mar-16,Windows 10,3768
9-Mar-16,Windows 8.1,2265
9-Mar-16,Windows XP,450
9-Mar-16,Windows 8,266
9-Mar-16,Windows Vista,96
9-Mar-16,Windows Server 2003 and XP x64 Edition,25
9-Mar-16,Windows 98,2
9-Mar-16,Windows NT,1
10-Mar-16,Windows 7,13034
10-Mar-16,Windows 10,3516
10-Mar-16,Windows 8.1,2192
10-Mar-16,Windows XP,393
10-Mar-16,Windows 8,322
10-Mar-16,Windows Vista,86
10-Mar-16,Windows Server 2003 and XP x64 Edition,39
10-Mar-16,Windows 98,3
11-Mar-16,Windows 7,9954
11-Mar-16,Windows 10,3111
11-Mar-16,Windows 8.1,1859
11-Mar-16,Windows XP,344
11-Mar-16,Windows 8,252
11-Mar-16,Windows Vista,74
11-Mar-16,Windows Server 2003 and XP x64 Edition,21
11-Mar-16,Windows 3.x,3
12-Mar-16,Windows 7,3150
12-Mar-16,Windows 10,2292
12-Mar-16,Windows 8.1,839
12-Mar-16,Windows XP,200
12-Mar-16,Windows 8,188
12-Mar-16,Windows Vista,62
12-Mar-16,Windows Server 2003 and XP x64 Edition,16
12-Mar-16,Media Center 2005,1
12-Mar-16,Windows 2000/NT 5,1
12-Mar-16,Windows 3.x,1
13-Mar-16,Windows 7,4126
13-Mar-16,Windows 10,2420
13-Mar-16,Windows 8.1,962
13-Mar-16,Windows XP,212
13-Mar-16,Windows 8,177
13-Mar-16,Windows Vista,59
13-Mar-16,Windows Server 2003 and XP x64 Edition,10
13-Mar-16,Media Center 2005,3
13-Mar-16,Windows CE,1
13-Mar-16,Windows NT,1
14-Mar-16,Windows 7,12846
14-Mar-16,Windows 10,3712
14-Mar-16,Windows 8.1,2135
14-Mar-16,Windows XP,432
14-Mar-16,Windows 8,293
14-Mar-16,Windows Vista,101
14-Mar-16,Windows Server 2003 and XP x64 Edition,31
14-Mar-16,Media Center 2005,1
14-Mar-16,Windows 3.x,1
14-Mar-16,Windows NT,1
15-Mar-16,Windows 7,13630
15-Mar-16,Windows 10,3831
15-Mar-16,Windows 8.1,2281
15-Mar-16,Windows XP,428
15-Mar-16,Windows 8,273
15-Mar-16,Windows Vista,82
15-Mar-16,Windows Server 2003 and XP x64 Edition,30
15-Mar-16,Windows 2000/NT 5,2
15-Mar-16,Windows 3.x,1
15-Mar-16,Windows NT,1
16-Mar-16,Windows 7,13187
16-Mar-16,Windows 10,3973
16-Mar-16,Windows 8.1,2120
16-Mar-16,Windows XP,463
16-Mar-16,Windows 8,282
16-Mar-16,Windows Vista,103
16-Mar-16,Windows Server 2003 and XP x64 Edition,22
16-Mar-16,Windows 3.x,3
16-Mar-16,Windows NT,1
17-Mar-16,Windows 7,12208
17-Mar-16,Windows 10,3640
17-Mar-16,Windows 8.1,2023
17-Mar-16,Windows XP,365
17-Mar-16,Windows 8,277
17-Mar-16,Windows Vista,79
17-Mar-16,Windows Server 2003 and XP x64 Edition,34
17-Mar-16,Media Center 2005,1
17-Mar-16,Windows 2000/NT 5,1
17-Mar-16,Windows 3.x,1
18-Mar-16,Windows 7,9696
18-Mar-16,Windows 10,3185
18-Mar-16,Windows 8.1,2153
18-Mar-16,Windows XP,359
18-Mar-16,Windows 8,223
