Date,Browser Type,training.redhat.com + Visits
19-Feb-16,Google,1537
19-Feb-16,Mozilla,714
19-Feb-16,Microsoft,359
19-Feb-16,Apple,148
19-Feb-16,UC Web,17
19-Feb-16,Opera,8
19-Feb-16,Other,5
19-Feb-16,BlackBerry,2
19-Feb-16,Amazon,1
19-Feb-16,Netscape,1
20-Feb-16,Google,914
20-Feb-16,Mozilla,364
20-Feb-16,Apple,136
20-Feb-16,Microsoft,87
20-Feb-16,UC Web,13
20-Feb-16,Opera,7
20-Feb-16,Other,3
20-Feb-16,Yandex,2
20-Feb-16,BlackBerry,1
21-Feb-16,Google,893
21-Feb-16,Mozilla,420
21-Feb-16,Apple,143
21-Feb-16,Microsoft,140
21-Feb-16,UC Web,17
21-Feb-16,Opera,9
21-Feb-16,Other,4
21-Feb-16,Yandex,2
21-Feb-16,Amazon,2
21-Feb-16,BlackBerry,1
22-Feb-16,Google,1993
22-Feb-16,Mozilla,929
22-Feb-16,Microsoft,526
22-Feb-16,Apple,187
22-Feb-16,UC Web,20
22-Feb-16,Opera,11
22-Feb-16,Other,8
22-Feb-16,Yandex,2
22-Feb-16,BlackBerry,1
22-Feb-16,Amazon,1
23-Feb-16,Google,2006
23-Feb-16,Mozilla,892
23-Feb-16,Microsoft,594
23-Feb-16,Apple,218
23-Feb-16,UC Web,21
23-Feb-16,Opera,17
23-Feb-16,Other,11
23-Feb-16,Yandex,3
23-Feb-16,BlackBerry,3
24-Feb-16,Google,1955
24-Feb-16,Mozilla,943
24-Feb-16,Microsoft,516
24-Feb-16,Apple,203
24-Feb-16,UC Web,16
24-Feb-16,Opera,8
24-Feb-16,Other,4
24-Feb-16,Amazon,2
25-Feb-16,Google,1825
25-Feb-16,Mozilla,947
25-Feb-16,Microsoft,429
25-Feb-16,Apple,200
25-Feb-16,UC Web,7
25-Feb-16,Opera,7
25-Feb-16,Other,4
25-Feb-16,BlackBerry,2
25-Feb-16,Amazon,2
25-Feb-16,Yandex,1
26-Feb-16,Google,1600
26-Feb-16,Mozilla,777
26-Feb-16,Microsoft,352
