Date,Device,Visits
19-Feb-16,Desktop,2519
19-Feb-16,Mobile,233
19-Feb-16,Tablet,41
20-Feb-16,Desktop,1233
20-Feb-16,Mobile,239
20-Feb-16,Tablet,56
21-Feb-16,Desktop,1397
21-Feb-16,Mobile,188
21-Feb-16,Tablet,46
22-Feb-16,Desktop,3366
22-Feb-16,Mobile,254
22-Feb-16,Tablet,57
23-Feb-16,Desktop,3449
23-Feb-16,Mobile,261
23-Feb-16,Tablet,55
24-Feb-16,Desktop,3359
24-Feb-16,Mobile,237
24-Feb-16,Tablet,49
25-Feb-16,Desktop,3149
25-Feb-16,Mobile,233
25-Feb-16,Tablet,47
26-Feb-16,Desktop,2637
26-Feb-16,Mobile,286
26-Feb-16,Tablet,42
27-Feb-16,Desktop,1095
27-Feb-16,Mobile,224
27-Feb-16,Tablet,47
28-Feb-16,Desktop,1238
28-Feb-16,Mobile,229
28-Feb-16,Tablet,48
29-Feb-16,Desktop,3249
29-Feb-16,Mobile,237
29-Feb-16,Tablet,38
1-Mar-16,Desktop,3194
1-Mar-16,Mobile,213
1-Mar-16,Tablet,50
2-Mar-16,Desktop,3091
2-Mar-16,Mobile,242
2-Mar-16,Tablet,41
3-Mar-16,Desktop,3180
3-Mar-16,Mobile,251
3-Mar-16,Tablet,46
4-Mar-16,Desktop,2454
4-Mar-16,Mobile,271
4-Mar-16,Tablet,39
5-Mar-16,Desktop,1181
5-Mar-16,Mobile,251
5-Mar-16,Tablet,49
6-Mar-16,Desktop,1250
6-Mar-16,Mobile,185
6-Mar-16,Tablet,46
7-Mar-16,Desktop,2938
7-Mar-16,Mobile,255
7-Mar-16,Tablet,39
8-Mar-16,Desktop,3570
8-Mar-16,Mobile,431
8-Mar-16,Tablet,66
9-Mar-16,Desktop,3347
9-Mar-16,Mobile,278
9-Mar-16,Tablet,52
10-Mar-16,Desktop,3389
10-Mar-16,Mobile,303
10-Mar-16,Tablet,64
11-Mar-16,Desktop,2518
11-Mar-16,Mobile,231
11-Mar-16,Tablet,57
12-Mar-16,Desktop,1133
12-Mar-16,Mobile,204
12-Mar-16,Tablet,28
13-Mar-16,Desktop,1234
13-Mar-16,Mobile,214
13-Mar-16,Tablet,50
14-Mar-16,Desktop,3085
14-Mar-16,Mobile,305
14-Mar-16,Tablet,35
15-Mar-16,Desktop,3052
15-Mar-16,Mobile,259
15-Mar-16,Tablet,33
16-Mar-16,Desktop,2978
16-Mar-16,Mobile,251
16-Mar-16,Tablet,52
17-Mar-16,Desktop,2761
17-Mar-16,Mobile,239
17-Mar-16,Tablet,50
18-Mar-16,Desktop,2267
18-Mar-16,Mobile,225
18-Mar-16,Tablet,47
19-Mar-16,Desktop,999
19-Mar-16,Mobile,204
19-Mar-16,Tablet,36
20-Mar-16,Desktop,1122
20-Mar-16,Mobile,169
20-Mar-16,Tablet,42
21-Mar-16,Desktop,2871
21-Mar-16,Mobile,235
21-Mar-16,Tablet,48
22-Mar-16,Desktop,2854
22-Mar-16,Mobile,224
22-Mar-16,Tablet,32
23-Mar-16,Desktop,2928
23-Mar-16,Mobile,218
23-Mar-16,Tablet,35
24-Mar-16,Desktop,2449
24-Mar-16,Mobile,239
24-Mar-16,Tablet,46
25-Mar-16,Desktop,1736
25-Mar-16,Mobile,223
25-Mar-16,Tablet,35
26-Mar-16,Desktop,1060
26-Mar-16,Mobile,167
26-Mar-16,Tablet,40
27-Mar-16,Desktop,1037
27-Mar-16,Mobile,186
27-Mar-16,Tablet,36
28-Mar-16,Desktop,2447
28-Mar-16,Mobile,173
28-Mar-16,Tablet,35
29-Mar-16,Desktop,2942
29-Mar-16,Mobile,241
29-Mar-16,Tablet,35
30-Mar-16,Desktop,3026
30-Mar-16,Mobile,257
30-Mar-16,Tablet,33
31-Mar-16,Desktop,2738
31-Mar-16,Mobile,243
31-Mar-16,Tablet,45
1-Apr-16,Desktop,2450
1-Apr-16,Mobile,235
1-Apr-16,Tablet,42
2-Apr-16,Desktop,1185
2-Apr-16,Mobile,237
2-Apr-16,Tablet,51
3-Apr-16,Desktop,1243
3-Apr-16,Mobile,193
3-Apr-16,Tablet,32
4-Apr-16,Desktop,2978
4-Apr-16,Mobile,242
4-Apr-16,Tablet,40
5-Apr-16,Desktop,3187
5-Apr-16,Mobile,305
5-Apr-16,Tablet,50
6-Apr-16,Desktop,3237
6-Apr-16,Mobile,290
6-Apr-16,Tablet,47
7-Apr-16,Desktop,3357
7-Apr-16,Mobile,361
7-Apr-16,Tablet,49
8-Apr-16,Desktop,2271
8-Apr-16,Mobile,262
8-Apr-16,Tablet,44
9-Apr-16,Desktop,1187
9-Apr-16,Mobile,210
9-Apr-16,Tablet,54
10-Apr-16,Desktop,1243
10-Apr-16,Mobile,221
10-Apr-16,Tablet,67
11-Apr-16,Desktop,3241
11-Apr-16,Mobile,255
11-Apr-16,Tablet,44
12-Apr-16,Desktop,2974
12-Apr-16,Mobile,288
12-Apr-16,Tablet,37
13-Apr-16,Desktop,2974
13-Apr-16,Mobile,277
13-Apr-16,Tablet,45
14-Apr-16,Desktop,2694
14-Apr-16,Mobile,259
14-Apr-16,Tablet,49
15-Apr-16,Desktop,2526
15-Apr-16,Mobile,241
15-Apr-16,Tablet,44
16-Apr-16,Desktop,1046
16-Apr-16,Mobile,225
16-Apr-16,Tablet,45
17-Apr-16,Desktop,1162
17-Apr-16,Mobile,200
17-Apr-16,Tablet,49
18-Apr-16,Desktop,3040
18-Apr-16,Mobile,267
18-Apr-16,Tablet,32
19-Apr-16,Desktop,3110
19-Apr-16,Mobile,337
19-Apr-16,Tablet,37
20-Apr-16,Desktop,3020
20-Apr-16,Mobile,247
20-Apr-16,Tablet,32
21-Apr-16,Desktop,2956
21-Apr-16,Mobile,246
21-Apr-16,Tablet,41
22-Apr-16,Desktop,2322
22-Apr-16,Mobile,200
22-Apr-16,Tablet,43
23-Apr-16,Desktop,1050
23-Apr-16,Mobile,193
23-Apr-16,Tablet,53
24-Apr-16,Desktop,1109
24-Apr-16,Mobile,198
24-Apr-16,Tablet,51
25-Apr-16,Desktop,3021
25-Apr-16,Mobile,277
25-Apr-16,Tablet,48
26-Apr-16,Desktop,2955
26-Apr-16,Mobile,249
26-Apr-16,Tablet,42
27-Apr-16,Desktop,2959
27-Apr-16,Mobile,311
27-Apr-16,Tablet,39
28-Apr-16,Desktop,2923
28-Apr-16,Mobile,292
28-Apr-16,Tablet,57
29-Apr-16,Desktop,2415
29-Apr-16,Mobile,259
29-Apr-16,Tablet,43
30-Apr-16,Desktop,1057
30-Apr-16,Mobile,232
30-Apr-16,Tablet,53
1-May-16,Desktop,1064
1-May-16,Mobile,212
1-May-16,Tablet,49
2-May-16,Desktop,2592
2-May-16,Mobile,253
2-May-16,Tablet,36
3-May-16,Desktop,2789
3-May-16,Mobile,240
3-May-16,Tablet,34
4-May-16,Desktop,2806
4-May-16,Mobile,249
4-May-16,Tablet,33
5-May-16,Desktop,2621
5-May-16,Mobile,217
5-May-16,Tablet,36
6-May-16,Desktop,2240
6-May-16,Mobile,219
6-May-16,Tablet,28
7-May-16,Desktop,976
7-May-16,Mobile,174
7-May-16,Tablet,40
8-May-16,Desktop,1102
8-May-16,Mobile,168
8-May-16,Tablet,37
9-May-16,Desktop,2916
9-May-16,Mobile,287
9-May-16,Tablet,41
10-May-16,Desktop,3225
10-May-16,Mobile,301
10-May-16,Tablet,43
11-May-16,Desktop,3048
11-May-16,Mobile,291
11-May-16,Tablet,53
12-May-16,Desktop,2780
12-May-16,Mobile,277
12-May-16,Tablet,34
13-May-16,Desktop,2300
13-May-16,Mobile,213
13-May-16,Tablet,28
14-May-16,Desktop,1012
14-May-16,Mobile,226
14-May-16,Tablet,38
15-May-16,Desktop,1159
15-May-16,Mobile,197
15-May-16,Tablet,49
16-May-16,Desktop,2653
16-May-16,Mobile,246
16-May-16,Tablet,41
17-May-16,Desktop,2930
17-May-16,Mobile,258
17-May-16,Tablet,41
18-May-16,Desktop,2882
18-May-16,Mobile,242
18-May-16,Tablet,45
