Date,Operating System Types,Visits
19-Feb-16,Microsoft Windows,1935
19-Feb-16,GNU/Linux,331
19-Feb-16,Apple Macintosh,252
19-Feb-16,Google Android,166
19-Feb-16,Apple iOS,99
19-Feb-16,Microsoft Windows Phone/Mobile,5
19-Feb-16,Blackberry,2
19-Feb-16,Nokia,1
19-Feb-16,Chrome OS,1
19-Feb-16,Unspecified,1
20-Feb-16,Microsoft Windows,889
20-Feb-16,GNU/Linux,194
20-Feb-16,Google Android,175
20-Feb-16,Apple Macintosh,145
20-Feb-16,Apple iOS,107
20-Feb-16,Microsoft Windows Phone/Mobile,8
20-Feb-16,Nokia,4
20-Feb-16,Chrome OS,2
20-Feb-16,Other,2
20-Feb-16,UNIX,1
21-Feb-16,Microsoft Windows,984
21-Feb-16,GNU/Linux,225
21-Feb-16,Apple Macintosh,184
21-Feb-16,Google Android,127
21-Feb-16,Apple iOS,96
21-Feb-16,Nokia,6
21-Feb-16,Chrome OS,4
21-Feb-16,Microsoft Windows Phone/Mobile,4
21-Feb-16,Blackberry,1
22-Feb-16,Microsoft Windows,2559
22-Feb-16,GNU/Linux,443
22-Feb-16,Apple Macintosh,358
22-Feb-16,Google Android,174
22-Feb-16,Apple iOS,123
22-Feb-16,Nokia,7
22-Feb-16,Microsoft Windows Phone/Mobile,4
22-Feb-16,Other,3
22-Feb-16,Chrome OS,2
22-Feb-16,UNIX,2
23-Feb-16,Microsoft Windows,2625
23-Feb-16,GNU/Linux,434
23-Feb-16,Apple Macintosh,382
23-Feb-16,Google Android,180
23-Feb-16,Apple iOS,112
23-Feb-16,Microsoft Windows Phone/Mobile,13
23-Feb-16,Nokia,8
23-Feb-16,Chrome OS,7
23-Feb-16,Blackberry,3
23-Feb-16,UNIX,1
24-Feb-16,Microsoft Windows,2531
24-Feb-16,GNU/Linux,432
24-Feb-16,Apple Macintosh,392
24-Feb-16,Google Android,168
24-Feb-16,Apple iOS,106
24-Feb-16,Nokia,6
24-Feb-16,Microsoft Windows Phone/Mobile,6
24-Feb-16,Chrome OS,5
24-Feb-16,Symbian,1
25-Feb-16,Microsoft Windows,2303
25-Feb-16,GNU/Linux,490
25-Feb-16,Apple Macintosh,349
25-Feb-16,Google Android,158
25-Feb-16,Apple iOS,104
25-Feb-16,Microsoft Windows Phone/Mobile,9
25-Feb-16,Chrome OS,6
25-Feb-16,Unspecified,3
25-Feb-16,Nokia,2
25-Feb-16,Samsung,2
26-Feb-16,Microsoft Windows,1980
26-Feb-16,GNU/Linux,361
26-Feb-16,Apple Macintosh,292
26-Feb-16,Google Android,193
26-Feb-16,Apple iOS,117
26-Feb-16,Microsoft Windows Phone/Mobile,8
