Date,Operating Systems,Visits
19-Feb-16,Windows 7,1304
19-Feb-16,Windows 10,320
19-Feb-16,Windows 8.1,247
19-Feb-16,Windows XP,35
19-Feb-16,Windows 8,24
19-Feb-16,Windows Vista,5
20-Feb-16,Windows 7,459
20-Feb-16,Windows 10,258
20-Feb-16,Windows 8.1,122
20-Feb-16,Windows XP,27
20-Feb-16,Windows 8,21
20-Feb-16,Windows Server 2003 and XP x64 Edition,1
20-Feb-16,Windows Vista,1
21-Feb-16,Windows 7,517
21-Feb-16,Windows 10,277
21-Feb-16,Windows 8.1,146
21-Feb-16,Windows 8,22
21-Feb-16,Windows XP,14
21-Feb-16,Windows Vista,7
21-Feb-16,Windows Server 2003 and XP x64 Edition,1
22-Feb-16,Windows 7,1769
22-Feb-16,Windows 10,367
22-Feb-16,Windows 8.1,286
22-Feb-16,Windows XP,90
22-Feb-16,Windows 8,37
22-Feb-16,Windows Vista,9
22-Feb-16,Windows Server 2003 and XP x64 Edition,1
23-Feb-16,Windows 7,1808
23-Feb-16,Windows 10,375
23-Feb-16,Windows 8.1,300
23-Feb-16,Windows XP,78
23-Feb-16,Windows 8,51
23-Feb-16,Windows Server 2003 and XP x64 Edition,7
23-Feb-16,Windows Vista,6
24-Feb-16,Windows 7,1732
24-Feb-16,Windows 10,400
24-Feb-16,Windows 8.1,291
24-Feb-16,Windows XP,58
24-Feb-16,Windows 8,41
24-Feb-16,Windows Server 2003 and XP x64 Edition,5
24-Feb-16,Windows Vista,4
25-Feb-16,Windows 7,1582
25-Feb-16,Windows 10,350
25-Feb-16,Windows 8.1,278
25-Feb-16,Windows XP,50
25-Feb-16,Windows 8,32
25-Feb-16,Windows Vista,8
25-Feb-16,Windows Server 2003 and XP x64 Edition,3
26-Feb-16,Windows 7,1347
26-Feb-16,Windows 10,326
26-Feb-16,Windows 8.1,239
26-Feb-16,Windows XP,44
26-Feb-16,Windows 8,21
26-Feb-16,Windows Server 2003 and XP x64 Edition,2
26-Feb-16,Windows Vista,1
27-Feb-16,Windows 7,412
27-Feb-16,Windows 10,220
27-Feb-16,Windows 8.1,116
27-Feb-16,Windows XP,20
27-Feb-16,Windows 8,19
27-Feb-16,Windows Vista,3
28-Feb-16,Windows 7,453
28-Feb-16,Windows 10,242
28-Feb-16,Windows 8.1,139
28-Feb-16,Windows 8,19
28-Feb-16,Windows XP,17
28-Feb-16,Windows Vista,1
29-Feb-16,Windows 7,1642
29-Feb-16,Windows 10,387
29-Feb-16,Windows 8.1,283
29-Feb-16,Windows XP,42
29-Feb-16,Windows 8,32
29-Feb-16,Windows Vista,11
29-Feb-16,Windows Server 2003 and XP x64 Edition,2
29-Feb-16,Windows 3.x,1
1-Mar-16,Windows 7,1553
1-Mar-16,Windows 10,449
1-Mar-16,Windows 8.1,288
1-Mar-16,Windows 8,39
1-Mar-16,Windows XP,36
1-Mar-16,Windows Vista,7
1-Mar-16,Windows Server 2003 and XP x64 Edition,1
2-Mar-16,Windows 7,1530
2-Mar-16,Windows 10,380
2-Mar-16,Windows 8.1,326
2-Mar-16,Windows XP,43
2-Mar-16,Windows 8,39
2-Mar-16,Windows Vista,6
2-Mar-16,Windows Server 2003 and XP x64 Edition,4
2-Mar-16,Windows 3.x,1
2-Mar-16,Windows NT,1
3-Mar-16,Windows 7,1568
3-Mar-16,Windows 10,402
3-Mar-16,Windows 8.1,317
3-Mar-16,Windows XP,40
3-Mar-16,Windows 8,37
3-Mar-16,Windows Vista,11
3-Mar-16,Windows Server 2003 and XP x64 Edition,2
4-Mar-16,Windows 7,1212
4-Mar-16,Windows 10,308
4-Mar-16,Windows 8.1,232
4-Mar-16,Windows XP,38
4-Mar-16,Windows 8,27
4-Mar-16,Windows Vista,9
4-Mar-16,Windows Server 2003 and XP x64 Edition,1
5-Mar-16,Windows 7,397
5-Mar-16,Windows 10,262
5-Mar-16,Windows 8.1,126
5-Mar-16,Windows XP,24
5-Mar-16,Windows 8,21
5-Mar-16,Windows Vista,6
5-Mar-16,Windows Server 2003 and XP x64 Edition,1
6-Mar-16,Windows 7,448
6-Mar-16,Windows 10,270
6-Mar-16,Windows 8.1,115
6-Mar-16,Windows 8,26
6-Mar-16,Windows XP,17
6-Mar-16,Windows Vista,4
7-Mar-16,Windows 7,1471
7-Mar-16,Windows 10,385
7-Mar-16,Windows 8.1,253
7-Mar-16,Windows 8,42
7-Mar-16,Windows XP,29
7-Mar-16,Windows Server 2003 and XP x64 Edition,5
7-Mar-16,Windows Vista,4
8-Mar-16,Windows 7,1687
8-Mar-16,Windows 10,467
8-Mar-16,Windows 8.1,335
8-Mar-16,Windows XP,50
8-Mar-16,Windows 8,48
8-Mar-16,Windows Vista,8
8-Mar-16,Windows Server 2003 and XP x64 Edition,1
9-Mar-16,Windows 7,1661
9-Mar-16,Windows 10,456
9-Mar-16,Windows 8.1,298
9-Mar-16,Windows XP,66
9-Mar-16,Windows 8,22
9-Mar-16,Windows Vista,3
9-Mar-16,Windows Server 2003 and XP x64 Edition,1
10-Mar-16,Windows 7,1624
10-Mar-16,Windows 10,457
10-Mar-16,Windows 8.1,287
10-Mar-16,Windows XP,55
10-Mar-16,Windows 8,52
